gene,method,n_snp,b,se,p,OR,OR_lo,OR_hi,Q,Q_p,egger_int,egger_int_p,FDR
ZMAT3,IVW,5,-0.0191788516952827,0.0214171533039568,0.370525082247002,0.981003892342505,0.94067603863786,1.02306064709025,3.41056755846741,0.491606360360036,,,0.617541803745003
ZMAT3,MR-Egger,5,0.00999332155957224,0.0367731863272488,0.783614887220935,1.01004342154682,0.939805703354863,1.08553045567632,,,-0.00710199402976996,0.359954375775977,0.617541803745003
ZMAT3,Weighted median,5,-0.0120082658562259,0.0219982027391111,0.585151959993042,0.988063545636966,0.946367087707585,1.03159712853238,,,,,0.617541803745003
ZMAT3,Weighted mode,5,-0.0134895658069242,0.0232753280214491,0.562207992011055,0.98660101064946,0.942603822970467,1.03265182093902,,,,,0.617541803745003
CTSD,Wald ratio,1,-0.0451343625092041,0.0692060225141129,0.514288986716092,0.955869040241708,0.834620484830545,1.09473184363323,,,,,0.656903921529001
ENPP1,Wald ratio,1,-0.0991062607451233,0.146051331624392,0.497409451259859,0.90564646824185,0.680201044570413,1.20581338706549,,,,,0.656903921529001
KHK,IVW,10,-0.0274534649814908,0.0358496888126513,0.443799077639736,0.972919956348214,0.906903839345995,1.04374157478837,36.0217910934712,3.92951462928185e-05,,,0.656903921529001
KHK,MR-Egger,10,-0.0583445104178739,0.0588723201790759,0.350692967449434,0.943324906192343,0.840520229535793,1.05870370203255,,,0.00600876655028895,0.519043465569514,0.656903921529001
KHK,Weighted median,10,-0.0282330199089364,0.0208115456106859,0.174907163496187,0.972161807350021,0.933304607811056,1.01263678734713,,,,,0.656903921529001
KHK,Weighted mode,10,-0.0239723725748766,0.0218104433232338,0.271714165420336,0.976312682390845,0.93545630548025,1.01895347566005,,,,,0.656903921529001
MDM2,IVW,4,0.0151438308500708,0.0212459365445418,0.475977469866964,1.01525907969121,0.973849792111286,1.0584291409672,1.4269491657085,0.699230033345265,,,0.656903921529001
MDM2,MR-Egger,4,-0.00793937700415612,0.0310025039628704,0.617085507693631,0.99209205660668,0.93360271980334,1.05424569563101,,,0.00760287306674324,0.144132135370042,0.656903921529001
MDM2,Weighted median,4,0.0110957331865111,0.0216073627236763,0.607590204383652,1.01115751914269,0.969228681269776,1.05490019876353,,,,,0.656903921529001
MDM2,Weighted mode,4,0.0111442402706852,0.0216818241304835,0.607258998768129,1.0112065686352,0.969134246870786,1.05510534557273,,,,,0.656903921529001
PHLDA3,Wald ratio,1,-0.0439469702831484,0.069223659073456,0.525523137223201,0.957004705816025,0.835583210652237,1.09607037968022,,,,,0.656903921529001
HMOX1,IVW,3,0.0249339045672841,0.0493025332142497,0.613044290392229,1.02524735411742,0.930810971424138,1.12926487696695,3.05349075790534,0.217241556934859,,,0.72981463141932
HMOX1,MR-Egger,3,0.0722489597064121,0.167090146520462,0.740184236076719,1.0749229232496,0.774724553630642,1.49144529563774,,,-0.0130380830740745,0.809339887929525,0.72981463141932
HMOX1,Weighted median,3,0.0341142512553494,0.044033518090638,0.438497021666059,1.03470281607086,0.949147140731016,1.12797043961002,,,,,0.72981463141932
HMOX1,Weighted mode,3,0.0339646392506835,0.0425064147335913,0.424262940411578,1.034548023688,0.951849891492137,1.1244310924267,,,,,0.72981463141932
GAS6,IVW,2,-0.0544814315456266,0.123723002542595,0.659683589254598,0.946976092576941,0.743059975697821,1.2068524065909,1.01337088994232,0.314096630296291,,,0.749640442334771
IRS2,IVW,5,0.0219598665484133,0.0553515954177943,0.691563535876025,1.02220275912225,0.91710871335968,1.13933982475135,1.34093729230598,0.854392633499674,,,0.751699495517418
IRS2,MR-Egger,5,-0.161754764406361,0.202868005052922,0.133066403880573,0.850649788568952,0.571565578493564,1.26600531945881,,,0.0152429238161763,0.0943937607291275,0.751699495517418
IRS2,Weighted median,5,0.000981845501866883,0.0677820063776302,0.988442773921629,1.00098232766995,0.876454149400461,1.14320369296324,,,,,0.751699495517418
IRS2,Weighted mode,5,-0.0261071381398767,0.0800965750081624,0.744465401376257,0.974230706751425,0.832687859809202,1.13983344274391,,,,,0.751699495517418
PLIN1,Wald ratio,1,-0.0267778575936705,0.0771832365935208,0.728637315121036,0.973577490350885,0.83689471802805,1.13258347710848,,,,,0.75899720325108
LZTFL1,IVW,4,0.000467769394830931,0.0392769119182204,0.990497797885609,1.00046787881599,0.926339039511313,1.08052876306565,1.45176219342496,0.693447484027675,,,0.990497797885609
LZTFL1,MR-Egger,4,0.0405744803242789,0.0671318933052055,0.464602254898093,1.04140887128452,0.913014030939565,1.18785955137406,,,-0.00718061633094581,0.388594857979458,0.990497797885609
LZTFL1,Weighted median,4,0.0101930191935432,0.041438777133162,0.805699418406118,1.01024514496949,0.931436757910693,1.09572146929623,,,,,0.990497797885609
LZTFL1,Weighted mode,4,0.0123905300399536,0.0433287310915005,0.774904407927163,1.01246761068498,0.930034326873464,1.1022073412411,,,,,0.990497797885609
