gene,n_sources,sources
PRKAA1,5,CTD_Insulin_Resistance;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_insulin_resistance
PRKCB,5,CTD_Hyperglycemia;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
PRKCE,5,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
SLC2A2,5,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Insulin_resistance;KEGG_insulin_resistance;KEGG_type_II_diabetes
TNF,5,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
AGER,4,CTD_Hyperglycemia;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
AKT2,4,GOBP_RESPONSE_TO_INSULIN;HPO_Insulin_resistance;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
COL1A1,4,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
IGF1,4,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Insulin_resistance
KCNJ11,4,CTD_Insulin_Resistance;HPO_Hyperglycemia;HPO_Insulin_resistance;KEGG_type_II_diabetes
NOS3,4,CTD_Hyperglycemia;CTD_Insulin_Resistance;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
OGT,4,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_insulin_resistance
PCK1,4,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_insulin_resistance
PCK2,4,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_insulin_resistance
PIK3R2,4,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
PIK3R3,4,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
PPARG,4,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia;HPO_Insulin_resistance
PRKAA2,4,CTD_Insulin_Resistance;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_insulin_resistance
PRKCD,4,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
PRKCZ,4,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
PTPN1,4,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;HPO_Insulin_resistance;KEGG_insulin_resistance
SLC2A4,4,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance;KEGG_type_II_diabetes
SREBF1,4,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_insulin_resistance
XBP1,4,CTD_Insulin_Resistance;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
ADRA2A,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Hyperglycemia
AKT1,3,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
AKT3,3,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
C1QTNF12,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
CARTPT,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
CCL2,3,CTD_Hyperglycemia;CTD_Insulin_Resistance;KEGG_AGE_RAGE_diabetic_complications
EGR1,3,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
ENPP1,3,GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia;HPO_Insulin_resistance
FOXO1,3,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
GCG,3,CTD_Hyperglycemia;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GCLC,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
GHRHR,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
GNAS,3,CTD_Insulin_Resistance;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GPLD1,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
GPX1,3,CTD_Hyperglycemia;GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
HMGA1,3,CTD_Hyperglycemia;CTD_Insulin_Resistance;HPO_Insulin_resistance
HNF1A,3,CTD_Hyperglycemia;HPO_Hyperglycemia;HPO_Insulin_resistance
HNF4A,3,GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Hyperglycemia;HPO_Insulin_resistance
HSD11B1,3,CTD_Hyperglycemia;CTD_Insulin_Resistance;HPO_Insulin_resistance
ICAM1,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
IGF1R,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
IKBKB,3,CTD_Insulin_Resistance;KEGG_insulin_resistance;KEGG_type_II_diabetes
MAPK1,3,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_type_II_diabetes
MAPK10,3,KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
MAPK3,3,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications;KEGG_type_II_diabetes
MAPK8,3,KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
MAPK9,3,KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
MLXIPL,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_insulin_resistance
MTOR,3,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance;KEGG_type_II_diabetes
NEUROD1,3,GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Hyperglycemia;HPO_Insulin_resistance
NPPA,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
NR1H4,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
OPRK1,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
P3R3URF-PIK3R3,3,KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
PIK3CB,3,KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
PIK3CD,3,KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance;KEGG_type_II_diabetes
PKLR,3,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_type_II_diabetes
PLCB1,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
RAC1,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
RAF1,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
RBM4,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
RETN,3,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;HPO_Insulin_resistance
RFX6,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Hyperglycemia
SLC39A14,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
SMAD3,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
SMAD4,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
SOCS3,3,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance;KEGG_type_II_diabetes
STAT3,3,HPO_Hyperglycemia;KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
STXBP4,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
TGFB1,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
TRIB3,3,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
UCP2,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
USF1,3,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
ABCA12,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
ACACB,2,CTD_Insulin_Resistance;KEGG_insulin_resistance
ACVR1C,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
ADCY5,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
ADCY8,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
ADM,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
AGT,2,KEGG_AGE_RAGE_diabetic_complications;KEGG_insulin_resistance
ALDOA,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
ALMS1,2,HPO_Hyperglycemia;HPO_Insulin_resistance
APPL1,2,GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia
ARV1,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
BAD,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
BAIAP3,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
BBS9,2,HPO_Hyperglycemia;HPO_Insulin_resistance
BRSK2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
C2CD2L,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
CAMP,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
CASP3,2,GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_AGE_RAGE_diabetic_complications
CASR,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
CAT,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
CCDC186,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
CD163,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
CD36,2,CTD_Insulin_Resistance;KEGG_insulin_resistance
CD40,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
CDK16,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
CLTRN,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
CMA1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
COL3A1,2,CTD_Hyperglycemia;KEGG_AGE_RAGE_diabetic_complications
CRH,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
CYBA,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
CYP7A1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
DYNLL1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
EFNA5,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
ENDOG,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
EPHA5,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
ERN1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
FBP1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_INSULIN
FIS1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
FKBP1B,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
FOXA2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
FOXO3,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
FUT1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
G6PC1,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
GAS6,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GATA4,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GCLM,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GHRL,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GPER1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GPR27,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GPR68,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GPR82,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
GPRC6A,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
GRB10,2,GOBP_RESPONSE_TO_INSULIN;HPO_Insulin_resistance
GSK3B,2,GOBP_RESPONSE_TO_INSULIN;KEGG_insulin_resistance
GSTP1,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
GYS2,2,GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_insulin_resistance
HIF1A,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
HLA-DRB1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
HMGCS2,2,GOBP_RESPONSE_TO_INSULIN;GOBP_RESPONSE_TO_MONOSACCHARIDE
HNF1B,2,GOBP_RESPONSE_TO_MONOSACCHARIDE;HPO_Insulin_resistance
HRAS,2,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications
IGF2BP2,2,CTD_Insulin_Resistance;HPO_Insulin_resistance
IL1B,2,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications
IL7,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
INS1,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
IRS4,2,GOBP_RESPONSE_TO_INSULIN;KEGG_type_II_diabetes
ITGAM,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
JAGN1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
KAT5,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
KCNB1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
KCNK16,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
KHK,2,GOBP_RESPONSE_TO_INSULIN;HPO_Hyperglycemia
KLF7,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
LEPR,2,CTD_Hyperglycemia;CTD_Insulin_Resistance
LIN28A,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
LIPC,2,CTD_Insulin_Resistance;HPO_Insulin_resistance
LMNA,2,HPO_Hyperglycemia;HPO_Insulin_resistance
LRP5,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MAFA,2,GOBP_RESPONSE_TO_MONOSACCHARIDE;KEGG_type_II_diabetes
MAPK13,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;KEGG_AGE_RAGE_diabetic_complications
MAPK14,2,GOBP_RESPONSE_TO_INSULIN;KEGG_AGE_RAGE_diabetic_complications
MC4R,2,CTD_Insulin_Resistance;GOBP_RESPONSE_TO_INSULIN
MIR146A,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR15A,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR16-1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR320A,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR320B1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR320B2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR320C1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR320C2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR320D1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR320D2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR320E,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIR337,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MIRLET7G,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MPC2,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
MRGPRE,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
NCF1,2,GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS;GOBP_RESPONSE_TO_MONOSACCHARIDE
