category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,1/31,31/4607,0.032258064516129,4.79396462018731,1.74433912306818,0.189405542236478,0.583378575346044,0.564459865566082,AGPAT2,1
Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,1/31,31/4607,0.032258064516129,4.79396462018731,1.74433912306818,0.189405542236478,0.583378575346044,0.564459865566082,DAPK1,1
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,2/31,120/4607,0.0166666666666667,2.47688172043011,1.34914338806599,0.1926769452793,0.583378575346044,0.564459865566082,HSPA5/SEC61A1,2
Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,1/31,32/4607,0.03125,4.64415322580645,1.70245591725231,0.194896894550872,0.583378575346044,0.564459865566082,MET,1
Human Diseases,Cancer: overview,hsa05204,Chemical carcinogenesis - DNA adducts,1/31,32/4607,0.03125,4.64415322580645,1.70245591725231,0.194896894550872,0.583378575346044,0.564459865566082,CYP2C19,1
Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,1/31,33/4607,0.0303030303030303,4.50342130987292,1.66226807073001,0.200352237997631,0.583378575346044,0.564459865566082,CYP2C19,1
Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,2/31,131/4607,0.0152671755725191,2.26889928589018,1.21260001063956,0.219907483166587,0.588965890772527,0.569865986818713,INHBE/IL32,2
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,1/31,37/4607,0.027027027027027,4.01656495204882,1.51619565846363,0.221818068246357,0.588965890772527,0.569865986818713,PLIN1,1
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,1/31,37/4607,0.027027027027027,4.01656495204882,1.51619565846363,0.221818068246357,0.588965890772527,0.569865986818713,MAOA,1
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,1/31,39/4607,0.0256410256410256,3.81058726220017,1.45066166772368,0.232340800026304,0.588965890772527,0.569865986818713,ANGPTL8,1
,,hsa04156,Integrated stress response (ISR) signaling pathway,1/31,40/4607,0.025,3.71532258064516,1.41950107881848,0.237550396173236,0.588965890772527,0.569865986818713,HSPA5,1
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,1/31,41/4607,0.024390243902439,3.62470495672699,1.3893263480838,0.242725771193737,0.588965890772527,0.569865986818713,HSPA5,1
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,1/31,42/4607,0.0238095238095238,3.5384024577573,1.36008026725596,0.24786714243618,0.588965890772527,0.569865986818713,SEC61A1,1
Organismal Systems,Immune system,hsa04612,Antigen processing and presentation,1/31,44/4607,0.0227272727272727,3.37756598240469,1.30416784446566,0.258048736322597,0.588965890772527,0.569865986818713,HSPA5,1
Human Diseases,Cancer: specific types,hsa05218,Melanoma,1/31,48/4607,0.0208333333333333,3.09610215053763,1.20142889285343,0.27801329507557,0.588965890772527,0.569865986818713,MET,1
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,2/31,155/4607,0.0129032258064516,1.91758584807492,0.956389465805985,0.28029586816442,0.588965890772527,0.569865986818713,PLIN1/PPARGC1A,2
Organismal Systems,Digestive system,hsa04976,Bile secretion,1/31,50/4607,0.02,2.97225806451613,1.1540085706477,0.287799621859147,0.588965890772527,0.569865986818713,ABCG2,1
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,1/31,50/4607,0.02,2.97225806451613,1.1540085706477,0.287799621859147,0.588965890772527,0.569865986818713,MACROH2A2,1
Metabolism,Global and overview maps,hsa01230,Biosynthesis of amino acids,1/31,51/4607,0.0196078431372549,2.91397849462366,1.13117575973008,0.292644522390718,0.588965890772527,0.569865986818713,ALDH18A1,1
Organismal Systems,Endocrine system,hsa04920,Adipocytokine signaling pathway,1/31,52/4607,0.0192307692307692,2.85794044665012,1.10889155559531,0.297457520592185,0.588965890772527,0.569865986818713,PPARGC1A,1
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,1/31,52/4607,0.0192307692307692,2.85794044665012,1.10889155559531,0.297457520592185,0.588965890772527,0.569865986818713,MET,1
Human Diseases,Cancer: specific types,hsa05211,Renal cell carcinoma,1/31,52/4607,0.0192307692307692,2.85794044665012,1.10889155559531,0.297457520592185,0.588965890772527,0.569865986818713,MET,1
Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,1/31,55/4607,0.0181818181818182,2.70205278592375,1.0450884514208,0.311707126082664,0.593442413118918,0.574197337520697,MET,1
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,1/31,55/4607,0.0181818181818182,2.70205278592375,1.0450884514208,0.311707126082664,0.593442413118918,0.574197337520697,MET,1
Human Diseases,Infectious disease: bacterial,hsa05100,Bacterial invasion of epithelial cells,1/31,58/4607,0.0172413793103448,2.5622914349277,0.98541208929268,0.325676848044265,0.608339772761929,0.588611582364014,MET,1
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,1/31,61/4607,0.0163934426229508,2.4362771020624,0.929369133405121,0.33937200404997,0.613136500276585,0.593252754121948,PPARGC1A,1
Environmental Information Processing,Signaling molecules and interaction,hsa04519,Cadherin signaling,2/31,179/4607,0.0111731843575419,1.66047936565147,0.741791357954741,0.340631389042547,0.613136500276585,0.593252754121948,MET/FAT1,2
Genetic Information Processing,Chromosome,hsa03082,ATP-dependent chromatin remodeling,1/31,67/4607,0.0149253731343284,2.21810303322099,0.826596011524775,0.365959402164104,0.629562940469714,0.609146492107858,MACROH2A2,1
Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,1/31,69/4607,0.0144927536231884,2.15381019167835,0.794742569651463,0.37458949200738,0.629562940469714,0.609146492107858,SERPINE1,1
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,2/31,196/4607,0.0102040816326531,1.5164581961817,0.60812728113287,0.382607340098035,0.629562940469714,0.609146492107858,HSPA5/STIP1,2
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,1/31,73/4607,0.0136986301369863,2.03579319487406,0.734164754786688,0.391509939721214,0.629562940469714,0.609146492107858,MET,1
Environmental Information Processing,Signal transduction,hsa04350,TGF-beta signaling pathway,1/31,74/4607,0.0135135135135135,2.00828247602441,0.719622983299113,0.395670326106005,0.629562940469714,0.609146492107858,INHBE,1
Organismal Systems,Endocrine system,hsa04922,Glucagon signaling pathway,1/31,75/4607,0.0133333333333333,1.98150537634409,0.705306960474897,0.399803178497515,0.629562940469714,0.609146492107858,PPARGC1A,1
Human Diseases,Infectious disease: parasitic,hsa05142,Chagas disease,1/31,75/4607,0.0133333333333333,1.98150537634409,0.705306960474897,0.399803178497515,0.629562940469714,0.609146492107858,SERPINE1,1
Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,1/31,78/4607,0.0128205128205128,1.90529363110008,0.663644366118426,0.41203828815888,0.629562940469714,0.609146492107858,SERPINE1,1
Organismal Systems,Development and regeneration,hsa04382,Cornified envelope formation,1/31,80/4607,0.0125,1.85766129032258,0.636876700820515,0.420060559178281,0.629562940469714,0.609146492107858,HAL,1
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,1/31,82/4607,0.0121951219512195,1.81235247836349,0.610860368806162,0.42797685687928,0.629562940469714,0.609146492107858,MAOA,1
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,1/31,83/4607,0.0120481927710843,1.79051690633502,0.598120539370875,0.431895689461986,0.629562940469714,0.609146492107858,SERPINE1,1
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,1/31,83/4607,0.0120481927710843,1.79051690633502,0.598120539370875,0.431895689461986,0.629562940469714,0.609146492107858,INHBE,1
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,1/31,86/4607,0.0116279069767442,1.72805701425356,0.560915147466488,0.443496930937064,0.629562940469714,0.609146492107858,PPARGC1A,1
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,1/31,91/4607,0.010989010989011,1.63310882665721,0.502021022318456,0.462324686646454,0.629562940469714,0.609146492107858,PPARGC1A,1
Organismal Systems,Immune system,hsa04613,Neutrophil extracellular trap formation,1/31,93/4607,0.010752688172043,1.5979882067291,0.479460817836671,0.469681887494804,0.629562940469714,0.609146492107858,MACROH2A2,1
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,1/31,93/4607,0.010752688172043,1.5979882067291,0.479460817836671,0.469681887494804,0.629562940469714,0.609146492107858,MET,1
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,1/31,94/4607,0.0106382978723404,1.58098833218943,0.46838014483295,0.473323859468145,0.629562940469714,0.609146492107858,AGPAT2,1
Metabolism,Global and overview maps,hsa01240,Biosynthesis of cofactors,1/31,95/4607,0.0105263157894737,1.56434634974533,0.457428040319952,0.476941621567965,0.629562940469714,0.609146492107858,KMO,1
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,1/31,95/4607,0.0105263157894737,1.56434634974533,0.457428040319952,0.476941621567965,0.629562940469714,0.609146492107858,MACROH2A2,1
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,1/31,95/4607,0.0105263157894737,1.56434634974533,0.457428040319952,0.476941621567965,0.629562940469714,0.609146492107858,SERPINE1,1
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,1/31,100/4607,0.01,1.48612903225806,0.404489810040658,0.49467269642934,0.644376275611904,0.623479437327839,PPARGC1A,1
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,1/31,105/4607,0.00952380952380953,1.41536098310292,0.354337738261582,0.511821458911829,0.653902939540791,0.632697155749197,SERPINE1,1
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,1/31,108/4607,0.00925925925925926,1.37604540023895,0.325457262967519,0.521838929126839,0.653902939540791,0.632697155749197,MET,1
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,1/31,108/4607,0.00925925925925926,1.37604540023895,0.325457262967519,0.521838929126839,0.653902939540791,0.632697155749197,MET,1
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,1/31,110/4607,0.00909090909090909,1.35102639296188,0.306672247529907,0.528406415790538,0.653902939540791,0.632697155749197,PPARGC1A,1
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,1/31,116/4607,0.00862068965517241,1.28114571746385,0.252399648320326,0.547589358693413,0.656873601117871,0.635571480082151,MET,1
Organismal Systems,Development and regeneration,hsa04360,Axon guidance,1/31,117/4607,0.00854700854700855,1.27019575406672,0.243639716970732,0.550712211038215,0.656873601117871,0.635571480082151,MET,1
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,1/31,117/4607,0.00854700854700855,1.27019575406672,0.243639716970732,0.550712211038215,0.656873601117871,0.635571480082151,MET,1
Cellular Processes,Transport and catabolism,hsa04140,Autophagy - animal,1/31,126/4607,0.00793650793650794,1.1794674859191,0.168106066191481,0.577894940001551,0.681090465001828,0.659003001756155,DAPK1,1
Environmental Information Processing,Signal transduction,hsa04020,Calcium signaling pathway,1/31,130/4607,0.00769230769230769,1.14317617866005,0.13628520187514,0.589458775377549,0.686546103086793,0.66428171590535,MET,1
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,1/31,137/4607,0.0072992700729927,1.08476571697669,0.0828946624887971,0.608961873427715,0.701014249643533,0.678280666853392,MET,1
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,1/31,142/4607,0.00704225352112676,1.04656974102681,0.0463913562462683,0.62234049166383,0.706012837390383,0.683117152605261,MET,1
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,1/31,144/4607,0.00694444444444444,1.03203405017921,0.0321424857474101,0.627566966569229,0.706012837390383,0.683117152605261,MET,1
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,1/31,151/4607,0.00662251655629139,0.984191412091433,-0.0162558157067262,0.645314086158935,0.709845494774828,0.686825518601907,MET,1
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,1/31,151/4607,0.00662251655629139,0.984191412091433,-0.0162558157067262,0.645314086158935,0.709845494774828,0.686825518601907,HSPA5,1
Cellular Processes,Transport and catabolism,hsa04145,Phagocytosis,1/31,160/4607,0.00625,0.92883064516129,-0.0754083192992413,0.666932570762081,0.725564005554352,0.702034285012718,SEC61A1,1
Human Diseases,Cancer: overview,hsa05200,Pathways in cancer,2/31,341/4607,0.00586510263929619,0.871629930943146,-0.202735753071954,0.680351363528656,0.72691526696238,0.703341725609534,MET/DAPK1,2
Human Diseases,Cancer: overview,hsa05208,Chemical carcinogenesis - reactive oxygen species,1/31,167/4607,0.00598802395209581,0.889897624106625,-0.119278796095223,0.682859796237388,0.72691526696238,0.703341725609534,MET,1
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,1/31,203/4607,0.00492610837438424,0.732083267122199,-0.32130982691731,0.753808911785475,0.793905130497468,0.768159137429767,MET,1
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,1/31,216/4607,0.00462962962962963,0.688022700119474,-0.386516428456742,0.775438206322141,0.801305576218613,0.775319589961656,PPARGC1A,1
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,1/31,217/4607,0.00460829493087558,0.684852088598186,-0.391391911136934,0.777023589060473,0.801305576218613,0.775319589961656,MET,1
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,1/31,247/4607,0.00404858299595142,0.601671672978974,-0.529597870426116,0.819855105994681,0.836759334984262,0.809623598974672,HSPA5,1
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,1/31,266/4607,0.0037593984962406,0.558695124909047,-0.610217216235897,0.842739203915281,0.851338583547069,0.823730048939748,SLC39A7,1
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,1/31,313/4607,0.00319488817891374,0.47480160775018,-0.792071418927693,0.887914677174129,0.887914677174129,0.859119995989854,HSPA5,1
