gene,logFC,AveExpr,P.Value,adj.P.Val,sig_use,logFC_C2,P_C2,hyperglycemia_tag,logFC_GSE15653,logFC_GSE64998,module,GS_T2D,kME_own,hub,in_geneset,geneset_sources
MANF,0.514205580096739,7.63272925643504,0.000309764256890989,0.0251731841833917,Up,0.110963149110846,0.394910802591452,FALSE,0.50222451317971,0.528514379738128,green,0.393568349027563,0.809702748346608,TRUE,FALSE,
LGALS3BP,0.785965162637702,8.26597239612795,0.000322109852863549,0.0251731841833917,Up,0.176971222797947,0.376461091071445,FALSE,1.01492894079421,0.553904225784169,green,0.363805135055828,0.769966160278352,FALSE,FALSE,
ALDH18A1,0.601088147895654,6.56377245838318,0.000327732247745242,0.0251731841833917,Up,0.0279920778191567,0.854401060486448,FALSE,0.647931905193868,0.573880752599955,green,0.324702137478882,0.760974194959714,FALSE,FALSE,
CD151,0.658899102414964,8.69215038556843,0.000335437278808782,0.0252361673100106,Up,0.161527161740976,0.337657799766748,FALSE,0.678497577234846,0.658464925770023,green,0.406893012715851,0.863753035192149,TRUE,FALSE,
AGPAT2,0.62774926897723,8.45031589259587,0.000343033073756827,0.0252361673100106,Up,0.130833466030209,0.415135455951671,FALSE,0.787563645795201,0.490108511505703,green,0.388018284971419,0.783775440946594,FALSE,FALSE,
IL32,1.26008090264891,7.96745732410548,0.000394983812601741,0.0260751032537868,Up,0.13648653751479,0.674721773051711,FALSE,0.938874010810961,1.61193253823234,green,0.373887045275426,0.821993319246236,TRUE,FALSE,
SLC35C1,0.591066476925868,7.04960354109775,0.000419977293368675,0.0264836427534724,Up,0.228328788473602,0.141442086538549,FALSE,0.494379548221938,0.697615586192128,green,0.442581651982861,0.834451178223175,TRUE,FALSE,
HSPA5,0.686467992186797,9.71685841438189,0.000472207011288733,0.0271655552460293,Up,0.292724498024301,0.109056279672427,FALSE,0.748708074752805,0.608265534849,green,0.427114607047554,0.82759283975223,TRUE,FALSE,
PXDC1,0.529937051782039,8.69492019477256,0.000498703945678326,0.0273355368322028,Up,0.233593909232352,0.0995661667513951,FALSE,0.638378752103584,0.419359819067914,green,0.438899343177982,0.756036400685431,FALSE,FALSE,
BSG,0.613628216151746,7.98685267237887,0.000520842791707323,0.0273355368322028,Up,0.253625532860105,0.123177002286432,FALSE,0.862265273664777,0.359594961916351,green,0.395919018856789,0.785901365797492,FALSE,FALSE,
RETREG1,-0.629530577336679,7.17375070591621,0.000526380216047135,0.0273355368322028,Down,-0.38068185756269,0.0265921011012252,TRUE,-0.451252451306347,-0.82360584316343,magenta,-0.509077374470179,0.797769317199641,FALSE,FALSE,
GALNT2,0.576059231690754,8.18469131640736,0.000530345083974381,0.0273355368322028,Up,0.16014603864499,0.296686689136302,FALSE,0.707760305016221,0.434841929664431,green,0.369254250726624,0.859489871756947,TRUE,FALSE,
ANGPTL8,0.860679193587788,7.58399651688001,0.000544426455841203,0.0273833544753462,Up,0.369987036832555,0.110650496281199,FALSE,1.02482134505709,0.712891838920803,green,0.443996820848751,0.752327523928398,FALSE,FALSE,
STIP1,0.504606625468884,6.85097232777596,0.00058111211967281,0.0285687892732867,Up,0.261246146309914,0.0577831441403341,FALSE,0.691827012529384,0.319497308587646,green,0.448059451068152,0.771356046321088,FALSE,FALSE,
GPD1,0.537644422684184,8.32720198759346,0.00067487026685051,0.0302823732590801,Up,-0.00404917780697645,0.977785825620539,FALSE,0.676717257872257,0.418558053815211,green,0.292942403480634,0.686134259432327,FALSE,FALSE,
ST3GAL6,-0.594897382404398,7.46086202514081,0.00069667767720679,0.0304500783895151,Down,-0.0212307709544968,0.895344522188693,FALSE,-0.818045289091659,-0.387035356041913,magenta,-0.291022174217044,0.745167057089715,FALSE,FALSE,
TXLNA,0.539048748161275,7.15023684611067,0.000720711914544737,0.0304500783895151,Up,0.128199218148578,0.384389946390745,FALSE,0.688018866647476,0.398423019067718,green,0.365608872240028,0.854365051686905,TRUE,FALSE,
SLC39A7,0.545217757533282,6.93232987669707,0.00075065973533583,0.030754772266569,Up,0.25412206389101,0.0936307973586108,FALSE,0.584415371413925,0.507592326190701,green,0.448788250736693,0.879836106764294,TRUE,FALSE,
PPARGC1A,-0.608676627637156,6.98806569630883,0.000784344672266262,0.0312332162873266,Down,-0.1710352099908,0.308759785299106,FALSE,-0.144943747233927,-1.08580005641145,magenta,-0.383974968127855,0.733718945502929,FALSE,TRUE,KEGG_insulin_resistance
APOL3,0.620468473415577,6.86742960430316,0.000840695231306996,0.0317572890259987,Up,0.209820720500167,0.224913675422484,FALSE,0.395020354386675,0.834394877018478,green,0.406275689109198,0.613809893060676,FALSE,FALSE,
SLC19A2,-0.550870502176275,6.68778898780095,0.00128163909227329,0.037603233457192,Down,-0.0965943807570797,0.543219811270661,FALSE,-0.59076529271339,-0.539739445734063,magenta,-0.361335718091731,0.865594780167198,TRUE,FALSE,
SEC61A1,0.541245953113632,9.0433945273919,0.00139203803169418,0.0386654598177475,Up,0.0604004367900046,0.700824670409375,FALSE,0.699045959768309,0.403503693965789,green,0.322209984380057,0.917981034221001,TRUE,FALSE,
HSD17B11,-0.696741819126347,9.26232700265572,0.00167090225305898,0.0414164398346588,Down,-0.0647485987269914,0.753484352616431,FALSE,-0.723669514273478,-0.686622867962305,magenta,-0.319856675330513,0.778442498125209,FALSE,FALSE,
PLIN2,0.65067754790269,9.43137369121414,0.00185368710312295,0.0433607596092709,Up,0.424411895191579,0.033935091988055,TRUE,0.681278503232576,0.580440799294875,green,0.440158339684719,0.703401421946342,FALSE,FALSE,
HAL,-0.646649628703278,8.69221261897817,0.00227551577768609,0.0478311152274813,Down,-0.109879771112505,0.57906645903982,FALSE,-0.575260831396133,-0.728169139755043,magenta,-0.326640409484687,0.670103398485242,FALSE,FALSE,
CDHR2,0.707409336993876,8.19128008037644,0.00317338968601805,0.0546133255536711,Up,0.0866161181219294,0.699982819888918,FALSE,0.765707169761897,0.666006972951511,green,0.296173143406654,0.763379137264203,FALSE,FALSE,
CRP,1.26514231494378,9.65898621886005,0.00366420916678788,0.0581881522341318,Up,-0.0852513787829423,0.834727496193283,FALSE,1.35250186579979,1.2205828848855,green,0.23395342105766,0.512061696073939,FALSE,FALSE,
SDF2L1,0.53095916775591,6.31809231471738,0.00376531316525253,0.0584869416293821,Up,0.128530682323518,0.456443015857787,FALSE,0.74763610309391,0.332053041479701,green,0.318135805156748,0.776936097384601,FALSE,FALSE,
FAT1,0.583539097237908,6.83958270846737,0.00549111273268828,0.0655377870100398,Up,0.081971038316218,0.679346273085601,FALSE,-0.0149322664232185,1.18071470700114,green,0.317988770502794,0.522478674250805,FALSE,FALSE,
PLIN1,0.52071205320182,7.63391966414589,0.00552947597591214,0.0655377870100398,Up,0.206764099255981,0.246493083601745,FALSE,0.404552804120897,0.622564707997558,green,0.377833562413584,0.602852226939432,FALSE,TRUE,HPO_Insulin_resistance
IGFBP1,-1.58029541626424,8.45118220292293,0.00735133137503865,0.0707131996714044,Down,-0.198063155466727,0.722641549520074,FALSE,-0.79236607756193,-2.54426978914483,magenta,-0.291881873586583,0.709199645835863,FALSE,TRUE,GOBP_RESPONSE_TO_INSULIN
