gene,DEG,DEG_FDR,module,phenotype_set,candidate19,AMPK_map,AMPK_axis,axis_unanchored,p53_axis,sc_confirmed,ML_top7,MR_FDR05,replicated,logFC,P,FDR,ml_rank,mr_OR,mr_p,mr_FDR,n_stages
PRKAA2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.2883315494399,0.0174833628632484,0.124528023712669,,,,,3
RPS6KB2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.257949387042562,0.0194903632172992,0.129212989472378,,,,,3
TSC2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.360866737018733,0.0271776682330935,0.147761600402632,,,,,3
ULK1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.471039299127842,6.64395450049281e-05,0.0422769009190092,,,,,3
AKT2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.272775905162288,0.0322680307039496,0.159941472099098,,,,,2
CFTR,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.346053445795614,0.00848407975775739,0.100031858033946,,,,,2
CREB3,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.303800603180914,0.00138677189848469,0.0658826713042013,,,,,2
MLYCD,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.272131424826275,0.0291126278511173,0.152132859290081,,,,,2
PDPK1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.153466221786299,0.018028233353959,0.12592415969288,,,,,2
PFKFB1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.325059846329074,0.00103535016306561,0.0628118882034337,,,,,2
PHLDA3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.160508637806877,0.0173043302157062,0.124296409318028,,0.965300319459896,0.583307194659008,0.775346280670945,2
PPP2R1A,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.348763030574157,0.00116430586290843,0.0636171358842145,,,,,2
PPP2R3B,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.276953635505095,0.00063525508853722,0.0539381129075716,,,,,2
PPP2R5A,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.262441936043039,0.00882731769154429,0.100936625982014,,,,,2
STK11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.354251480632152,0.0153103974501462,0.117879056948494,,,,,2
TSC1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.202386421851348,0.034493511696181,0.164918658956342,,,,,2
EEF2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.448462726762021,0.00104406663485494,0.0628118882034337,,,,,1
PFKFB4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.131856641195354,0.00500148112903384,0.0874127475573622,,,,,1
PFKM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.174352886444122,0.044645878124864,0.183139607433781,,,,,1
PFKP,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.201971206322531,0.00645525341532389,0.0940478245554191,,,,,1
PPP2R5B,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.137412769860998,0.0300031487878973,0.155093997102205,,,,,1
