perm,s3,s4,s5,s6,s7,n_cand
176,1,0,0,0,0,2
177,0,0,0,0,0,0
178,0,0,0,0,0,1
179,0,0,0,0,0,0
180,0,0,0,0,0,2
181,1,1,0,0,0,1
182,0,0,0,0,0,1
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,4,3,0,0,0,7
186,0,0,0,0,0,0
187,1,1,1,1,1,2
188,1,0,0,0,0,2
189,0,0,0,0,0,0
190,1,0,0,0,0,1
191,0,0,0,0,0,0
192,0,0,0,0,0,1
193,0,0,0,0,0,0
194,0,0,0,0,0,1
195,1,1,1,0,0,4
196,0,0,0,0,0,0
197,4,2,0,0,0,7
198,0,0,0,0,0,0
199,1,1,0,0,0,1
200,2,1,0,0,0,2
201,1,1,0,0,0,3
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,1,1,0,0,0,0
206,1,0,0,0,0,2
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,1,0,0,0,0,1
210,0,0,0,0,0,0
211,0,0,0,0,0,0
212,0,0,0,0,0,0
213,0,0,0,0,0,0
214,0,0,0,0,0,0
215,0,0,0,0,0,1
216,0,0,0,0,0,0
217,0,0,0,0,0,1
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,1,0,0,0,0,2
221,0,0,0,0,0,0
222,0,0,0,0,0,1
223,2,1,0,0,0,2
224,0,0,0,0,0,0
225,0,0,0,0,0,2
226,0,0,0,0,0,1
227,0,0,0,0,0,0
228,0,0,0,0,0,1
229,0,0,0,0,0,1
230,0,0,0,0,0,0
231,1,1,1,0,0,1
232,0,0,0,0,0,0
233,0,0,0,0,0,0
234,1,0,0,0,0,2
235,0,0,0,0,0,0
236,1,0,0,0,0,1
237,0,0,0,0,0,1
238,1,0,0,0,0,2
239,3,2,2,1,1,2
240,2,1,0,0,0,2
241,2,1,1,1,0,2
242,0,0,0,0,0,3
243,0,0,0,0,0,1
244,1,1,1,0,0,2
245,1,0,0,0,0,1
246,0,0,0,0,0,1
247,0,0,0,0,0,0
248,0,0,0,0,0,1
249,0,0,0,0,0,1
250,0,0,0,0,0,1
251,1,1,1,0,0,0
252,1,1,0,0,0,4
253,0,0,0,0,0,0
254,0,0,0,0,0,1
255,0,0,0,0,0,1
256,0,0,0,0,0,2
257,0,0,0,0,0,0
258,1,1,1,0,0,0
259,0,0,0,0,0,0
260,0,0,0,0,0,0
261,0,0,0,0,0,0
262,0,0,0,0,0,2
263,0,0,0,0,0,0
264,0,0,0,0,0,0
265,1,0,0,0,0,1
266,2,2,0,0,0,2
267,0,0,0,0,0,1
268,3,0,0,0,0,6
269,0,0,0,0,0,0
270,0,0,0,0,0,0
271,0,0,0,0,0,0
272,0,0,0,0,0,0
273,0,0,0,0,0,0
274,1,1,0,0,0,0
275,0,0,0,0,0,0
276,0,0,0,0,0,0
277,1,0,0,0,0,2
278,0,0,0,0,0,0
279,1,1,1,0,0,0
280,0,0,0,0,0,0
281,1,1,1,1,1,1
282,0,0,0,0,0,1
283,0,0,0,0,0,0
284,0,0,0,0,0,0
285,2,1,0,0,0,1
286,0,0,0,0,0,1
287,0,0,0,0,0,0
288,0,0,0,0,0,1
289,0,0,0,0,0,0
290,1,1,0,0,0,0
291,0,0,0,0,0,1
292,0,0,0,0,0,0
293,0,0,0,0,0,0
294,1,0,0,0,0,7
295,0,0,0,0,0,0
296,0,0,0,0,0,0
297,0,0,0,0,0,0
298,0,0,0,0,0,0
299,0,0,0,0,0,1
300,0,0,0,0,0,0
301,0,0,0,0,0,0
302,0,0,0,0,0,0
303,0,0,0,0,0,0
304,0,0,0,0,0,1
305,0,0,0,0,0,1
306,0,0,0,0,0,0
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,0,0,0,0,0,1
310,0,0,0,0,0,0
311,3,2,2,1,1,2
312,1,0,0,0,0,1
313,0,0,0,0,0,0
314,2,1,1,1,1,2
315,1,0,0,0,0,3
316,0,0,0,0,0,0
317,0,0,0,0,0,0
318,0,0,0,0,0,0
319,0,0,0,0,0,0
320,2,1,0,0,0,4
321,0,0,0,0,0,0
322,0,0,0,0,0,1
323,0,0,0,0,0,0
324,0,0,0,0,0,2
325,0,0,0,0,0,1
326,0,0,0,0,0,2
327,2,1,0,0,0,4
328,0,0,0,0,0,0
329,0,0,0,0,0,0
330,0,0,0,0,0,0
331,0,0,0,0,0,0
332,2,2,2,0,0,1
333,0,0,0,0,0,0
334,0,0,0,0,0,1
335,0,0,0,0,0,0
336,0,0,0,0,0,1
337,1,0,0,0,0,2
338,0,0,0,0,0,1
339,0,0,0,0,0,0
340,0,0,0,0,0,1
341,0,0,0,0,0,2
342,0,0,0,0,0,0
343,0,0,0,0,0,0
344,0,0,0,0,0,0
345,0,0,0,0,0,1
346,1,1,0,0,0,2
347,1,1,0,0,0,2
348,0,0,0,0,0,1
349,0,0,0,0,0,0
350,1,0,0,0,0,4
351,0,0,0,0,0,3
352,0,0,0,0,0,2
353,0,0,0,0,0,0
354,0,0,0,0,0,0
355,0,0,0,0,0,0
356,0,0,0,0,0,0
357,0,0,0,0,0,0
358,0,0,0,0,0,1
359,1,1,0,0,0,0
360,1,1,0,0,0,3
361,1,1,0,0,0,2
362,1,1,0,0,0,1
363,0,0,0,0,0,0
364,2,1,1,1,1,3
365,0,0,0,0,0,0
366,0,0,0,0,0,0
367,0,0,0,0,0,1
368,0,0,0,0,0,0
369,0,0,0,0,0,0
370,2,2,0,0,0,1
371,0,0,0,0,0,0
372,2,2,2,1,1,1
373,2,2,0,0,0,1
374,0,0,0,0,0,0
375,3,3,3,2,2,3
376,0,0,0,0,0,0
377,1,0,0,0,0,1
378,0,0,0,0,0,2
379,0,0,0,0,0,0
380,0,0,0,0,0,0
381,0,0,0,0,0,1
382,2,0,0,0,0,4
383,0,0,0,0,0,0
384,1,1,1,0,0,1
385,0,0,0,0,0,1
386,1,1,0,0,0,1
387,0,0,0,0,0,1
388,0,0,0,0,0,1
389,0,0,0,0,0,1
390,0,0,0,0,0,1
391,0,0,0,0,0,0
392,0,0,0,0,0,1
393,0,0,0,0,0,0
394,1,0,0,0,0,1
395,1,1,0,0,0,0
396,0,0,0,0,0,0
397,0,0,0,0,0,0
398,0,0,0,0,0,0
399,2,2,2,1,0,5
400,1,1,1,1,1,1
401,0,0,0,0,0,1
402,0,0,0,0,0,1
403,0,0,0,0,0,1
404,0,0,0,0,0,0
405,3,1,0,0,0,5
406,0,0,0,0,0,0
407,0,0,0,0,0,0
408,1,0,0,0,0,3
409,2,2,0,0,0,0
410,1,1,0,0,0,0
411,3,1,0,0,0,4
412,3,2,0,0,0,11
413,0,0,0,0,0,0
414,0,0,0,0,0,0
415,1,1,0,0,0,2
416,0,0,0,0,0,0
417,0,0,0,0,0,1
418,0,0,0,0,0,0
419,0,0,0,0,0,0
420,1,0,0,0,0,2
421,0,0,0,0,0,0
422,0,0,0,0,0,0
423,0,0,0,0,0,1
424,0,0,0,0,0,1
425,0,0,0,0,0,1
426,0,0,0,0,0,0
427,0,0,0,0,0,1
428,0,0,0,0,0,0
429,0,0,0,0,0,0
430,0,0,0,0,0,1
431,0,0,0,0,0,0
432,4,2,2,1,1,8
433,0,0,0,0,0,0
434,0,0,0,0,0,1
435,1,1,0,0,0,6
436,0,0,0,0,0,0
437,0,0,0,0,0,1
438,0,0,0,0,0,0
439,0,0,0,0,0,0
440,3,1,0,0,0,5
441,0,0,0,0,0,1
442,1,0,0,0,0,1
443,0,0,0,0,0,0
444,0,0,0,0,0,0
445,0,0,0,0,0,0
446,1,0,0,0,0,1
447,1,1,1,0,0,0
448,1,1,0,0,0,0
449,0,0,0,0,0,0
450,0,0,0,0,0,0
451,0,0,0,0,0,0
452,1,1,1,1,1,4
453,0,0,0,0,0,2
454,0,0,0,0,0,0
455,0,0,0,0,0,0
456,1,0,0,0,0,1
457,1,1,1,0,0,0
458,4,2,0,0,0,9
459,0,0,0,0,0,1
460,1,1,1,0,0,0
461,0,0,0,0,0,0
462,0,0,0,0,0,0
463,0,0,0,0,0,0
464,0,0,0,0,0,2
465,0,0,0,0,0,0
466,1,1,1,0,0,1
467,0,0,0,0,0,0
468,0,0,0,0,0,0
469,0,0,0,0,0,0
470,0,0,0,0,0,0
471,0,0,0,0,0,0
472,3,1,0,0,0,4
473,0,0,0,0,0,1
474,0,0,0,0,0,0
475,0,0,0,0,0,0
476,0,0,0,0,0,0
477,0,0,0,0,0,1
478,0,0,0,0,0,0
479,0,0,0,0,0,0
480,0,0,0,0,0,0
481,0,0,0,0,0,0
482,0,0,0,0,0,1
483,2,1,0,0,0,3
484,0,0,0,0,0,0
485,3,1,0,0,0,5
486,3,2,0,0,0,0
487,2,1,1,0,0,4
488,0,0,0,0,0,0
489,4,3,3,1,1,3
490,0,0,0,0,0,1
491,0,0,0,0,0,1
492,0,0,0,0,0,1
493,0,0,0,0,0,0
494,0,0,0,0,0,0
495,0,0,0,0,0,0
496,0,0,0,0,0,0
497,0,0,0,0,0,0
498,0,0,0,0,0,1
499,0,0,0,0,0,0
500,2,1,0,0,0,4
501,0,0,0,0,0,0
502,0,0,0,0,0,0
503,1,1,0,0,0,1
504,0,0,0,0,0,1
505,0,0,0,0,0,1
506,0,0,0,0,0,1
507,0,0,0,0,0,0
508,0,0,0,0,0,1
509,0,0,0,0,0,0
510,1,1,0,0,0,0
511,0,0,0,0,0,0
512,0,0,0,0,0,2
513,1,0,0,0,0,1
514,1,0,0,0,0,1
515,0,0,0,0,0,1
516,1,1,1,0,0,0
517,0,0,0,0,0,0
518,0,0,0,0,0,0
519,0,0,0,0,0,0
520,0,0,0,0,0,1
521,0,0,0,0,0,0
522,1,0,0,0,0,3
523,1,1,1,0,0,2
524,0,0,0,0,0,0
525,1,1,0,0,0,2
526,0,0,0,0,0,0
527,6,2,2,1,1,10
528,0,0,0,0,0,0
529,0,0,0,0,0,1
530,0,0,0,0,0,1
531,4,3,3,1,1,4
532,1,0,0,0,0,1
533,0,0,0,0,0,1
534,1,0,0,0,0,1
535,1,1,0,0,0,2
536,3,1,1,1,1,4
537,0,0,0,0,0,0
538,0,0,0,0,0,1
539,0,0,0,0,0,1
540,0,0,0,0,0,0
541,0,0,0,0,0,0
542,0,0,0,0,0,0
543,1,1,0,0,0,0
544,0,0,0,0,0,0
545,0,0,0,0,0,0
546,0,0,0,0,0,8
547,0,0,0,0,0,1
548,0,0,0,0,0,0
549,1,1,1,0,0,0
550,0,0,0,0,0,0
551,1,1,1,0,0,0
552,1,0,0,0,0,1
553,0,0,0,0,0,0
554,0,0,0,0,0,1
555,0,0,0,0,0,0
556,1,1,0,0,0,0
557,0,0,0,0,0,0
558,0,0,0,0,0,0
559,1,0,0,0,0,2
560,1,1,0,0,0,0
561,0,0,0,0,0,0
562,0,0,0,0,0,0
563,3,1,1,0,0,7
564,1,1,1,1,1,2
565,0,0,0,0,0,0
566,0,0,0,0,0,1
567,0,0,0,0,0,0
568,0,0,0,0,0,1
569,0,0,0,0,0,0
570,0,0,0,0,0,2
571,0,0,0,0,0,0
572,0,0,0,0,0,1
573,0,0,0,0,0,0
574,0,0,0,0,0,0
575,0,0,0,0,0,1
576,1,1,0,0,0,0
577,0,0,0,0,0,1
578,0,0,0,0,0,0
579,0,0,0,0,0,0
580,0,0,0,0,0,0
581,0,0,0,0,0,0
582,0,0,0,0,0,0
583,0,0,0,0,0,1
584,0,0,0,0,0,2
585,2,2,2,0,0,0
586,0,0,0,0,0,1
587,0,0,0,0,0,0
588,0,0,0,0,0,0
589,0,0,0,0,0,0
590,1,1,0,0,0,2
591,0,0,0,0,0,0
592,2,0,0,0,0,2
593,0,0,0,0,0,2
594,1,1,0,0,0,1
595,0,0,0,0,0,1
596,1,0,0,0,0,1
597,1,1,0,0,0,0
598,0,0,0,0,0,0
599,0,0,0,0,0,1
600,2,1,1,1,1,3
601,3,1,1,1,0,7
602,4,2,1,1,1,6
603,0,0,0,0,0,0
604,0,0,0,0,0,0
605,0,0,0,0,0,0
606,0,0,0,0,0,0
607,0,0,0,0,0,0
608,0,0,0,0,0,0
609,0,0,0,0,0,0
610,0,0,0,0,0,0
611,0,0,0,0,0,1
612,0,0,0,0,0,1
613,0,0,0,0,0,0
614,0,0,0,0,0,1
615,0,0,0,0,0,1
616,0,0,0,0,0,1
617,0,0,0,0,0,2
618,0,0,0,0,0,0
619,0,0,0,0,0,1
620,0,0,0,0,0,0
621,0,0,0,0,0,0
622,0,0,0,0,0,0
623,0,0,0,0,0,0
624,0,0,0,0,0,0
625,0,0,0,0,0,0
626,0,0,0,0,0,1
627,0,0,0,0,0,0
628,1,0,0,0,0,2
629,0,0,0,0,0,1
630,0,0,0,0,0,0
631,1,0,0,0,0,1
632,0,0,0,0,0,0
633,0,0,0,0,0,0
634,0,0,0,0,0,1
635,0,0,0,0,0,2
636,0,0,0,0,0,0
637,1,1,1,1,1,2
638,0,0,0,0,0,2
639,0,0,0,0,0,0
640,1,1,0,0,0,0
641,0,0,0,0,0,0
642,2,2,2,0,0,0
643,0,0,0,0,0,1
644,0,0,0,0,0,2
645,2,2,0,0,0,6
646,3,2,2,1,1,5
647,0,0,0,0,0,1
648,0,0,0,0,0,1
649,1,0,0,0,0,1
650,0,0,0,0,0,0
651,0,0,0,0,0,1
652,0,0,0,0,0,0
653,1,0,0,0,0,1
654,0,0,0,0,0,1
655,0,0,0,0,0,0
656,0,0,0,0,0,0
657,1,1,0,0,0,2
658,0,0,0,0,0,0
659,2,1,0,0,0,3
660,0,0,0,0,0,0
661,0,0,0,0,0,0
662,1,1,1,0,0,0
663,0,0,0,0,0,1
664,0,0,0,0,0,0
665,0,0,0,0,0,0
666,0,0,0,0,0,0
667,0,0,0,0,0,0
668,0,0,0,0,0,1
669,0,0,0,0,0,1
670,0,0,0,0,0,0
671,0,0,0,0,0,0
672,0,0,0,0,0,1
673,0,0,0,0,0,0
674,0,0,0,0,0,0
675,0,0,0,0,0,0
676,0,0,0,0,0,0
677,1,1,1,1,1,3
678,0,0,0,0,0,1
679,1,1,0,0,0,0
680,0,0,0,0,0,0
681,2,1,0,0,0,3
682,0,0,0,0,0,2
683,0,0,0,0,0,0
684,0,0,0,0,0,0
685,0,0,0,0,0,1
686,1,1,1,1,1,4
687,0,0,0,0,0,1
688,0,0,0,0,0,0
689,0,0,0,0,0,0
690,0,0,0,0,0,0
691,0,0,0,0,0,0
692,0,0,0,0,0,0
693,0,0,0,0,0,0
694,0,0,0,0,0,0
695,0,0,0,0,0,0
696,0,0,0,0,0,0
697,0,0,0,0,0,1
698,0,0,0,0,0,2
699,0,0,0,0,0,0
700,0,0,0,0,0,0
701,1,1,1,0,0,1
702,0,0,0,0,0,0
703,0,0,0,0,0,1
704,1,0,0,0,0,1
705,0,0,0,0,0,1
706,0,0,0,0,0,1
707,1,1,0,0,0,1
708,0,0,0,0,0,0
709,1,0,0,0,0,2
710,0,0,0,0,0,0
711,0,0,0,0,0,2
712,1,0,0,0,0,2
713,0,0,0,0,0,0
714,1,1,0,0,0,1
715,0,0,0,0,0,0
716,0,0,0,0,0,0
717,0,0,0,0,0,0
718,0,0,0,0,0,0
719,0,0,0,0,0,0
720,1,1,1,1,1,1
721,0,0,0,0,0,0
722,4,2,0,0,0,6
723,1,1,0,0,0,2
724,0,0,0,0,0,0
725,1,1,1,0,0,0
726,0,0,0,0,0,0
727,0,0,0,0,0,1
728,0,0,0,0,0,0
729,0,0,0,0,0,0
730,2,2,0,0,0,3
731,0,0,0,0,0,0
732,0,0,0,0,0,1
733,0,0,0,0,0,0
734,0,0,0,0,0,0
735,0,0,0,0,0,1
736,0,0,0,0,0,0
737,0,0,0,0,0,0
738,0,0,0,0,0,0
739,0,0,0,0,0,0
740,0,0,0,0,0,0
741,0,0,0,0,0,2
742,0,0,0,0,0,0
743,1,1,0,0,0,1
744,0,0,0,0,0,0
745,0,0,0,0,0,0
746,0,0,0,0,0,1
747,0,0,0,0,0,0
748,0,0,0,0,0,3
749,0,0,0,0,0,0
750,0,0,0,0,0,0
751,2,0,0,0,0,5
752,2,1,0,0,0,1
753,0,0,0,0,0,0
754,0,0,0,0,0,0
755,1,1,0,0,0,0
756,0,0,0,0,0,1
757,0,0,0,0,0,0
758,0,0,0,0,0,0
759,0,0,0,0,0,1
760,1,0,0,0,0,2
761,0,0,0,0,0,2
762,0,0,0,0,0,0
763,0,0,0,0,0,0
764,0,0,0,0,0,2
765,0,0,0,0,0,1
766,0,0,0,0,0,0
767,0,0,0,0,0,0
768,1,0,0,0,0,1
769,0,0,0,0,0,0
770,1,1,0,0,0,4
771,0,0,0,0,0,1
772,1,0,0,0,0,1
773,0,0,0,0,0,0
774,1,0,0,0,0,2
775,0,0,0,0,0,0
776,0,0,0,0,0,0
777,0,0,0,0,0,1
778,1,0,0,0,0,2
779,1,1,1,0,0,0
780,1,1,1,0,0,1
781,0,0,0,0,0,0
782,0,0,0,0,0,4
783,1,1,1,1,1,2
784,0,0,0,0,0,2
785,3,1,0,0,0,7
786,0,0,0,0,0,0
787,0,0,0,0,0,0
788,0,0,0,0,0,0
789,0,0,0,0,0,2
790,0,0,0,0,0,0
791,1,0,0,0,0,0
792,0,0,0,0,0,0
793,0,0,0,0,0,0
794,1,0,0,0,0,1
795,0,0,0,0,0,1
796,0,0,0,0,0,0
797,6,3,1,0,0,16
798,0,0,0,0,0,0
799,2,2,2,0,0,0
800,0,0,0,0,0,0
801,1,1,0,0,0,2
802,0,0,0,0,0,0
803,0,0,0,0,0,0
804,2,1,1,0,0,1
805,0,0,0,0,0,0
806,0,0,0,0,0,0
807,1,1,1,0,0,2
808,1,1,0,0,0,0
809,1,0,0,0,0,0
810,2,2,0,0,0,1
811,0,0,0,0,0,1
812,0,0,0,0,0,1
813,0,0,0,0,0,0
814,1,1,0,0,0,1
815,0,0,0,0,0,0
816,0,0,0,0,0,2
817,1,0,0,0,0,1
818,0,0,0,0,0,1
819,1,0,0,0,0,0
820,0,0,0,0,0,0
821,0,0,0,0,0,0
822,2,1,0,0,0,4
823,0,0,0,0,0,0
824,1,0,0,0,0,2
825,0,0,0,0,0,0
826,1,1,1,1,1,7
827,0,0,0,0,0,2
828,1,1,1,0,0,0
829,3,2,2,0,0,2
830,0,0,0,0,0,0
831,0,0,0,0,0,0
832,0,0,0,0,0,2
833,0,0,0,0,0,0
834,0,0,0,0,0,3
835,5,2,0,0,0,9
836,0,0,0,0,0,0
837,0,0,0,0,0,2
838,2,1,0,0,0,5
839,0,0,0,0,0,0
840,3,2,0,0,0,2
841,4,3,3,1,1,7
842,0,0,0,0,0,1
843,0,0,0,0,0,0
844,0,0,0,0,0,0
845,0,0,0,0,0,1
846,0,0,0,0,0,1
847,0,0,0,0,0,1
848,0,0,0,0,0,0
849,0,0,0,0,0,0
850,0,0,0,0,0,0
851,0,0,0,0,0,0
852,2,1,1,0,0,2
853,0,0,0,0,0,0
854,0,0,0,0,0,0
855,0,0,0,0,0,0
856,0,0,0,0,0,1
857,0,0,0,0,0,0
858,0,0,0,0,0,1
859,0,0,0,0,0,1
860,0,0,0,0,0,1
861,0,0,0,0,0,1
862,0,0,0,0,0,0
863,0,0,0,0,0,0
864,1,1,1,0,0,0
865,0,0,0,0,0,0
866,0,0,0,0,0,3
867,0,0,0,0,0,0
868,1,1,0,0,0,0
869,0,0,0,0,0,3
870,0,0,0,0,0,0
871,1,1,1,0,0,1
872,0,0,0,0,0,0
873,0,0,0,0,0,0
874,0,0,0,0,0,2
875,0,0,0,0,0,0
876,1,1,0,0,0,2
877,0,0,0,0,0,1
878,0,0,0,0,0,0
879,0,0,0,0,0,0
880,1,1,1,0,0,2
881,0,0,0,0,0,0
882,1,0,0,0,0,1
883,0,0,0,0,0,0
884,1,1,0,0,0,4
885,0,0,0,0,0,0
886,0,0,0,0,0,1
887,1,1,0,0,0,1
888,1,0,0,0,0,6
889,0,0,0,0,0,0
890,0,0,0,0,0,0
891,0,0,0,0,0,0
892,0,0,0,0,0,0
893,0,0,0,0,0,1
894,1,1,0,0,0,1
895,0,0,0,0,0,0
896,0,0,0,0,0,0
897,0,0,0,0,0,0
898,0,0,0,0,0,0
899,1,1,0,0,0,0
900,4,2,0,0,0,11
901,1,1,0,0,0,0
902,1,1,1,0,0,1
903,0,0,0,0,0,1
904,0,0,0,0,0,1
905,0,0,0,0,0,0
906,0,0,0,0,0,1
907,0,0,0,0,0,2
908,0,0,0,0,0,1
909,2,1,0,0,0,1
910,1,1,0,0,0,0
911,0,0,0,0,0,0
912,1,1,0,0,0,0
913,1,1,0,0,0,0
914,1,0,0,0,0,1
915,1,0,0,0,0,2
916,0,0,0,0,0,0
917,0,0,0,0,0,0
918,2,2,2,1,1,5
919,0,0,0,0,0,0
920,0,0,0,0,0,1
921,0,0,0,0,0,0
922,0,0,0,0,0,2
923,0,0,0,0,0,1
924,0,0,0,0,0,0
925,0,0,0,0,0,2
926,0,0,0,0,0,0
927,6,5,0,0,0,7
928,0,0,0,0,0,0
929,0,0,0,0,0,0
930,1,1,0,0,0,1
931,1,1,1,0,0,2
932,1,1,1,1,1,5
933,1,0,0,0,0,7
934,2,1,1,1,1,2
935,0,0,0,0,0,1
936,2,1,1,1,1,4
937,0,0,0,0,0,1
938,0,0,0,0,0,1
939,0,0,0,0,0,1
940,1,0,0,0,0,3
941,0,0,0,0,0,2
942,0,0,0,0,0,1
943,0,0,0,0,0,1
944,0,0,0,0,0,0
945,1,1,1,0,0,2
946,0,0,0,0,0,0
947,0,0,0,0,0,2
948,0,0,0,0,0,1
949,0,0,0,0,0,0
950,0,0,0,0,0,0
951,2,2,2,0,0,0
952,0,0,0,0,0,1
953,0,0,0,0,0,0
954,0,0,0,0,0,2
955,1,1,0,0,0,2
956,0,0,0,0,0,0
957,0,0,0,0,0,1
958,0,0,0,0,0,0
959,0,0,0,0,0,0
960,0,0,0,0,0,0
961,0,0,0,0,0,0
962,0,0,0,0,0,0
963,0,0,0,0,0,1
964,0,0,0,0,0,1
965,1,1,0,0,0,1
966,0,0,0,0,0,0
967,0,0,0,0,0,0
968,0,0,0,0,0,0
969,0,0,0,0,0,0
970,0,0,0,0,0,0
971,0,0,0,0,0,0
972,0,0,0,0,0,0
973,0,0,0,0,0,0
974,1,0,0,0,0,2
975,0,0,0,0,0,0
976,1,0,0,0,0,1
977,0,0,0,0,0,2
978,0,0,0,0,0,1
979,1,0,0,0,0,1
980,0,0,0,0,0,1
981,0,0,0,0,0,0
982,0,0,0,0,0,0
983,1,1,1,0,0,0
984,0,0,0,0,0,1
985,0,0,0,0,0,0
986,3,1,0,0,0,8
987,0,0,0,0,0,0
988,0,0,0,0,0,0
989,0,0,0,0,0,0
990,0,0,0,0,0,5
991,0,0,0,0,0,0
992,1,1,0,0,0,0
993,0,0,0,0,0,0
994,1,0,0,0,0,1
995,1,0,0,0,0,2
996,0,0,0,0,0,2
