source,entrez,gene
KEGG_AGE_RAGE_diabetic_complications,7046,TGFBR1
KEGG_AGE_RAGE_diabetic_complications,7048,TGFBR2
KEGG_AGE_RAGE_diabetic_complications,7056,THBD
KEGG_AGE_RAGE_diabetic_complications,7124,TNF
KEGG_AGE_RAGE_diabetic_complications,7412,VCAM1
KEGG_AGE_RAGE_diabetic_complications,7422,VEGFA
KEGG_AGE_RAGE_diabetic_complications,7423,VEGFB
KEGG_AGE_RAGE_diabetic_complications,7424,VEGFC
KEGG_AGE_RAGE_diabetic_complications,836,CASP3
KEGG_AGE_RAGE_diabetic_complications,84812,PLCD4
KEGG_AGE_RAGE_diabetic_complications,8503,PIK3R3
KEGG_AGE_RAGE_diabetic_complications,998,CDC42
KEGG_insulin_resistance,10000,AKT3
KEGG_insulin_resistance,10062,NR1H3
KEGG_insulin_resistance,10488,CREB3
KEGG_insulin_resistance,10724,OGA
KEGG_insulin_resistance,10891,PPARGC1A
KEGG_insulin_resistance,10998,SLC27A5
KEGG_insulin_resistance,10999,SLC27A4
KEGG_insulin_resistance,11000,SLC27A3
KEGG_insulin_resistance,11001,SLC27A2
KEGG_insulin_resistance,110117499,P3R3URF-PIK3R3
KEGG_insulin_resistance,133522,PPARGC1B
KEGG_insulin_resistance,1374,CPT1A
KEGG_insulin_resistance,1375,CPT1B
KEGG_insulin_resistance,1385,CREB1
KEGG_insulin_resistance,148327,CREB3L4
KEGG_insulin_resistance,183,AGT
KEGG_insulin_resistance,200186,CRTC2
KEGG_insulin_resistance,207,AKT1
KEGG_insulin_resistance,208,AKT2
KEGG_insulin_resistance,22877,MLXIP
KEGG_insulin_resistance,2308,FOXO1
KEGG_insulin_resistance,2475,MTOR
KEGG_insulin_resistance,2538,G6PC1
KEGG_insulin_resistance,2673,GFPT1
KEGG_insulin_resistance,27330,RPS6KA6
KEGG_insulin_resistance,28965,SLC27A6
KEGG_insulin_resistance,2932,GSK3B
KEGG_insulin_resistance,2997,GYS1
KEGG_insulin_resistance,2998,GYS2
KEGG_insulin_resistance,32,ACACB
KEGG_insulin_resistance,3551,IKBKB
KEGG_insulin_resistance,3569,IL6
KEGG_insulin_resistance,3630,INS
KEGG_insulin_resistance,3643,INSR
KEGG_insulin_resistance,3667,IRS1
KEGG_insulin_resistance,376497,SLC27A1
KEGG_insulin_resistance,4790,NFKB1
KEGG_insulin_resistance,4792,NFKBIA
KEGG_insulin_resistance,4846,NOS3
KEGG_insulin_resistance,5105,PCK1
KEGG_insulin_resistance,5106,PCK2
KEGG_insulin_resistance,51085,MLXIPL
KEGG_insulin_resistance,51422,PRKAG2
KEGG_insulin_resistance,5170,PDPK1
KEGG_insulin_resistance,5290,PIK3CA
KEGG_insulin_resistance,5291,PIK3CB
KEGG_insulin_resistance,5293,PIK3CD
KEGG_insulin_resistance,5295,PIK3R1
KEGG_insulin_resistance,5296,PIK3R2
KEGG_insulin_resistance,53632,PRKAG3
KEGG_insulin_resistance,5465,PPARA
KEGG_insulin_resistance,5499,PPP1CA
KEGG_insulin_resistance,5500,PPP1CB
KEGG_insulin_resistance,5501,PPP1CC
KEGG_insulin_resistance,5506,PPP1R3A
KEGG_insulin_resistance,5507,PPP1R3C
KEGG_insulin_resistance,5509,PPP1R3D
KEGG_insulin_resistance,5524,PTPA
KEGG_insulin_resistance,5562,PRKAA1
KEGG_insulin_resistance,5563,PRKAA2
KEGG_insulin_resistance,5564,PRKAB1
KEGG_insulin_resistance,5565,PRKAB2
KEGG_insulin_resistance,5571,PRKAG1
KEGG_insulin_resistance,5579,PRKCB
KEGG_insulin_resistance,5580,PRKCD
KEGG_insulin_resistance,5581,PRKCE
KEGG_insulin_resistance,5588,PRKCQ
KEGG_insulin_resistance,5590,PRKCZ
KEGG_insulin_resistance,5599,MAPK8
KEGG_insulin_resistance,5601,MAPK9
KEGG_insulin_resistance,5602,MAPK10
KEGG_insulin_resistance,5728,PTEN
KEGG_insulin_resistance,5770,PTPN1
KEGG_insulin_resistance,57761,TRIB3
KEGG_insulin_resistance,5781,PTPN11
KEGG_insulin_resistance,57818,G6PC2
KEGG_insulin_resistance,5792,PTPRF
KEGG_insulin_resistance,5834,PYGB
KEGG_insulin_resistance,5836,PYGL
KEGG_insulin_resistance,5837,PYGM
KEGG_insulin_resistance,5970,RELA
KEGG_insulin_resistance,6195,RPS6KA1
KEGG_insulin_resistance,6196,RPS6KA2
KEGG_insulin_resistance,6197,RPS6KA3
KEGG_insulin_resistance,6198,RPS6KB1
KEGG_insulin_resistance,6199,RPS6KB2
KEGG_insulin_resistance,64764,CREB3L2
KEGG_insulin_resistance,6513,SLC2A1
KEGG_insulin_resistance,6514,SLC2A2
KEGG_insulin_resistance,6517,SLC2A4
KEGG_insulin_resistance,6720,SREBF1
KEGG_insulin_resistance,6774,STAT3
KEGG_insulin_resistance,6945,MLX
KEGG_insulin_resistance,7124,TNF
KEGG_insulin_resistance,7132,TNFRSF1A
KEGG_insulin_resistance,7376,NR1H2
KEGG_insulin_resistance,79660,PPP1R3B
KEGG_insulin_resistance,84699,CREB3L3
KEGG_insulin_resistance,8473,OGT
KEGG_insulin_resistance,8503,PIK3R3
KEGG_insulin_resistance,8660,IRS2
KEGG_insulin_resistance,9021,SOCS3
KEGG_insulin_resistance,90673,PPP1R3E
KEGG_insulin_resistance,90993,CREB3L1
KEGG_insulin_resistance,92579,G6PC3
KEGG_insulin_resistance,948,CD36
KEGG_insulin_resistance,9586,CREB5
KEGG_insulin_resistance,9882,TBC1D4
KEGG_insulin_resistance,9945,GFPT2
KEGG_type_II_diabetes,110117499,P3R3URF-PIK3R3
KEGG_type_II_diabetes,122809,SOCS4
KEGG_type_II_diabetes,2475,MTOR
KEGG_type_II_diabetes,2645,GCK
KEGG_type_II_diabetes,3098,HK1
KEGG_type_II_diabetes,3099,HK2
KEGG_type_II_diabetes,3101,HK3
KEGG_type_II_diabetes,3551,IKBKB
KEGG_type_II_diabetes,3630,INS
KEGG_type_II_diabetes,3643,INSR
KEGG_type_II_diabetes,3651,PDX1
KEGG_type_II_diabetes,3667,IRS1
KEGG_type_II_diabetes,3767,KCNJ11
KEGG_type_II_diabetes,389692,MAFA
KEGG_type_II_diabetes,5290,PIK3CA
KEGG_type_II_diabetes,5291,PIK3CB
KEGG_type_II_diabetes,5293,PIK3CD
KEGG_type_II_diabetes,5295,PIK3R1
KEGG_type_II_diabetes,5296,PIK3R2
KEGG_type_II_diabetes,5313,PKLR
KEGG_type_II_diabetes,5315,PKM
KEGG_type_II_diabetes,5580,PRKCD
KEGG_type_II_diabetes,5581,PRKCE
KEGG_type_II_diabetes,5590,PRKCZ
KEGG_type_II_diabetes,5594,MAPK1
KEGG_type_II_diabetes,5595,MAPK3
KEGG_type_II_diabetes,5599,MAPK8
KEGG_type_II_diabetes,5601,MAPK9
KEGG_type_II_diabetes,5602,MAPK10
KEGG_type_II_diabetes,6514,SLC2A2
KEGG_type_II_diabetes,6517,SLC2A4
KEGG_type_II_diabetes,6833,ABCC8
KEGG_type_II_diabetes,7124,TNF
KEGG_type_II_diabetes,773,CACNA1A
KEGG_type_II_diabetes,774,CACNA1B
KEGG_type_II_diabetes,775,CACNA1C
KEGG_type_II_diabetes,776,CACNA1D
KEGG_type_II_diabetes,777,CACNA1E
KEGG_type_II_diabetes,80201,HKDC1
KEGG_type_II_diabetes,8471,IRS4
KEGG_type_II_diabetes,8503,PIK3R3
KEGG_type_II_diabetes,8651,SOCS1
KEGG_type_II_diabetes,8660,IRS2
KEGG_type_II_diabetes,8835,SOCS2
KEGG_type_II_diabetes,8913,CACNA1G
KEGG_type_II_diabetes,9021,SOCS3
KEGG_type_II_diabetes,9370,ADIPOQ
