gene,on_map,n_steps,path,edge_signs,subtypes,net_sign,predicted_if_AMPK_suppressed,observed_logFC,observed_P,direction_matches,fig1_candidate,measured,human_DE,human_FDR,mouse,sc_confirmed,ml_rank,mr_FDR,replicated
IRS1,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0728410344711814,Irs1,FALSE,,,FALSE
IRS4,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.940506350131823,Irs4,FALSE,,,FALSE
LEP,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.999194458697655,Lep,FALSE,,,FALSE
LEPR,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,FALSE,FALSE,,Lepr,FALSE,,,FALSE
MAP3K7,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.800669724940289,Map3k7,FALSE,,,FALSE
P3R3URF-PIK3R3,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,FALSE,FALSE,,"",FALSE,,,FALSE
PDPK1,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.12592415969288,Pdpk1,FALSE,,,FALSE
PFKL,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0802162528992835,Pfkl,FALSE,,,FALSE
PFKM,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.183139607433781,Pfkm,FALSE,,,FALSE
PFKP,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0940478245554191,Pfkp,FALSE,,,FALSE
PIK3CA,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.141319286744511,Pik3ca,FALSE,,,FALSE
PIK3CB,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.356482428816149,Pik3cb,FALSE,,,FALSE
PIK3CD,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.189473707246273,Pik3cd,FALSE,,,FALSE
PIK3R1,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.634120284471499,Pik3r1,FALSE,,,FALSE
PIK3R2,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0920119170685281,Pik3r2,FALSE,,,FALSE
PIK3R3,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,FALSE,FALSE,,"",FALSE,,,FALSE
PPP2CA,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,Ppp2ca,FALSE,,,FALSE
PPP2CB,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.33047865467249,Ppp2cb,FALSE,,,FALSE
PPP2R1A,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0636171358842145,Ppp2r1a,FALSE,,,FALSE
PPP2R1B,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.886750963056815,Ppp2r1b,FALSE,,,FALSE
PPP2R2A,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.35424207213145,Ppp2r2a,FALSE,,,FALSE
PPP2R2B,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.271834208721982,Ppp2r2b,FALSE,,,FALSE
PPP2R2C,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,Ppp2r2c,FALSE,,,FALSE
PPP2R2D,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.361833034087814,Ppp2r2d,FALSE,,,FALSE
PPP2R3A,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.623183626354569,Ppp2r3a,FALSE,,,FALSE
PPP2R3B,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0539381129075716,Ppp2r3d,FALSE,,,FALSE
PPP2R3C,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.482338971264616,Ppp2r3c,FALSE,,,FALSE
PPP2R5A,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.100936625982014,Ppp2r5a,TRUE,,,FALSE
PPP2R5B,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.155093997102205,Ppp2r5b,FALSE,,,FALSE
PPP2R5C,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.199279388881882,Ppp2r5c,FALSE,,,FALSE
PPP2R5D,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.717180165246286,Ppp2r5d,FALSE,,,FALSE
PPP2R5E,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.913156286491856,Ppp2r5e,FALSE,,,FALSE
RHEB,TRUE,,no directed path from AMPK,,,,,,,FALSE,FALSE,TRUE,FALSE,0.99706323338691,Rheb,FALSE,,,FALSE
SIRT1,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.0855266768434143,Sirt1,FALSE,,0.0113651160077621,FALSE
STK11,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.117879056948494,Stk11,FALSE,,,FALSE
STRADA,TRUE,,,,,,,,,FALSE,FALSE,TRUE,FALSE,0.633781345112823,Strada,FALSE,,,FALSE
STRADB,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,,Stradb,FALSE,,,FALSE
TSC1,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.164918658956342,Tsc1,FALSE,,,FALSE
TSC2,TRUE,,,,,,,,,FALSE,FALSE,TRUE,TRUE,0.147761600402632,Tsc2,FALSE,,,FALSE
PRKAA1,TRUE,0,PRKAG2+6,"","",1,down,-0.08,0.2,TRUE,FALSE,TRUE,FALSE,0.406139240603562,Prkaa1,FALSE,,0.623261570311671,FALSE
PRKAA2,TRUE,0,PRKAG2+6,"","",1,down,0.29,0.017,FALSE,FALSE,TRUE,TRUE,0.124528023712669,Prkaa2,FALSE,,,FALSE
PRKAB1,TRUE,0,PRKAG2+6,"","",1,down,0.09,0.33,FALSE,FALSE,TRUE,FALSE,0.536308013454462,Prkab1,FALSE,,,FALSE
PRKAB2,TRUE,0,PRKAG2+6,"","",1,down,-0.16,0.059,TRUE,FALSE,TRUE,FALSE,0.207360796305083,Prkab2,FALSE,,,FALSE
PRKAG1,TRUE,0,PRKAG2+6,"","",1,down,-0.09,0.32,TRUE,FALSE,TRUE,FALSE,0.526350012515952,Prkag1,FALSE,,,FALSE
PRKAG2,TRUE,0,PRKAG2+6,"","",1,down,0.14,0.18,FALSE,FALSE,TRUE,FALSE,0.377254906667062,Prkag2,FALSE,,,FALSE
PRKAG3,TRUE,0,PRKAG2+6,"","",1,down,,,FALSE,FALSE,FALSE,FALSE,,Prkag3,FALSE,,,FALSE
ACACA,TRUE,1,PRKAG2+6 -> ACACA,-,inhibition;phosphorylation,-1,up,0.08,0.59,TRUE,FALSE,TRUE,FALSE,0.745354127931092,Acaca,FALSE,,,FALSE
ACACB,TRUE,1,PRKAG2+6 -> ACACB,-,inhibition;phosphorylation,-1,up,0.13,0.34,TRUE,FALSE,TRUE,FALSE,0.54247441134669,Acacb,FALSE,,,FALSE
AKT1S1,TRUE,1,PRKAG2+6 -> MTOR/RPTOR/AKT1S1,-,inhibition;phosphorylation,-1,up,,,FALSE,FALSE,FALSE,FALSE,,Akt1s1,FALSE,,,FALSE
CD36,TRUE,1,PRKAG2+6 -> CD36,+,activation;indirect effect,1,down,0.23,0.1,FALSE,FALSE,TRUE,FALSE,0.277836454619227,Cd36,FALSE,,,FALSE
CFTR,TRUE,1,PRKAG2+6 -> CFTR,-,inhibition;phosphorylation,-1,up,0.35,0.0085,TRUE,FALSE,TRUE,TRUE,0.100031858033946,Cftr,FALSE,,,FALSE
CRTC2,TRUE,1,PRKAG2+6 -> CRTC2,-,inhibition;phosphorylation,-1,up,,,FALSE,FALSE,FALSE,FALSE,,Crtc2,FALSE,,,FALSE
EEF2K,TRUE,1,PRKAG2+6 -> EEF2K,+,activation;phosphorylation,1,down,,,FALSE,FALSE,FALSE,FALSE,,Eef2k,FALSE,,,FALSE
ELAVL1,TRUE,1,PRKAG2+6 -> ELAVL1,-,inhibition,-1,up,0.01,0.93,TRUE,FALSE,TRUE,FALSE,0.962102633953873,Elavl1,FALSE,,,FALSE
GYS1,TRUE,1,PRKAG2+6 -> GYS1/GYS2,-,inhibition;phosphorylation,-1,up,-0.07,0.3,FALSE,FALSE,TRUE,FALSE,0.501143756868133,Gys1,FALSE,,,FALSE
GYS2,TRUE,1,PRKAG2+6 -> GYS1/GYS2,-,inhibition;phosphorylation,-1,up,-0.44,0.011,FALSE,FALSE,TRUE,TRUE,0.107509604953939,Gys2,FALSE,,,FALSE
HMGCR,TRUE,1,PRKAG2+6 -> HMGCR,-,inhibition;phosphorylation,-1,up,0.32,0.27,TRUE,FALSE,TRUE,FALSE,0.469542101951434,Hmgcr,FALSE,,,FALSE
LIPE,TRUE,1,PRKAG2+6 -> LIPE,-,inhibition;phosphorylation,-1,up,0.03,0.62,TRUE,FALSE,TRUE,FALSE,0.769857681470456,Lipe,FALSE,,,FALSE
MLYCD,TRUE,1,PRKAG2+6 -> MLYCD,+,activation;phosphorylation,1,down,0.27,0.029,FALSE,FALSE,TRUE,TRUE,0.152132859290081,Mlycd,FALSE,,,FALSE
MTOR,TRUE,1,PRKAG2+6 -> MTOR/RPTOR/AKT1S1,-,inhibition;phosphorylation,-1,up,0.06,0.35,TRUE,FALSE,TRUE,FALSE,0.548423227666707,Mtor,FALSE,,,FALSE
PFKFB1,TRUE,1,PRKAG2+6 -> PFKFB1+3,+,activation;phosphorylation,1,down,-0.33,0.001,TRUE,FALSE,TRUE,TRUE,0.0628118882034337,Pfkfb1,FALSE,,,FALSE
PFKFB2,TRUE,1,PRKAG2+6 -> PFKFB1+3,+,activation;phosphorylation,1,down,0.07,0.26,FALSE,FALSE,TRUE,FALSE,0.460184550275791,Pfkfb2,FALSE,,,FALSE
PFKFB3,TRUE,1,PRKAG2+6 -> PFKFB1+3,+,activation;phosphorylation,1,down,-0.66,0.00013,TRUE,FALSE,TRUE,TRUE,0.0422769009190092,Pfkfb3,TRUE,,,FALSE
PFKFB4,TRUE,1,PRKAG2+6 -> PFKFB1+3,+,activation;phosphorylation,1,down,0.13,0.005,FALSE,FALSE,TRUE,TRUE,0.0874127475573622,Pfkfb4,FALSE,,,FALSE
RPTOR,TRUE,1,PRKAG2+6 -> MTOR/RPTOR/AKT1S1,-,inhibition;phosphorylation,-1,up,,,FALSE,FALSE,FALSE,FALSE,,Rptor,FALSE,,,FALSE
SREBF1,TRUE,1,PRKAG2+6 -> SREBF1,-,inhibition;indirect effect,-1,up,0.44,0.026,TRUE,FALSE,TRUE,TRUE,0.14479173754425,Srebf1,FALSE,,2.16163684050087e-07,FALSE
TBC1D1,TRUE,1,PRKAG2+6 -> TBC1D1,-,inhibition;phosphorylation,-1,up,0.04,0.55,TRUE,FALSE,TRUE,FALSE,0.719207828367655,Tbc1d1,FALSE,,,FALSE
CCNA1,TRUE,2,PRKAG2+6 -> ELAVL1 -> CCNA2/CCNA1,-+,inhibition | activation,-1,up,-0.09,0.24,FALSE,FALSE,TRUE,FALSE,0.440969853595132,Ccna1,FALSE,,,FALSE
CCNA2,TRUE,2,PRKAG2+6 -> ELAVL1 -> CCNA2/CCNA1,-+,inhibition | activation,-1,up,-0.11,0.17,FALSE,FALSE,TRUE,FALSE,0.371881643744915,Ccna2,FALSE,,,FALSE
EEF2,TRUE,2,PRKAG2+6 -> EEF2K -> EEF2,+-,activation;phosphorylation | inhibition,-1,up,0.45,0.001,TRUE,FALSE,TRUE,TRUE,0.0628118882034337,Eef2,FALSE,,,FALSE
EIF4EBP1,TRUE,2,PRKAG2+6 -> MTOR/RPTOR/AKT1S1 -> EIF4EBP1,--,inhibition;phosphorylation | inhibition,1,down,0.08,0.37,FALSE,FALSE,TRUE,FALSE,0.574302899951308,Eif4ebp1,FALSE,,,FALSE
FASN,TRUE,2,PRKAG2+6 -> SREBF1 -> FASN,-+,inhibition;indirect effect | expression,-1,up,0.7,0.01,TRUE,FALSE,TRUE,TRUE,0.104041445819242,Fasn,FALSE,,0.410015935332755,FALSE
PCK1,TRUE,2,PRKAG2+6 -> CRTC2 -> PCK1/PCK2,-+,inhibition;phosphorylation | expression,-1,up,-0.22,0.24,FALSE,FALSE,TRUE,FALSE,0.44541233487075,Pck1,FALSE,,,FALSE
PCK2,TRUE,2,PRKAG2+6 -> CRTC2 -> PCK1/PCK2,-+,inhibition;phosphorylation | expression,-1,up,0.01,0.91,TRUE,FALSE,TRUE,FALSE,0.952000177732328,Pck2,FALSE,,,FALSE
PPARG,TRUE,2,PRKAG2+6 -> MTOR/RPTOR/AKT1S1 -> PPARG,-+,inhibition;phosphorylation | activation,-1,up,0.15,0.21,TRUE,FALSE,TRUE,FALSE,0.413517943865955,Pparg,FALSE,,,FALSE
RAB10,TRUE,2,PRKAG2+6 -> TBC1D1 -> RAB10+4,--,inhibition;phosphorylation | inhibition,1,down,,,FALSE,FALSE,FALSE,FALSE,,Rab10,FALSE,,,FALSE
RAB11B,TRUE,2,PRKAG2+6 -> TBC1D1 -> RAB10+4,--,inhibition;phosphorylation | inhibition,1,down,-0.13,0.085,TRUE,FALSE,TRUE,FALSE,0.250742904734524,Rab11b,FALSE,,,FALSE
RAB14,TRUE,2,PRKAG2+6 -> TBC1D1 -> RAB10+4,--,inhibition;phosphorylation | inhibition,1,down,-0.07,0.49,TRUE,FALSE,TRUE,FALSE,0.677322927268846,Rab14,FALSE,,,FALSE
RAB2A,TRUE,2,PRKAG2+6 -> TBC1D1 -> RAB10+4,--,inhibition;phosphorylation | inhibition,1,down,0.12,0.36,FALSE,FALSE,TRUE,FALSE,0.557760979560936,Rab2a,FALSE,,,FALSE
RAB8A,TRUE,2,PRKAG2+6 -> TBC1D1 -> RAB10+4,--,inhibition;phosphorylation | inhibition,1,down,,,FALSE,FALSE,FALSE,FALSE,,Rab8a,FALSE,,,FALSE
RPS6KB1,TRUE,2,PRKAG2+6 -> MTOR/RPTOR/AKT1S1 -> RPS6KB1/RPS6KB2,-+,inhibition;phosphorylation | activation,-1,up,-0.02,0.83,FALSE,FALSE,TRUE,FALSE,0.912626753279875,Rps6kb1,FALSE,,,FALSE
RPS6KB2,TRUE,2,PRKAG2+6 -> MTOR/RPTOR/AKT1S1 -> RPS6KB1/RPS6KB2,-+,inhibition;phosphorylation | activation,-1,up,0.26,0.019,TRUE,FALSE,TRUE,TRUE,0.129212989472378,Rps6kb2,FALSE,,,FALSE
SCD,TRUE,2,PRKAG2+6 -> SREBF1 -> SCD/SCD5,-+,inhibition;indirect effect | expression,-1,up,0.28,0.16,TRUE,FALSE,TRUE,FALSE,0.353919889889891,"",FALSE,,,FALSE
SCD5,TRUE,2,PRKAG2+6 -> SREBF1 -> SCD/SCD5,-+,inhibition;indirect effect | expression,-1,up,-0.01,0.93,FALSE,FALSE,TRUE,FALSE,0.964030640481681,"",FALSE,,,FALSE
ULK1,TRUE,2,PRKAG2+6 -> MTOR/RPTOR/AKT1S1 -> ULK1,--,inhibition;phosphorylation | inhibition,1,down,0.47,6.6e-05,FALSE,FALSE,TRUE,TRUE,0.0422769009190092,Ulk1,FALSE,,,FALSE
SLC2A4,TRUE,3,PRKAG2+6 -> TBC1D1 -> RAB10+4 -> SLC2A4,--+,inhibition;phosphorylation | inhibition | activation,1,down,0.08,0.31,FALSE,FALSE,TRUE,FALSE,0.512280834125269,Slc2a4,FALSE,,,FALSE
