gene,cell_type,axis,logFC,PValue,FDR,pct_cells_detected,logFC_exSTZ4,P_exSTZ4,human,human_logFC,human_P,concordant,concordant_P05,robust_exSTZ4
Foxo1,LSEC,AMPK,-0.0958446431063415,0.752421938091959,0.996165002953132,15.7,-0.12495674030304,0.704572050535964,FOXO1,-0.105403033427432,0.24841547187657,TRUE,FALSE,FALSE
Foxo1,NK_cell,AMPK,0.074357226748524,0.796463304152037,0.953069018393987,16.78,0.0603582624536305,0.845435405198784,FOXO1,-0.105403033427432,0.24841547187657,FALSE,FALSE,FALSE
Foxo1,T_cell,AMPK,-0.419541610450252,0.0149880452225076,0.329241771287609,21.8,-0.429133591752676,0.02132490987792,FOXO1,-0.105403033427432,0.24841547187657,TRUE,TRUE,TRUE
Foxo1,cDC,AMPK,0.293542637081841,0.608325559348829,0.99875188110707,11.35,0.412338906193984,0.459774071607433,FOXO1,-0.105403033427432,0.24841547187657,FALSE,FALSE,FALSE
Foxo1,pDC,AMPK,-0.190515008059519,0.492105938630177,0.951437574712548,16.31,-0.255001923570553,0.399672853592584,FOXO1,-0.105403033427432,0.24841547187657,TRUE,FALSE,FALSE
Igf1,Cholangiocyte,AMPK,-0.358314359041526,0.224490976320879,0.877965477847734,32.86,-0.651116651670508,0.0320767545253495,IGF1,-0.750196331507432,0.0163841211440685,TRUE,FALSE,FALSE
Igf1,HSC_Fibroblast,AMPK,0.0318901412693724,0.865314275657588,0.989660607968691,30.24,0.119257352359218,0.498298036219896,IGF1,-0.750196331507432,0.0163841211440685,FALSE,FALSE,FALSE
Irs2,B_cell,AMPK,-0.0555690957030593,0.734743260226334,0.972000673451282,44.84,-0.00389729019774381,0.983582635563645,IRS2,-0.584420274513232,0.00290962468594569,TRUE,FALSE,FALSE
Irs2,Cholangiocyte,AMPK,-0.453285466471792,0.193526028675218,0.853934238542168,16.19,-0.473649590828636,0.198536351484782,IRS2,-0.584420274513232,0.00290962468594569,TRUE,FALSE,FALSE
Irs2,HSC_Fibroblast,AMPK,0.0971421841777061,0.738592821731096,0.982798813889757,28.46,0.27586060909124,0.265558613395837,IRS2,-0.584420274513232,0.00290962468594569,FALSE,FALSE,FALSE
Irs2,Monocyte,AMPK,-0.528831616388875,0.261213489791316,0.999145022914932,8.91,-0.623921808718936,0.195263670693004,IRS2,-0.584420274513232,0.00290962468594569,TRUE,FALSE,FALSE
Irs2,T_cell,AMPK,-0.363733892058514,0.199000786048934,0.715193410365449,9.61,-0.374209151767837,0.224266192831936,IRS2,-0.584420274513232,0.00290962468594569,TRUE,FALSE,FALSE
Irs2,cDC,AMPK,0.652977705868279,0.176575782609691,0.99875188110707,7.52,0.691483189821845,0.175865730374801,IRS2,-0.584420274513232,0.00290962468594569,FALSE,FALSE,FALSE
Irs2,pDC,AMPK,-0.857399441610167,0.00849489399233204,0.64871054260738,22.46,-1.01358633956711,0.00574060007744756,IRS2,-0.584420274513232,0.00290962468594569,TRUE,TRUE,TRUE
Ppargc1a,Cholangiocyte,AMPK,-1.02773068266401,0.0159695273394242,0.517858347025421,16.67,-0.700817938459632,0.0221229005502369,PPARGC1A,-0.612471761557638,0.000603487342297342,TRUE,TRUE,TRUE
Prkaa1,B_cell,AMPK,-0.556514016211418,0.0902492435722327,0.748073918666759,1.99,-0.708262816961738,0.0481854249218498,PRKAA1,-0.0832174939496949,0.203035696208847,TRUE,FALSE,FALSE
Prkaa1,T_cell,AMPK,-0.484475229045995,0.198935069447635,0.715193410365449,4.26,-0.360957824941625,0.345269130608542,PRKAA1,-0.0832174939496949,0.203035696208847,TRUE,FALSE,FALSE
Prkaa2,Cholangiocyte,AMPK,0.248468535754736,0.553976122166313,0.950439833733912,12.42,,,PRKAA2,0.2883315494399,0.0174833628632484,TRUE,FALSE,FALSE
Sirt1,B_cell,AMPK,-0.293121129978635,0.0988018364320776,0.757162287579854,12.13,-0.379568932285725,0.0514430795771461,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,FALSE,FALSE
Sirt1,Cholangiocyte,AMPK,-0.405150526354775,0.163239690620174,0.837459251658463,14.78,-0.486217582860321,0.129442035612621,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,FALSE,FALSE
Sirt1,HSC_Fibroblast,AMPK,-0.224024396179,0.423619239975872,0.94489881352001,13.19,-0.123395018689797,0.662488115588189,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,FALSE,FALSE
Sirt1,Monocyte,AMPK,-0.383383427767013,0.377981842022984,0.999145022914932,8.04,-0.536120876175024,0.216445160504296,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,FALSE,FALSE
Sirt1,T_cell,AMPK,-0.46955980406433,0.0732972917810638,0.558062277866289,10.9,-0.599796018923217,0.0320910980783231,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,FALSE,FALSE
Sirt1,cDC,AMPK,0.114593128335577,0.754794621479138,0.99875188110707,13.95,0.164603416472746,0.651561364401255,SIRT1,-0.389065828328134,0.0044363570263749,FALSE,FALSE,FALSE
Sirt1,pDC,AMPK,0.145045787455317,0.652315280359558,0.976916004206163,9.36,0.133681181557476,0.696149975309612,SIRT1,-0.389065828328134,0.0044363570263749,FALSE,FALSE,FALSE
Srebf1,B_cell,AMPK,0.0568033892110946,0.861851015520092,0.991027766042526,1.79,0.172491608200883,0.607049813460154,SREBF1,0.435480157850608,0.0261960327030443,TRUE,FALSE,FALSE
Srebf1,Cholangiocyte,AMPK,-0.338635059660829,0.234579454708939,0.884047544989581,21.86,-0.333784531853192,0.270523112737715,SREBF1,0.435480157850608,0.0261960327030443,FALSE,FALSE,FALSE
Srebf1,HSC_Fibroblast,AMPK,-0.561080987482176,0.152772011987462,0.919682034055448,6.37,-0.657092159726943,0.130494589896487,SREBF1,0.435480157850608,0.0261960327030443,FALSE,FALSE,FALSE
Srebf1,T_cell,AMPK,-0.269901364752622,0.464507028240069,0.865433084618622,3.52,-0.127879788096492,0.724865112848191,SREBF1,0.435480157850608,0.0261960327030443,FALSE,FALSE,FALSE
Srebf1,cDC,AMPK,-0.309517570166357,0.571751606140597,0.99875188110707,6.7,-0.302142073904637,0.614997164760004,SREBF1,0.435480157850608,0.0261960327030443,FALSE,FALSE,FALSE
Srebf1,pDC,AMPK,0.225232447944285,0.498703453980361,0.951437574712548,11.63,0.323627411818932,0.355469010555236,SREBF1,0.435480157850608,0.0261960327030443,TRUE,FALSE,FALSE
Stk11,B_cell,AMPK,-0.457560437049434,0.00151338085500419,0.280299929427805,15.57,-0.517192565059487,0.000960031295599797,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Stk11,Cholangiocyte,AMPK,-0.260591930529657,0.195062139125709,0.853934238542168,33.02,-0.222335822655157,0.298662984764515,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Stk11,HSC_Fibroblast,AMPK,-0.10072198369511,0.669020162772529,0.975397007142861,15.17,-0.255631619878615,0.279243604894821,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Stk11,LSEC,AMPK,-0.267245484339303,0.39185076618715,0.995636266879722,11.95,-0.209905369943242,0.517904874232221,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Stk11,Monocyte,AMPK,0.0909626299385991,0.728355151462715,0.999145022914932,21.2,0.140374327141186,0.574887151989091,STK11,0.354251480632152,0.0153103974501462,TRUE,FALSE,FALSE
Stk11,NK_cell,AMPK,-0.60406868355511,0.0898710445921296,0.554851085761404,16.95,-0.701862079682826,0.0598384011565201,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Stk11,Neutrophil,AMPK,-1.1599772050015,0.0216273803625566,0.645833299862795,19.23,-0.893079696881308,0.050279851183459,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Stk11,T_cell,AMPK,-0.290993768007424,0.151524884594778,0.66890591125096,16.55,-0.257304356643564,0.23520890277239,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Stk11,cDC,AMPK,-0.263251033878868,0.33769228700617,0.99875188110707,30.51,-0.355489033699655,0.159487213680595,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Stk11,pDC,AMPK,-0.0163511223783526,0.937304152855622,0.99817121209726,32.75,-0.0664604919910356,0.768944287470049,STK11,0.354251480632152,0.0153103974501462,FALSE,FALSE,FALSE
Bax,B_cell,p53,-0.0651284938229618,0.627975202878169,0.960605909315096,23.98,-0.00426347350960649,0.975852566946431,BAX,0.341780465352488,0.0136443501184127,FALSE,FALSE,FALSE
Bax,Cholangiocyte,p53,0.681334651019917,0.000698502533964554,0.117962422000947,52.2,0.658972118320943,0.00167404853026351,BAX,0.341780465352488,0.0136443501184127,TRUE,TRUE,TRUE
Bax,HSC_Fibroblast,p53,0.130600163649804,0.559739706759149,0.96060895452212,28.8,-0.0463428938391941,0.812347408411913,BAX,0.341780465352488,0.0136443501184127,TRUE,FALSE,FALSE
Bax,LSEC,p53,0.77324625234363,0.0358751849103027,0.952306013506707,24.3,0.80397568828654,0.0487110873691891,BAX,0.341780465352488,0.0136443501184127,TRUE,TRUE,TRUE
Bax,Monocyte,p53,0.190772141992227,0.294927663456407,0.999145022914932,55.11,0.0992486767652225,0.55237085386034,BAX,0.341780465352488,0.0136443501184127,TRUE,FALSE,FALSE
Bax,NK_cell,p53,0.241926397791095,0.342803391315194,0.783976451442574,31.54,0.18581077855937,0.489587215198474,BAX,0.341780465352488,0.0136443501184127,TRUE,FALSE,FALSE
Bax,T_cell,p53,0.0934529318235654,0.554879919550125,0.896897670221128,31.76,0.141494511262536,0.401059124495004,BAX,0.341780465352488,0.0136443501184127,TRUE,FALSE,FALSE
Bax,cDC,p53,-0.182565229813902,0.30342650825424,0.99875188110707,64.98,-0.176345090565269,0.285119184671155,BAX,0.341780465352488,0.0136443501184127,FALSE,FALSE,FALSE
Bax,pDC,p53,0.0610967698015576,0.687627411207353,0.977157957485543,49.87,0.0859784628806053,0.593741202519349,BAX,0.341780465352488,0.0136443501184127,TRUE,FALSE,FALSE
Ccnd1,Cholangiocyte,p53,1.09527899016613,0.000640595870167237,0.116685250545614,68.24,1.2673057416189,2.48240552886471e-05,CCND1,0.8031084765255,0.00074921048132828,TRUE,TRUE,TRUE
Ccnd1,HSC_Fibroblast,p53,0.0547530160317789,0.831631579502109,0.988795246939305,22.38,-0.211895156899343,0.303675031403793,CCND1,0.8031084765255,0.00074921048132828,TRUE,FALSE,FALSE
Ccnd1,LSEC,p53,1.09862658347374,0.0192654695536051,0.952306013506707,28.46,0.600954780965601,0.0771112582550897,CCND1,0.8031084765255,0.00074921048132828,TRUE,TRUE,FALSE
Ccnd1,cDC,p53,-0.137805591303207,0.585935347832998,0.99875188110707,58,-0.0720951969261542,0.768998633889446,CCND1,0.8031084765255,0.00074921048132828,FALSE,FALSE,FALSE
Ccnd1,pDC,p53,0.150008729494262,0.362898060238745,0.93974599374307,85.96,0.042480424888058,0.800453697521392,CCND1,0.8031084765255,0.00074921048132828,TRUE,FALSE,FALSE
Cdkn1a,B_cell,p53,-0.943309570981708,0.0359833470100342,0.629670854282506,3.61,-0.991268060967191,0.0776749356554051,CDKN1A,0.960105171790021,5.29391439571774e-06,FALSE,FALSE,FALSE
Cdkn1a,Cholangiocyte,p53,1.92225963356805,6.40098087747437e-06,0.00892552773555026,27.67,1.74155685472803,6.83331119512642e-06,CDKN1A,0.960105171790021,5.29391439571774e-06,TRUE,TRUE,TRUE
Cdkn1a,HSC_Fibroblast,p53,0.151124333665028,0.50260578980399,0.950388440980989,32.61,0.239561592246142,0.280257843785548,CDKN1A,0.960105171790021,5.29391439571774e-06,TRUE,FALSE,FALSE
Cdkn1a,LSEC,p53,2.72639973146368,0.000514396557018457,0.315835853044926,18.26,2.66507386387151,0.000655354795683609,CDKN1A,0.960105171790021,5.29391439571774e-06,TRUE,TRUE,TRUE
Cdkn1a,Monocyte,p53,-0.126627601896723,0.579994357890022,0.999145022914932,55.98,-0.188817362754249,0.423622143420467,CDKN1A,0.960105171790021,5.29391439571774e-06,FALSE,FALSE,FALSE
Cdkn1a,NK_cell,p53,-1.66689479868246,3.98330777926324e-06,0.00226982154955017,15.44,-1.68072440221965,6.69189111756384e-06,CDKN1A,0.960105171790021,5.29391439571774e-06,FALSE,FALSE,FALSE
Cdkn1a,Neutrophil,p53,-1.18210213620591,0.0609513298201385,0.667340511675149,10.31,-0.903877252662999,0.134811717438366,CDKN1A,0.960105171790021,5.29391439571774e-06,FALSE,FALSE,FALSE
Cdkn1a,T_cell,p53,-1.14760391161973,0.000750183969657086,0.127946391268193,7.78,-1.06460025533101,0.00284684470398215,CDKN1A,0.960105171790021,5.29391439571774e-06,FALSE,FALSE,FALSE
Cdkn1a,cDC,p53,-0.490116185965225,0.138648682484007,0.99875188110707,39.4,-0.37701070720758,0.221970173766699,CDKN1A,0.960105171790021,5.29391439571774e-06,FALSE,FALSE,FALSE
Cdkn1a,pDC,p53,-0.615724842764245,0.347891117484167,0.932960071267943,8.82,-0.323724896028255,0.542460995850255,CDKN1A,0.960105171790021,5.29391439571774e-06,FALSE,FALSE,FALSE
Igf1,Cholangiocyte,p53,-0.358314359041526,0.224490976320879,0.877965477847734,32.86,-0.651116651670508,0.0320767545253495,IGF1,-0.750196331507432,0.0163841211440685,TRUE,FALSE,FALSE
Igf1,HSC_Fibroblast,p53,0.0318901412693724,0.865314275657588,0.989660607968691,30.24,0.119257352359218,0.498298036219896,IGF1,-0.750196331507432,0.0163841211440685,FALSE,FALSE,FALSE
Mdm2,B_cell,p53,-0.0978251879612653,0.483466024089122,0.923613712034938,11.83,-0.0483825248016263,0.738996511105254,MDM2,0.17303418058197,0.0246563674273424,FALSE,FALSE,FALSE
Mdm2,Cholangiocyte,p53,0.115324801194713,0.68266880058643,0.964646712137938,18.71,0.121465770496635,0.689114540669944,MDM2,0.17303418058197,0.0246563674273424,TRUE,FALSE,FALSE
Mdm2,HSC_Fibroblast,p53,0.567465626645944,0.0661716609961898,0.919682034055448,11.46,0.470806642479164,0.140467970696947,MDM2,0.17303418058197,0.0246563674273424,TRUE,FALSE,FALSE
Mdm2,Monocyte,p53,-0.144268373720431,0.576393834229369,0.999145022914932,21.3,-0.277233791819426,0.240738769308371,MDM2,0.17303418058197,0.0246563674273424,FALSE,FALSE,FALSE
Mdm2,NK_cell,p53,-0.288604788144933,0.321642398901447,0.77400153740514,16.61,-0.282622502595367,0.366698837845359,MDM2,0.17303418058197,0.0246563674273424,FALSE,FALSE,FALSE
Mdm2,T_cell,p53,-0.273506261703962,0.210987574983259,0.732455948382248,11.55,-0.297498209018442,0.20753162666649,MDM2,0.17303418058197,0.0246563674273424,FALSE,FALSE,FALSE
Mdm2,cDC,p53,0.060950925739943,0.819165792250647,0.99875188110707,20.93,0.0336197259197041,0.899027437531682,MDM2,0.17303418058197,0.0246563674273424,TRUE,FALSE,FALSE
Mdm2,pDC,p53,-0.650360069364985,0.00761022981231217,0.64871054260738,21.93,-0.577190656687582,0.0215786379077021,MDM2,0.17303418058197,0.0246563674273424,FALSE,FALSE,FALSE
Phlda3,Cholangiocyte,p53,2.08762040411668,1.97753837255212e-06,0.00380675934653315,18.4,1.99162057069311,5.28266624010996e-06,PHLDA3,0.160508637806877,0.0173043302157062,TRUE,TRUE,TRUE
Phlda3,HSC_Fibroblast,p53,-0.245345511631954,0.228019735526776,0.925822580664186,18.33,-0.147835061570719,0.437154048593213,PHLDA3,0.160508637806877,0.0173043302157062,FALSE,FALSE,FALSE
Phlda3,LSEC,p53,3.83403807835377,0.000121891649614021,0.225438605961132,8.05,,,PHLDA3,0.160508637806877,0.0173043302157062,TRUE,TRUE,FALSE
Serpine1,HSC_Fibroblast,p53,-0.228014386887946,0.323742347700256,0.929272207214945,27.62,-0.17579004763525,0.450543652878041,SERPINE1,0.940729889973464,0.000471244197152316,FALSE,FALSE,FALSE
Trp53,B_cell,p53,-0.0905233341995111,0.494808638647785,0.926462024852639,15.38,-0.158730497305811,0.25557157375198,TP53,-0.0551538333789604,0.60906562524867,TRUE,FALSE,FALSE
Trp53,Cholangiocyte,p53,-0.124885426726926,0.553830540921199,0.950439833733912,29.87,-0.0884945537110703,0.695072900383361,TP53,-0.0551538333789604,0.60906562524867,TRUE,FALSE,FALSE
Trp53,HSC_Fibroblast,p53,-0.357861270552724,0.180563332245342,0.919682034055448,13.83,-0.20698735829471,0.390420246846066,TP53,-0.0551538333789604,0.60906562524867,TRUE,FALSE,FALSE
Trp53,LSEC,p53,0.090904361060855,0.785570174532821,0.996165002953132,11.81,0.0789880623633658,0.826227896646063,TP53,-0.0551538333789604,0.60906562524867,FALSE,FALSE,FALSE
Trp53,Monocyte,p53,0.222326489208624,0.46635062010541,0.999145022914932,15.87,0.302525103844527,0.306594464422311,TP53,-0.0551538333789604,0.60906562524867,FALSE,FALSE,FALSE
Trp53,NK_cell,p53,0.0483053707187022,0.8481906394532,0.963123147223677,25.67,-0.140553575913415,0.576417775627652,TP53,-0.0551538333789604,0.60906562524867,FALSE,FALSE,FALSE
Trp53,T_cell,p53,-0.0614225007466795,0.7100531119927,0.944248933379049,26.11,-0.00825719347680126,0.962218551456197,TP53,-0.0551538333789604,0.60906562524867,TRUE,FALSE,FALSE
Trp53,cDC,p53,0.145219188148523,0.509840845699221,0.99875188110707,38.44,0.160046473346726,0.455240326623654,TP53,-0.0551538333789604,0.60906562524867,FALSE,FALSE,FALSE
Trp53,pDC,p53,0.140720704953214,0.469991599154095,0.951437574712548,33.56,0.178142075968906,0.393128273689219,TP53,-0.0551538333789604,0.60906562524867,FALSE,FALSE,FALSE
Zmat3,HSC_Fibroblast,p53,-0.297834810266186,0.396666093790115,0.939306529776868,4.5,-0.230321018216015,0.546872525015548,ZMAT3,0.521870426246668,0.000836411484490072,FALSE,FALSE,FALSE
