mouse,cell_type,pb_logFC,pb_P,pb_FDR,human,human_logFC,concordant,tissue
Calm1,LSEC,-0.131125961700294,0.640001351607843,0.996165002953132,CALM1,-0.534686866605506,FALSE,liver
Calm1,Monocyte,0.202582317860985,0.336512439403806,0.999145022914932,CALM1,-0.534686866605506,FALSE,liver
Calm1,NK_cell,0.0174922515880666,0.905601211485275,0.978680308073449,CALM1,-0.534686866605506,FALSE,liver
Calm1,Neutrophil,-0.129275307318482,0.536689305433503,0.913021861498451,CALM1,-0.534686866605506,FALSE,liver
Calm1,T_cell,-0.053432078234293,0.698118651014556,0.941035865628861,CALM1,-0.534686866605506,FALSE,liver
Calm1,cDC,-0.202825679766599,0.265687094550554,0.99875188110707,CALM1,-0.534686866605506,FALSE,liver
Calm1,pDC,0.0535137385599942,0.652466754315106,0.976916004206163,CALM1,-0.534686866605506,FALSE,liver
Camkk2,B_cell,0.0332615187267489,0.848742356367321,0.988473816537704,CAMKK2,0.506110584900416,FALSE,liver
Camkk2,Cholangiocyte,0.517988789041819,0.395202771425035,0.914225264635007,CAMKK2,0.506110584900416,FALSE,liver
Camkk2,HSC_Fibroblast,0.240395026344012,0.436644376159331,0.945718183992725,CAMKK2,0.506110584900416,FALSE,liver
Camkk2,LSEC,0.0678726855722499,0.853048595770664,0.996165002953132,CAMKK2,0.506110584900416,FALSE,liver
Camkk2,Monocyte,0.0759832816517131,0.815727166758216,0.999145022914932,CAMKK2,0.506110584900416,FALSE,liver
Camkk2,T_cell,-0.0252171198238567,0.943992582429203,0.994709062715447,CAMKK2,0.506110584900416,FALSE,liver
Camkk2,cDC,-0.0331289264024001,0.94014906184033,0.99875188110707,CAMKK2,0.506110584900416,FALSE,liver
Ccnd1,Cholangiocyte,1.09527899016613,0.000640595870167237,0.116685250545614,CCND1,0.8031084765255,TRUE,liver
Ccnd1,HSC_Fibroblast,0.0547530160317789,0.831631579502109,0.988795246939305,CCND1,0.8031084765255,FALSE,liver
Ccnd1,LSEC,1.09862658347374,0.0192654695536051,0.952306013506707,CCND1,0.8031084765255,TRUE,liver
Ccnd1,cDC,-0.137805591303207,0.585935347832998,0.99875188110707,CCND1,0.8031084765255,FALSE,liver
Ccnd1,pDC,0.150008729494262,0.362898060238745,0.93974599374307,CCND1,0.8031084765255,FALSE,liver
Cdkn1a,B_cell,-0.943309570981708,0.0359833470100342,0.629670854282506,CDKN1A,0.960105171790021,FALSE,liver
Cdkn1a,Cholangiocyte,1.92225963356805,6.40098087747437e-06,0.00892552773555026,CDKN1A,0.960105171790021,TRUE,liver
Cdkn1a,HSC_Fibroblast,0.151124333665028,0.50260578980399,0.950388440980989,CDKN1A,0.960105171790021,FALSE,liver
Cdkn1a,LSEC,2.72639973146368,0.000514396557018457,0.315835853044926,CDKN1A,0.960105171790021,TRUE,liver
Cdkn1a,Monocyte,-0.126627601896723,0.579994357890022,0.999145022914932,CDKN1A,0.960105171790021,FALSE,liver
Cdkn1a,NK_cell,-1.66689479868246,3.98330777926324e-06,0.00226982154955017,CDKN1A,0.960105171790021,FALSE,liver
Cdkn1a,Neutrophil,-1.18210213620591,0.0609513298201385,0.667340511675149,CDKN1A,0.960105171790021,FALSE,liver
Cdkn1a,T_cell,-1.14760391161973,0.000750183969657086,0.127946391268193,CDKN1A,0.960105171790021,FALSE,liver
Cdkn1a,cDC,-0.490116185965225,0.138648682484007,0.99875188110707,CDKN1A,0.960105171790021,FALSE,liver
Cdkn1a,pDC,-0.615724842764245,0.347891117484167,0.932960071267943,CDKN1A,0.960105171790021,FALSE,liver
Cdkn1b,B_cell,0.0747695805003289,0.532733954812569,0.939227275656276,CDKN1B,-0.293884690967838,FALSE,liver
Cdkn1b,Cholangiocyte,0.0642740072557732,0.754341744433264,0.977942109184645,CDKN1B,-0.293884690967838,FALSE,liver
Cdkn1b,HSC_Fibroblast,-0.0203571337280276,0.90591970022001,0.997653980088002,CDKN1B,-0.293884690967838,FALSE,liver
Cdkn1b,LSEC,-0.0960017021949948,0.792239910384924,0.996165002953132,CDKN1B,-0.293884690967838,FALSE,liver
Cdkn1b,Monocyte,0.238780648295428,0.339138623987955,0.999145022914932,CDKN1B,-0.293884690967838,FALSE,liver
Cdkn1b,NK_cell,-0.233175687427858,0.239541002807631,0.718819485549715,CDKN1B,-0.293884690967838,FALSE,liver
Cdkn1b,Neutrophil,0.110403161381938,0.755283217896903,0.966164159784712,CDKN1B,-0.293884690967838,FALSE,liver
Cdkn1b,T_cell,-0.359259846485864,0.0217220614300214,0.379659494000928,CDKN1B,-0.293884690967838,TRUE,liver
Cdkn1b,cDC,-0.307089149575613,0.230761367752138,0.99875188110707,CDKN1B,-0.293884690967838,FALSE,liver
Cdkn1b,pDC,-0.120757574333614,0.493525499113642,0.951437574712548,CDKN1B,-0.293884690967838,FALSE,liver
Cftr,Cholangiocyte,0.91430024604041,0.0649578412849107,0.746142334126058,CFTR,0.346053445795614,FALSE,liver
Crebbp,B_cell,0.131393637042915,0.316565761709343,0.871665447685466,CREBBP,-0.364311607598314,FALSE,liver
Crebbp,Cholangiocyte,0.253015072412383,0.211201837666416,0.867781942065175,CREBBP,-0.364311607598314,FALSE,liver
Crebbp,HSC_Fibroblast,-0.0405308086081829,0.810525017312108,0.986734581687712,CREBBP,-0.364311607598314,FALSE,liver
Crebbp,LSEC,0.0831893580400283,0.753114155758809,0.996165002953132,CREBBP,-0.364311607598314,FALSE,liver
Crebbp,Monocyte,0.0164789750875382,0.941571738376984,0.999232791854334,CREBBP,-0.364311607598314,FALSE,liver
Crebbp,NK_cell,-0.448077757878406,0.0925296615325843,0.560278839336017,CREBBP,-0.364311607598314,FALSE,liver
Crebbp,T_cell,-0.11553463017767,0.50055643166194,0.87296069965084,CREBBP,-0.364311607598314,FALSE,liver
Crebbp,cDC,0.152416359382399,0.471293635503337,0.99875188110707,CREBBP,-0.364311607598314,FALSE,liver
Crebbp,pDC,0.115496668509839,0.531747705007255,0.951437574712548,CREBBP,-0.364311607598314,FALSE,liver
Fasn,B_cell,-0.196991613289218,0.311454524634231,0.869483239590441,FASN,0.69799363467585,FALSE,liver
Fasn,Cholangiocyte,0.0654600879936374,0.814821265351685,0.983340285230208,FASN,0.69799363467585,FALSE,liver
Fasn,HSC_Fibroblast,0.147676271058535,0.619257657271697,0.968339507387906,FASN,0.69799363467585,FALSE,liver
Fasn,T_cell,0.489262217794693,0.139641767803935,0.659371267314613,FASN,0.69799363467585,FALSE,liver
Fasn,cDC,-0.729184369293667,0.0234638059900826,0.99875188110707,FASN,0.69799363467585,FALSE,liver
Fasn,pDC,0.425260718030196,0.262747436107137,0.903194311618283,FASN,0.69799363467585,FALSE,liver
Foxo3,B_cell,0.0126187368175049,0.951614026530781,0.997389732307642,FOXO3,-0.258505148092882,FALSE,liver
Foxo3,Cholangiocyte,0.144669076620144,0.55961552577981,0.950439833733912,FOXO3,-0.258505148092882,FALSE,liver
Foxo3,HSC_Fibroblast,0.624863022144396,0.0483567262670292,0.919682034055448,FOXO3,-0.258505148092882,FALSE,liver
Foxo3,Monocyte,-0.567316796582619,0.15169234841372,0.999145022914932,FOXO3,-0.258505148092882,FALSE,liver
Foxo3,T_cell,0.275648735048874,0.369291629730236,0.823291814532359,FOXO3,-0.258505148092882,FALSE,liver
Foxo3,cDC,0.420946613338101,0.464889672514145,0.99875188110707,FOXO3,-0.258505148092882,FALSE,liver
Foxo3,pDC,-0.717336858940703,0.0567635075873059,0.78215082430509,FOXO3,-0.258505148092882,FALSE,liver
Gadd45a,B_cell,-0.192882414719551,0.146765409405578,0.789809694561389,GADD45A,0.296316578021205,FALSE,liver
Gadd45a,Cholangiocyte,-0.14000477340698,0.604253823846388,0.950704456817799,GADD45A,0.296316578021205,FALSE,liver
Gadd45a,HSC_Fibroblast,0.0105756320615042,0.971871722228628,0.997919935739669,GADD45A,0.296316578021205,FALSE,liver
Gadd45a,Monocyte,-0.563820500362073,0.0795696795370897,0.999145022914932,GADD45A,0.296316578021205,FALSE,liver
Gadd45a,Neutrophil,0.199555839468801,0.435889695794475,0.907292644919184,GADD45A,0.296316578021205,FALSE,liver
Gadd45a,T_cell,-1.21013164365959,0.000480973883876639,0.110303344035709,GADD45A,0.296316578021205,FALSE,liver
Gnai1,HSC_Fibroblast,-0.598596947444397,0.232225159924832,0.925822580664186,GNAI1,-0.32694715903727,FALSE,liver
Gnai2,B_cell,0.0782163053502559,0.459387850994941,0.915651671856114,GNAI2,0.196720386361129,FALSE,liver
Gnai2,Cholangiocyte,0.199790900154595,0.238707579606323,0.885249598412385,GNAI2,0.196720386361129,FALSE,liver
Gnai2,HSC_Fibroblast,0.194255156088827,0.276089252666498,0.929272207214945,GNAI2,0.196720386361129,FALSE,liver
Gnai2,LSEC,-0.0647765217991099,0.769105679448042,0.996165002953132,GNAI2,0.196720386361129,FALSE,liver
Gnai2,Monocyte,-0.0621975406101996,0.675657415417278,0.999145022914932,GNAI2,0.196720386361129,FALSE,liver
Gnai2,NK_cell,0.0323348842112772,0.825334999634665,0.960414436775298,GNAI2,0.196720386361129,FALSE,liver
Gnai2,Neutrophil,-0.0588964786768753,0.760789531647523,0.966164159784712,GNAI2,0.196720386361129,FALSE,liver
Gnai2,T_cell,0.1377514151621,0.328889366071974,0.801621488706183,GNAI2,0.196720386361129,FALSE,liver
Gnai2,cDC,0.020917746276391,0.912956727682328,0.99875188110707,GNAI2,0.196720386361129,FALSE,liver
Gnai2,pDC,0.0493180897499821,0.667454054644449,0.976916004206163,GNAI2,0.196720386361129,FALSE,liver
Gnai3,B_cell,-0.0488674262472488,0.782579176199708,0.977287310553405,GNAI3,-0.230810446287896,FALSE,liver
Gnai3,Cholangiocyte,0.324619050660391,0.103618898599972,0.781851689436156,GNAI3,-0.230810446287896,FALSE,liver
Gnai3,HSC_Fibroblast,-0.113521879189816,0.533003996608865,0.956142022484349,GNAI3,-0.230810446287896,FALSE,liver
Gnai3,LSEC,0.821419628174838,0.0517285770361286,0.952306013506707,GNAI3,-0.230810446287896,FALSE,liver
Gnai3,Monocyte,-0.22251804551861,0.398708971240362,0.999145022914932,GNAI3,-0.230810446287896,FALSE,liver
Gnai3,NK_cell,-0.204684097172293,0.403700095229927,0.82947753941774,GNAI3,-0.230810446287896,FALSE,liver
Gnai3,Neutrophil,-0.173489742682967,0.604713857132233,0.921239209606062,GNAI3,-0.230810446287896,FALSE,liver
Gnai3,T_cell,0.0220507871422858,0.908749424239757,0.987992478472415,GNAI3,-0.230810446287896,FALSE,liver
Gnai3,cDC,0.0571339298672696,0.810891899228684,0.99875188110707,GNAI3,-0.230810446287896,FALSE,liver
Gnai3,pDC,-0.457000983241779,0.0525733984738438,0.78215082430509,GNAI3,-0.230810446287896,FALSE,liver
Gnb2,B_cell,0.0962815889516309,0.411112145770051,0.904040126756986,GNB2,0.544823748155262,FALSE,liver
Gnb2,Cholangiocyte,-0.150036322027702,0.290346888282609,0.896546737558134,GNB2,0.544823748155262,FALSE,liver
Gnb2,HSC_Fibroblast,0.220266536068253,0.159519196729576,0.919682034055448,GNB2,0.544823748155262,FALSE,liver
Gnb2,LSEC,0.0565886013456156,0.826785901342719,0.996165002953132,GNB2,0.544823748155262,FALSE,liver
Gnb2,Monocyte,-0.0808238607141128,0.581438324917647,0.999145022914932,GNB2,0.544823748155262,FALSE,liver
Gnb2,NK_cell,-0.113913544357463,0.507275632416785,0.871107678168251,GNB2,0.544823748155262,FALSE,liver
Gnb2,Neutrophil,-0.177708651031852,0.447104963070485,0.909316463403493,GNB2,0.544823748155262,FALSE,liver
Gnb2,T_cell,0.0139218768989675,0.935515539784916,0.99201087362929,GNB2,0.544823748155262,FALSE,liver
Gnb2,cDC,-0.0930915803157837,0.603592383280248,0.99875188110707,GNB2,0.544823748155262,FALSE,liver
Gnb2,pDC,0.151383360724783,0.255258743964521,0.902593130738226,GNB2,0.544823748155262,FALSE,liver
Hk3,Monocyte,-0.495082103722564,0.335763737933833,0.999145022914932,HK3,0.140458961109149,FALSE,liver
Hras,B_cell,-0.0437421713452073,0.850158695722901,0.988788241630078,HRAS,0.236375195318022,FALSE,liver
Hras,Cholangiocyte,0.00595501366954742,0.976405048342036,0.999264033518319,HRAS,0.236375195318022,FALSE,liver
Hras,HSC_Fibroblast,0.248787781651986,0.300993269959485,0.929272207214945,HRAS,0.236375195318022,FALSE,liver
Hras,LSEC,0.020149859927928,0.956816238676047,0.996165002953132,HRAS,0.236375195318022,FALSE,liver
Hras,Monocyte,0.209257907089618,0.505446181080607,0.999145022914932,HRAS,0.236375195318022,FALSE,liver
Hras,NK_cell,0.136039275732638,0.68918939294683,0.930124369890569,HRAS,0.236375195318022,FALSE,liver
Hras,T_cell,0.0949329994274705,0.675094787721308,0.931765079435037,HRAS,0.236375195318022,FALSE,liver
Hras,cDC,0.050918636084557,0.844134065046731,0.99875188110707,HRAS,0.236375195318022,FALSE,liver
Hras,pDC,0.421097563441224,0.0757259620143007,0.78215082430509,HRAS,0.236375195318022,FALSE,liver
Igf1,Cholangiocyte,-0.358314359041526,0.224490976320879,0.877965477847734,IGF1,-0.750196331507432,FALSE,liver
Igf1,HSC_Fibroblast,0.0318901412693724,0.865314275657588,0.989660607968691,IGF1,-0.750196331507432,FALSE,liver
Igfbp3,HSC_Fibroblast,0.294462229419685,0.610947553554921,0.967267455571888,IGFBP3,0.231841406981911,FALSE,liver
Il6,HSC_Fibroblast,-0.0940692677965643,0.83762712858069,0.988795246939305,IL6,0.138626493551915,FALSE,liver
Irs2,B_cell,-0.0555690957030593,0.734743260226334,0.972000673451282,IRS2,-0.584420274513232,FALSE,liver
Irs2,Cholangiocyte,-0.453285466471792,0.193526028675218,0.853934238542168,IRS2,-0.584420274513232,FALSE,liver
Irs2,HSC_Fibroblast,0.0971421841777061,0.738592821731096,0.982798813889757,IRS2,-0.584420274513232,FALSE,liver
Irs2,Monocyte,-0.528831616388875,0.261213489791316,0.999145022914932,IRS2,-0.584420274513232,FALSE,liver
Irs2,T_cell,-0.363733892058514,0.199000786048934,0.715193410365449,IRS2,-0.584420274513232,FALSE,liver
Irs2,cDC,0.652977705868279,0.176575782609691,0.99875188110707,IRS2,-0.584420274513232,FALSE,liver
Irs2,pDC,-0.857399441610167,0.00849489399233204,0.64871054260738,IRS2,-0.584420274513232,TRUE,liver
Klf2,B_cell,0.0479011255253961,0.721144819674941,0.970834134116898,KLF2,0.219807606878075,FALSE,liver
Klf2,Cholangiocyte,2.05617997975804,0.15666649435048,0.835075534106686,KLF2,0.219807606878075,FALSE,liver
Klf2,HSC_Fibroblast,0.058407622612697,0.862703229432552,0.989660607968691,KLF2,0.219807606878075,FALSE,liver
Klf2,LSEC,0.349239314241956,0.530387888098664,0.995636266879722,KLF2,0.219807606878075,FALSE,liver
Klf2,Monocyte,0.415961309426569,0.159821299122701,0.999145022914932,KLF2,0.219807606878075,FALSE,liver
Klf2,NK_cell,-0.625231319492367,0.00268256481760452,0.0937433600484397,KLF2,0.219807606878075,FALSE,liver
Klf2,Neutrophil,0.285406804040857,0.200670548227715,0.833219015467252,KLF2,0.219807606878075,FALSE,liver
Klf2,T_cell,-0.446021636591101,0.014364323083202,0.324678046189578,KLF2,0.219807606878075,FALSE,liver
Klf2,cDC,0.433052724484597,0.0857088460108122,0.99875188110707,KLF2,0.219807606878075,FALSE,liver
Klf2,pDC,0.378605765700522,0.154542723725594,0.847245946730004,KLF2,0.219807606878075,FALSE,liver
Kras,B_cell,-0.0240811117062708,0.830927853600268,0.986136696855421,KRAS,-0.248737657296002,FALSE,liver
Kras,Cholangiocyte,0.217762065789579,0.438917654027267,0.925895609163224,KRAS,-0.248737657296002,FALSE,liver
Kras,HSC_Fibroblast,0.205060904153242,0.470751552132437,0.948388679108035,KRAS,-0.248737657296002,FALSE,liver
Kras,LSEC,0.102367560320594,0.74495191620591,0.996165002953132,KRAS,-0.248737657296002,FALSE,liver
Kras,Monocyte,-0.398917192915457,0.182692185271438,0.999145022914932,KRAS,-0.248737657296002,FALSE,liver
Kras,NK_cell,-0.272423198598465,0.208760761244543,0.688285829092155,KRAS,-0.248737657296002,FALSE,liver
Kras,Neutrophil,-0.260672791661526,0.294187017777609,0.871964773060796,KRAS,-0.248737657296002,FALSE,liver
Kras,T_cell,-0.414109066019627,0.0165995789634009,0.341373949986461,KRAS,-0.248737657296002,TRUE,liver
Kras,cDC,-0.0483828574595654,0.852557417765442,0.99875188110707,KRAS,-0.248737657296002,FALSE,liver
Kras,pDC,-0.15632265640633,0.341565507078841,0.932960071267943,KRAS,-0.248737657296002,FALSE,liver
Mapk13,Cholangiocyte,-0.542711039448532,0.0723736478419751,0.746142334126058,MAPK13,-0.192163523711123,FALSE,liver
Mapk13,Neutrophil,1.17231457851627,0.0491635771459262,0.662900820794641,MAPK13,-0.192163523711123,FALSE,liver
Mapk8,B_cell,-0.11024803920986,0.510845688919581,0.934060130328054,MAPK8,-0.219103231894202,FALSE,liver
Mapk8,HSC_Fibroblast,-0.501226868921184,0.169775089650744,0.919682034055448,MAPK8,-0.219103231894202,FALSE,liver
Mapk8,Monocyte,-0.424216608974404,0.222094049487267,0.999145022914932,MAPK8,-0.219103231894202,FALSE,liver
Mapk8,T_cell,-0.31354750510475,0.316261020015364,0.79385187378981,MAPK8,-0.219103231894202,FALSE,liver
Mapk8,cDC,-0.137371641475082,0.683750109035454,0.99875188110707,MAPK8,-0.219103231894202,FALSE,liver
Mapk8,pDC,-0.224766889388135,0.593952008372395,0.963133163553621,MAPK8,-0.219103231894202,FALSE,liver
Mlycd,B_cell,0.129537278240557,0.537256834699522,0.939227275656276,MLYCD,0.272131424826275,FALSE,liver
Mlycd,Cholangiocyte,0.184781407342364,0.554017927864509,0.950439833733912,MLYCD,0.272131424826275,FALSE,liver
Mlycd,T_cell,-0.571813102639529,0.243181946772393,0.76521859231131,MLYCD,0.272131424826275,FALSE,liver
Mlycd,cDC,0.618216416170504,0.196563169749571,0.99875188110707,MLYCD,0.272131424826275,FALSE,liver
Mlycd,pDC,0.397563170515705,0.300876509736774,0.918068334639583,MLYCD,0.272131424826275,FALSE,liver
Mras,HSC_Fibroblast,-0.119457555461523,0.793768849641785,0.98616959329314,MRAS,0.215582340516216,FALSE,liver
Mras,pDC,-0.250695111473471,0.519251616878243,0.951437574712548,MRAS,0.215582340516216,FALSE,liver
Nos3,LSEC,0.211569099955055,0.513769870831529,0.995636266879722,NOS3,0.287450538090903,FALSE,liver
Pde3b,B_cell,0.150698559479289,0.263237146144616,0.855497017707619,PDE3B,-0.251160651153912,FALSE,liver
Pde3b,Cholangiocyte,-0.290786034951994,0.387894489272679,0.914225264635007,PDE3B,-0.251160651153912,FALSE,liver
Pde3b,NK_cell,0.0298784868771575,0.918800036285283,0.984676765378276,PDE3B,-0.251160651153912,FALSE,liver
Pde3b,T_cell,0.132473502327772,0.430502812387288,0.853114764112855,PDE3B,-0.251160651153912,FALSE,liver
Pde3b,cDC,-0.0427759143882906,0.936363057338536,0.99875188110707,PDE3B,-0.251160651153912,FALSE,liver
Pdpk1,B_cell,-0.118481197793621,0.464374512169654,0.916615928705908,PDPK1,0.153466221786299,FALSE,liver
Pdpk1,Cholangiocyte,0.0499801892492106,0.876002557675817,0.992900034483354,PDPK1,0.153466221786299,FALSE,liver
Pdpk1,HSC_Fibroblast,-0.291927714621976,0.295051058860604,0.929272207214945,PDPK1,0.153466221786299,FALSE,liver
Pdpk1,LSEC,0.0486574809471919,0.908165087208957,0.996165002953132,PDPK1,0.153466221786299,FALSE,liver
Pdpk1,Monocyte,0.494413858913425,0.210610859382847,0.999145022914932,PDPK1,0.153466221786299,FALSE,liver
Pdpk1,NK_cell,0.248643347880589,0.432344528605943,0.839429701156645,PDPK1,0.153466221786299,FALSE,liver
Pdpk1,T_cell,0.114458960737352,0.571202863337979,0.899459229731315,PDPK1,0.153466221786299,FALSE,liver
Pdpk1,cDC,0.0319664251758607,0.910099074811369,0.99875188110707,PDPK1,0.153466221786299,FALSE,liver
Pdpk1,pDC,-0.000308393240769084,0.999051737966183,0.99994215007233,PDPK1,0.153466221786299,FALSE,liver
Pfkfb3,B_cell,0.275370206438965,0.27600512486628,0.860534802015661,PFKFB3,-0.655569796012921,FALSE,liver
Pfkfb3,Cholangiocyte,0.629742503201274,0.115520541723813,0.80201115490438,PFKFB3,-0.655569796012921,FALSE,liver
Pfkfb3,HSC_Fibroblast,0.16675567777909,0.556748558435563,0.96060895452212,PFKFB3,-0.655569796012921,FALSE,liver
Pfkfb3,LSEC,-0.817470674656628,0.0494480164509521,0.952306013506707,PFKFB3,-0.655569796012921,TRUE,liver
Pfkfb3,Monocyte,0.121400213566782,0.732607820985909,0.999145022914932,PFKFB3,-0.655569796012921,FALSE,liver
Pfkfb3,T_cell,-0.0553521180993076,0.879275906617168,0.982390227352448,PFKFB3,-0.655569796012921,FALSE,liver
Pfkfb3,cDC,0.359171869305867,0.264008896246056,0.99875188110707,PFKFB3,-0.655569796012921,FALSE,liver
Pfkfb4,B_cell,-0.0443565434550548,0.856280835488746,0.990111894710976,PFKFB4,0.131856641195354,FALSE,liver
Pfkfb4,Monocyte,-0.167105841623526,0.644387827913197,0.999145022914932,PFKFB4,0.131856641195354,FALSE,liver
Pfkfb4,Neutrophil,0.416074651987153,0.330019897569349,0.883553592220815,PFKFB4,0.131856641195354,FALSE,liver
Pfkfb4,cDC,0.389902439647688,0.366976503079004,0.99875188110707,PFKFB4,0.131856641195354,FALSE,liver
Pfkfb4,pDC,-0.210186886293509,0.516760375185409,0.951437574712548,PFKFB4,0.131856641195354,FALSE,liver
