mouse,cell_type,tissue,n_ctl,n_stz,cell_log2FC,pct_STZ,pct_Control,cell_p,cell_BH,pb_logFC,pb_P,pb_FDR,human,human_logFC,human_P,human_DE,cell_concordant,pb_concordant
Prkab1,B_cell,kidney,36,153,0.149991683479597,0.026,0.111,0.00590526442691998,0.0250973738144099,,,,PRKAB1,0.0903291141903828,0.333050873638677,FALSE,FALSE,FALSE
Prkag1,B_cell,kidney,36,153,-0.196730354328015,0.085,0.25,0.00684208618291515,0.0273683447316606,,,,PRKAG1,-0.0911617220470691,0.322923558463888,FALSE,FALSE,FALSE
Insr,B_cell,kidney,36,153,-1.23187839478602,0.007,0.083,0.00988744419996573,0.0373478974946216,,,,INSR,0.169374111461339,0.175103061199346,FALSE,FALSE,FALSE
Cab39l,B_cell,kidney,36,153,-1.14783644549085,0.039,0.167,0.010509490722888,0.0373478974946216,,,,CAB39L,0.0137396623132676,0.857025750656643,FALSE,FALSE,FALSE
Akt1s1,B_cell,kidney,36,153,-1.02282286562751,0.033,0.139,0.0109846757337122,0.0373478974946216,,,,AKT1S1,,,FALSE,FALSE,FALSE
Pdpk1,B_cell,kidney,36,153,-0.457438392462917,0.046,0.167,0.0148873870024055,0.0482067769601701,,,,PDPK1,0.153466221786299,0.018028233353959,TRUE,FALSE,FALSE
Rheb,B_cell,kidney,36,153,-0.407370634326274,0.131,0.333,0.0161951900667974,0.0500578602064646,,,,RHEB,0.000762141165105317,0.994533538297037,FALSE,FALSE,FALSE
Rab11b,B_cell,kidney,36,153,-0.273078884238903,0.111,0.25,0.0189959456408372,0.0561619262424753,,,,RAB11B,-0.128979335643103,0.0848864845380073,FALSE,FALSE,FALSE
Crtc2,B_cell,kidney,36,153,-1.28068988214082,0.026,0.111,0.024626030938402,0.067605285281076,,,,CRTC2,,,FALSE,FALSE,FALSE
Elavl1,B_cell,kidney,36,153,-0.892604590972443,0.085,0.222,0.0248548842945132,0.067605285281076,,,,ELAVL1,0.00629859637126631,0.929732702059394,FALSE,FALSE,FALSE
Pik3ca,B_cell,kidney,36,153,-0.863922955794083,0.059,0.167,0.0378013005826027,0.0978989583034949,,,,PIK3CA,-0.194162266153804,0.025007761246042,TRUE,FALSE,FALSE
Ppp2ca,B_cell,kidney,36,153,0.0690323314781784,0.137,0.306,0.0388716452087406,0.0978989583034949,,,,PPP2CA,,,FALSE,FALSE,FALSE
Ppp2r5e,B_cell,kidney,36,153,-1.59613123491535,0.059,0.167,0.0467601574992606,0.109785706870931,,,,PPP2R5E,-0.0251597625886988,0.835509017894403,FALSE,FALSE,FALSE
Cd36,B_cell,kidney,36,153,1.3454591413643,0.033,0.056,0.0491862118434103,0.109785706870931,,,,CD36,0.228255319331112,0.102088419969093,FALSE,FALSE,FALSE
Cab39,B_cell,kidney,36,153,-0.369836019473266,0.111,0.25,0.0493914328152404,0.109785706870931,,,,CAB39,0.0995298512419271,0.262092054253262,FALSE,FALSE,FALSE
Stk11,B_cell,kidney,36,153,0.135846518154211,0.111,0.222,0.0500493663676305,0.109785706870931,,,,STK11,0.354251480632152,0.0153103974501462,TRUE,FALSE,FALSE
G6pc3,B_cell,kidney,36,153,-0.730638026700457,0.02,0.083,0.0544537147062903,0.113266123889128,,,,G6PC3,0.0114334505189842,0.862668473837378,FALSE,FALSE,FALSE
Creb1,B_cell,kidney,36,153,-0.0404325748820758,0.111,0.278,0.054967383652077,0.113266123889128,,,,CREB1,-0.0788628754166012,0.27343317375151,FALSE,FALSE,FALSE
Pik3r2,B_cell,kidney,36,153,-0.232760961006771,0.02,0.083,0.0573135852715675,0.114627170543135,,,,PIK3R2,0.268794809673499,0.00604856153799963,TRUE,FALSE,FALSE
Akt2,B_cell,kidney,36,153,-0.740610161582611,0.052,0.139,0.0746001241273258,0.144937384018804,,,,AKT2,0.272775905162288,0.0322680307039496,TRUE,FALSE,FALSE
Pfkl,B_cell,kidney,36,153,-0.653437991767477,0.052,0.139,0.081102632112044,0.153193860656083,,,,PFKL,0.412788409607824,0.00375888054431156,TRUE,FALSE,FALSE
Ppargc1a,B_cell,kidney,36,153,-0.75135739489633,0.033,0.111,0.0895404930870368,0.164560906214014,,,,PPARGC1A,-0.612471761557638,0.000603487342297342,TRUE,FALSE,FALSE
Adipor2,B_cell,kidney,36,153,-0.0349070087433255,0.072,0.167,0.0925884529830949,0.165684600075012,,,,ADIPOR2,0.0715962771728451,0.531210570140672,FALSE,FALSE,FALSE
Mlycd,B_cell,kidney,36,153,-1.05063838717408,0.026,0.056,0.104184447786022,0.18165493460127,,,,MLYCD,0.272131424826275,0.0291126278511173,TRUE,FALSE,FALSE
Akt1,B_cell,kidney,36,153,-0.417629543217781,0.065,0.139,0.114302776036199,0.193570877879339,,,,AKT1,0.387089573539082,0.00343401055010987,TRUE,FALSE,FALSE
Ulk1,B_cell,kidney,36,153,-1.50067575741204,0.013,0.056,0.116711852839013,0.193570877879339,,,,ULK1,0.471039299127842,6.64395450049281e-05,TRUE,FALSE,FALSE
Irs2,B_cell,kidney,36,153,0.215722601679831,0.072,0.167,0.128688657099021,0.205343387614167,,,,IRS2,-0.584420274513232,0.00290962468594569,TRUE,FALSE,FALSE
Pfkfb4,B_cell,kidney,36,153,-1.11600580028079,0.033,0.111,0.129849495108958,0.205343387614167,,,,PFKFB4,0.131856641195354,0.00500148112903384,TRUE,FALSE,FALSE
Cpt1a,B_cell,kidney,36,153,-1.36188982161602,0.046,0.139,0.136690327108854,0.211248687350047,,,,CPT1A,0.227443438987381,0.0910342838314238,FALSE,FALSE,FALSE
Ppp2r2a,B_cell,kidney,36,153,0.0425574456872975,0.092,0.194,0.147004590679828,0.222140270360629,,,,PPP2R2A,-0.108782601530249,0.158420652705628,FALSE,FALSE,FALSE
Rab10,B_cell,kidney,36,153,0.126088450535175,0.118,0.25,0.15137477893543,0.223771412339332,,,,RAB10,,,FALSE,FALSE,FALSE
Ppp2r5c,B_cell,kidney,36,153,0.350897792442625,0.098,0.194,0.161049782889304,0.233008196520695,,,,PPP2R5C,-0.214695257186268,0.0541914902763123,FALSE,FALSE,FALSE
Eif4ebp1,B_cell,kidney,36,153,0.364944047142639,0.085,0.167,0.191007652666229,0.270594174610491,,,,EIF4EBP1,0.0754219943218205,0.37388212514371,FALSE,FALSE,FALSE
Ppp2r3c,B_cell,kidney,36,153,0.278025884465206,0.033,0.083,0.195005631946008,0.270620060659766,,,,PPP2R3C,-0.151989920023,0.276422292168939,FALSE,FALSE,FALSE
Sirt1,B_cell,kidney,36,153,-0.649619786002858,0.046,0.111,0.204135616247953,0.277624438097217,,,,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,FALSE,FALSE
Ccnd1,B_cell,kidney,36,153,0.814924348937013,0.118,0.25,0.226154365441678,0.301539153922237,,,,CCND1,0.8031084765255,0.00074921048132828,TRUE,FALSE,FALSE
Rptor,B_cell,kidney,36,153,0.617604356491566,0.02,0.056,0.244729819886078,0.314852220588607,,,,RPTOR,,,FALSE,FALSE,FALSE
Tsc1,B_cell,kidney,36,153,-1.42738225972141,0.059,0.111,0.245399524870532,0.314852220588607,,,,TSC1,-0.202386421851348,0.034493511696181,TRUE,FALSE,FALSE
Prkag2,B_cell,kidney,36,153,0.455074948135803,0.039,0.083,0.29128124788224,0.366798608444302,,,,PRKAG2,0.144334536180236,0.179142511226382,FALSE,FALSE,FALSE
Igf1r,B_cell,kidney,36,153,2.22041887084438,0.072,0.028,0.31854198059194,0.393833721459126,,,,IGF1R,-0.148765271716842,0.133449327413096,FALSE,FALSE,FALSE
Pck2,B_cell,kidney,36,153,-0.0234639212407179,0.059,0.111,0.360946323955858,0.438291964803542,,,,PCK2,0.0144772473306067,0.912081693834765,FALSE,FALSE,FALSE
Eef2,B_cell,kidney,36,153,-0.0227610970416059,0.601,0.861,0.376581919927777,0.446679334747133,,,,EEF2,0.448462726762021,0.00104406663485494,TRUE,FALSE,FALSE
Acaca,B_cell,kidney,36,153,-0.166829052809187,0.026,0.056,0.387560011030601,0.446679334747133,,,,ACACA,0.07726357893715,0.585139303512386,FALSE,FALSE,FALSE
Prkaa2,B_cell,kidney,36,153,0.474919235231489,0.026,0.056,0.387560011030601,0.446679334747133,,,,PRKAA2,0.2883315494399,0.0174833628632484,TRUE,FALSE,FALSE
Ppp2r2d,B_cell,kidney,36,153,0.116031723707388,0.085,0.111,0.445761722774235,0.505196619144133,,,,PPP2R2D,0.119151396427903,0.165293952164548,FALSE,FALSE,FALSE
Rab14,B_cell,kidney,36,153,0.466614130249198,0.314,0.472,0.482536278814019,0.537909294415628,,,,RAB14,-0.0725879174061108,0.493282542838044,FALSE,FALSE,FALSE
Hmgcr,B_cell,kidney,36,153,0.98253225598738,0.078,0.111,0.606183923568729,0.66484688391409,,,,HMGCR,0.322114208989851,0.265480328108024,FALSE,FALSE,FALSE
Rps6kb2,B_cell,kidney,36,153,-0.0359776101067748,0.033,0.056,0.665762611457793,0.718600913954444,,,,RPS6KB2,0.257949387042562,0.0194903632172992,TRUE,FALSE,FALSE
Ppp2r1a,B_cell,kidney,36,153,1.03958956068492,0.078,0.111,0.715083881835599,0.759776624450324,,,,PPP2R1A,0.348763030574157,0.00116430586290843,TRUE,FALSE,FALSE
Ppp2r3a,B_cell,kidney,36,153,0.330326803973861,0.033,0.056,0.814980777768728,0.847025604741889,,,,PPP2R3A,-0.0812689650985154,0.428087382487469,FALSE,FALSE,FALSE
Creb3,B_cell,kidney,36,153,0.257026281969882,0.046,0.056,0.822113086955363,0.847025604741889,,,,CREB3,0.303800603180914,0.00138677189848469,TRUE,FALSE,FALSE
Pfkfb3,B_cell,kidney,36,153,2.02135621697115,0.052,0.028,0.900379895233104,0.913818401132106,,,,PFKFB3,-0.655569796012921,0.000127446028528339,TRUE,FALSE,FALSE
Adipor1,B_cell,kidney,36,153,1.51479920922084,0.137,0.167,0.914903006410874,0.914903006410874,,,,ADIPOR1,0.0985079852008817,0.299828895869015,FALSE,FALSE,FALSE
Ppp2r1b,CD_IC,kidney,18,278,-0.889386330886237,0.04,0.333,5.140884935694e-07,4.6267964421246e-05,,,,PPP2R1B,-0.0326247135429388,0.79265448609177,FALSE,FALSE,FALSE
Insr,CD_IC,kidney,18,278,-1.92755272153239,0.068,0.333,2.25274644923364e-06,0.000101373590215514,,,,INSR,0.169374111461339,0.175103061199346,FALSE,FALSE,FALSE
Pfkp,CD_IC,kidney,18,278,-1.79627804609507,0.151,0.556,1.43791155640239e-05,0.000431373466920717,,,,PFKP,0.201971206322531,0.00645525341532389,TRUE,FALSE,FALSE
Prkag2,CD_IC,kidney,18,278,-0.361630818619038,0.097,0.444,7.02707287915467e-05,0.00115846516610516,,,,PRKAG2,0.144334536180236,0.179142511226382,FALSE,FALSE,FALSE
Adra1a,CD_IC,kidney,18,278,-1.5896188243767,0.029,0.222,8.52060299016183e-05,0.00115846516610516,,,,ADRA1A,0.0090643584420813,0.914087955409388,FALSE,FALSE,FALSE
Pparg,CD_IC,kidney,18,278,-4.91351397087372,0,0.056,9.01028462526238e-05,0.00115846516610516,,,,PPARG,0.14873252430513,0.210592958883288,FALSE,FALSE,FALSE
Ppp2r2c,CD_IC,kidney,18,278,-5.06789633242888,0,0.056,9.01028462526238e-05,0.00115846516610516,,,,PPP2R2C,,,FALSE,FALSE,FALSE
Pdpk1,CD_IC,kidney,18,278,-1.14204539462891,0.144,0.5,0.000139248825826295,0.00156654929054582,,,,PDPK1,0.153466221786299,0.018028233353959,TRUE,FALSE,FALSE
Cab39l,CD_IC,kidney,18,278,-1.61504601790177,0.158,0.5,0.000187811888161585,0.00182881544938175,,,,CAB39L,0.0137396623132676,0.857025750656643,FALSE,FALSE,FALSE
Adipor2,CD_IC,kidney,18,278,-0.829107987047632,0.144,0.5,0.000209377598813217,0.00182881544938175,,,,ADIPOR2,0.0715962771728451,0.531210570140672,FALSE,FALSE,FALSE
Ppp2r5c,CD_IC,kidney,18,278,-1.24183847888572,0.191,0.611,0.000239081655112364,0.00182881544938175,,,,PPP2R5C,-0.214695257186268,0.0541914902763123,FALSE,FALSE,FALSE
Stk11,CD_IC,kidney,18,278,-0.564978610563596,0.169,0.5,0.000243842059917566,0.00182881544938175,,,,STK11,0.354251480632152,0.0153103974501462,TRUE,FALSE,FALSE
Hmgcr,CD_IC,kidney,18,278,-0.938259170207261,0.151,0.5,0.000363946354519599,0.00251962860821261,,,,HMGCR,0.322114208989851,0.265480328108024,FALSE,FALSE,FALSE
Ppp2r5d,CD_IC,kidney,18,278,-1.9248906074789,0.058,0.278,0.000484763375226016,0.0030608591092738,,,,PPP2R5D,0.0418634535766595,0.545552937261772,FALSE,FALSE,FALSE
Pfkl,CD_IC,kidney,18,278,-0.317572365693029,0.14,0.5,0.000535279723487512,0.0030608591092738,,,,PFKL,0.412788409607824,0.00375888054431156,TRUE,FALSE,FALSE
Ppp2r1a,CD_IC,kidney,18,278,-0.918346457630256,0.18,0.444,0.000566184291532005,0.0030608591092738,,,,PPP2R1A,0.348763030574157,0.00116430586290843,TRUE,FALSE,FALSE
Irs2,CD_IC,kidney,18,278,-1.49289181724822,0.212,0.556,0.000611047810960404,0.0030608591092738,,,,IRS2,-0.584420274513232,0.00290962468594569,TRUE,TRUE,FALSE
Prkaa2,CD_IC,kidney,18,278,-1.53848967933787,0.162,0.444,0.00061217182185476,0.0030608591092738,,,,PRKAA2,0.2883315494399,0.0174833628632484,TRUE,FALSE,FALSE
Akt1s1,CD_IC,kidney,18,278,-0.32734586738133,0.101,0.333,0.00105263407939681,0.00498616142872174,,,,AKT1S1,,,FALSE,FALSE,FALSE
Ppp2r5a,CD_IC,kidney,18,278,-1.51287426440371,0.299,0.667,0.00209077567394662,0.00912704500618256,,,,PPP2R5A,-0.262441936043039,0.00882731769154429,TRUE,TRUE,FALSE
Cab39,CD_IC,kidney,18,278,-0.716233356115905,0.27,0.667,0.00212964383477593,0.00912704500618256,,,,CAB39,0.0995298512419271,0.262092054253262,FALSE,FALSE,FALSE
Rab11b,CD_IC,kidney,18,278,-0.442894012978308,0.23,0.611,0.00252650336105295,0.0103356955679439,,,,RAB11B,-0.128979335643103,0.0848864845380073,FALSE,FALSE,FALSE
Foxo1,CD_IC,kidney,18,278,0.00447127054533691,0.104,0.333,0.00304168791921651,0.0116802732091038,,,,FOXO1,-0.105403033427432,0.24841547187657,FALSE,FALSE,FALSE
Elavl1,CD_IC,kidney,18,278,-1.84913412519387,0.183,0.5,0.00311473952242768,0.0116802732091038,,,,ELAVL1,0.00629859637126631,0.929732702059394,FALSE,FALSE,FALSE
Mlycd,CD_IC,kidney,18,278,-0.910156178261605,0.05,0.222,0.00366883988625038,0.0132078235905014,,,,MLYCD,0.272131424826275,0.0291126278511173,TRUE,FALSE,FALSE
Ppp2r2d,CD_IC,kidney,18,278,-0.536717926604081,0.183,0.5,0.00396499418504706,0.0137249798713168,,,,PPP2R2D,0.119151396427903,0.165293952164548,FALSE,FALSE,FALSE
Prkab1,CD_IC,kidney,18,278,-1.57486778670067,0.104,0.278,0.00475782690917707,0.0158594230305902,,,,PRKAB1,0.0903291141903828,0.333050873638677,FALSE,FALSE,FALSE
Pik3ca,CD_IC,kidney,18,278,-0.166593538748554,0.126,0.333,0.00632666634426447,0.0198425123947188,,,,PIK3CA,-0.194162266153804,0.025007761246042,TRUE,TRUE,FALSE
Cpt1a,CD_IC,kidney,18,278,-1.02016084780714,0.137,0.389,0.00639369843829828,0.0198425123947188,,,,CPT1A,0.227443438987381,0.0910342838314238,FALSE,FALSE,FALSE
Ppp2ca,CD_IC,kidney,18,278,-0.404367377474197,0.302,0.667,0.00781060880681316,0.0228314346237424,,,,PPP2CA,,,FALSE,FALSE,FALSE
Prkag1,CD_IC,kidney,18,278,-0.405904389656715,0.104,0.278,0.00786416081484462,0.0228314346237424,,,,PRKAG1,-0.0911617220470691,0.322923558463888,FALSE,FALSE,FALSE
Mtor,CD_IC,kidney,18,278,-0.379286807925689,0.079,0.278,0.00924434978974431,0.0259997337836559,,,,MTOR,0.0609980192311536,0.346097047602718,FALSE,FALSE,FALSE
Slc2a4,CD_IC,kidney,18,278,-1.20156876996083,0.119,0.333,0.0115379120589137,0.0314670328879464,,,,SLC2A4,0.0833675916829536,0.308686429784471,FALSE,FALSE,FALSE
Stradb,CD_IC,kidney,18,278,-1.07398405917621,0.04,0.167,0.0156030218655152,0.041209720530101,,,,STRADB,,,FALSE,FALSE,FALSE
Rab10,CD_IC,kidney,18,278,-1.13957000889226,0.281,0.611,0.0160260024283726,0.041209720530101,,,,RAB10,,,FALSE,FALSE,FALSE
Creb1,CD_IC,kidney,18,278,-0.251621753848138,0.09,0.222,0.0174797543170232,0.0436993857925581,,,,CREB1,-0.0788628754166012,0.27343317375151,FALSE,FALSE,FALSE
Ppp2cb,CD_IC,kidney,18,278,-0.130514832573882,0.122,0.278,0.0210370409557112,0.0511711807030813,,,,PPP2CB,-0.154344495591139,0.139208474399713,FALSE,FALSE,FALSE
Strada,CD_IC,kidney,18,278,-2.02924548733248,0.043,0.167,0.0241889451618712,0.0572896069623265,,,,STRADA,0.0482638423255332,0.441561159337292,FALSE,FALSE,FALSE
Ppp2r2a,CD_IC,kidney,18,278,0.369312289370122,0.212,0.444,0.0276736346116131,0.06343393695427,,,,PPP2R2A,-0.108782601530249,0.158420652705628,FALSE,FALSE,FALSE
Pfkm,CD_IC,kidney,18,278,-0.86772082704797,0.068,0.167,0.0281928608685645,0.06343393695427,,,,PFKM,-0.174352886444122,0.044645878124864,TRUE,FALSE,FALSE
Prkaa1,CD_IC,kidney,18,278,-0.092677411608586,0.043,0.167,0.0394566664282867,0.0866121945986781,,,,PRKAA1,-0.0832174939496949,0.203035696208847,FALSE,FALSE,FALSE
Lipe,CD_IC,kidney,18,278,-2.09909587589031,0.022,0.111,0.0404448926009926,0.0866676270021269,,,,LIPE,0.0340270585471342,0.616554915631368,FALSE,FALSE,FALSE
Ppp2r5b,CD_IC,kidney,18,278,-1.68587567882173,0.025,0.111,0.0433298558256423,0.090690395914135,,,,PPP2R5B,0.137412769860998,0.0300031487878973,TRUE,FALSE,FALSE
Rheb,CD_IC,kidney,18,278,-0.450192256894267,0.327,0.611,0.0461875029439061,0.0944744378398078,,,,RHEB,0.000762141165105317,0.994533538297037,FALSE,FALSE,FALSE
Acacb,CD_IC,kidney,18,278,-1.3612706637233,0.079,0.167,0.0514689547911329,0.102937909582266,,,,ACACB,0.128498466944628,0.339794153916541,FALSE,FALSE,FALSE
Adipor1,CD_IC,kidney,18,278,-0.0531055862028464,0.248,0.5,0.0537629022740963,0.105188287058015,,,,ADIPOR1,0.0985079852008817,0.299828895869015,FALSE,FALSE,FALSE
Tsc1,CD_IC,kidney,18,278,-1.06134006222036,0.083,0.222,0.057028607066665,0.109203715659571,,,,TSC1,-0.202386421851348,0.034493511696181,TRUE,FALSE,FALSE
Tbc1d1,CD_IC,kidney,18,278,0.256692169674287,0.205,0.444,0.0604015021572871,0.113252816544913,,,,TBC1D1,0.0427897471858399,0.548382850593194,FALSE,FALSE,FALSE
Ppargc1a,CD_IC,kidney,18,278,-0.526622566721819,0.259,0.5,0.0747604049460839,0.137315029492807,,,,PPARGC1A,-0.612471761557638,0.000603487342297342,TRUE,FALSE,FALSE
Eif4ebp1,CD_IC,kidney,18,278,-0.560466287258925,0.165,0.333,0.096870461819475,0.174366831275055,,,,EIF4EBP1,0.0754219943218205,0.37388212514371,FALSE,FALSE,FALSE
Creb3l2,CD_IC,kidney,18,278,0.796172527318538,0.187,0.278,0.122170526625849,0.215595046986793,,,,CREB3L2,0.109043372225875,0.405380258924797,FALSE,FALSE,FALSE
Rab14,CD_IC,kidney,18,278,-0.104213275118141,0.453,0.722,0.131094873749347,0.224473901232716,,,,RAB14,-0.0725879174061108,0.493282542838044,FALSE,FALSE,FALSE
Ppp2r3a,CD_IC,kidney,18,278,-0.570158646894238,0.104,0.222,0.132190186281489,0.224473901232716,,,,PPP2R3A,-0.0812689650985154,0.428087382487469,FALSE,FALSE,FALSE
Ppp2r5e,CD_IC,kidney,18,278,0.621359824187362,0.126,0.278,0.142684478242616,0.237807463737693,,,,PPP2R5E,-0.0251597625886988,0.835509017894403,FALSE,FALSE,FALSE
Sirt1,CD_IC,kidney,18,278,-0.342020767922298,0.112,0.222,0.173641981461776,0.284141424210179,,,,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,FALSE,FALSE
Rab2a,CD_IC,kidney,18,278,0.195593373344012,0.41,0.722,0.186761632971058,0.294973650081895,,,,RAB2A,0.120861387341921,0.355798580095796,FALSE,FALSE,FALSE
Rps6kb1,CD_IC,kidney,18,278,-0.160168726102675,0.112,0.222,0.186816645051867,0.294973650081895,,,,RPS6KB1,-0.0150524871094566,0.834304342285709,FALSE,FALSE,FALSE
Pck2,CD_IC,kidney,18,278,1.92680395886432,0.083,0,0.206190685923739,0.319951064364423,,,,PCK2,0.0144772473306067,0.912081693834765,FALSE,FALSE,FALSE
Ppp2r3c,CD_IC,kidney,18,278,0.233385954940918,0.043,0.111,0.223695130025602,0.336598299350363,,,,PPP2R3C,-0.151989920023,0.276422292168939,FALSE,FALSE,FALSE
Camkk2,CD_IC,kidney,18,278,-1.78642822361797,0.032,0.111,0.224398866233575,0.336598299350363,,,,CAMKK2,0.506110584900416,0.00844909260690126,TRUE,FALSE,FALSE
Ulk1,CD_IC,kidney,18,278,-0.5831524878595,0.083,0.167,0.230898926863021,0.340670547830687,,,,ULK1,0.471039299127842,6.64395450049281e-05,TRUE,FALSE,FALSE
Rab8a,CD_IC,kidney,18,278,1.35749963369748,0.212,0.389,0.261352217641451,0.379382251415009,,,,RAB8A,,,FALSE,FALSE,FALSE
Pfkfb2,CD_IC,kidney,18,278,-1.68149466171446,0.018,0.056,0.273856929521109,0.389865581877992,,,,PFKFB2,0.0740961266957192,0.255267613635657,FALSE,FALSE,FALSE
Akt2,CD_IC,kidney,18,278,0.493695919901166,0.158,0.278,0.277237747113239,0.389865581877992,,,,AKT2,0.272775905162288,0.0322680307039496,TRUE,FALSE,FALSE
Rptor,CD_IC,kidney,18,278,-1.1408897431987,0.054,0.111,0.318692307816022,0.441266272360646,,,,RPTOR,,,FALSE,FALSE,FALSE
Ppp2r3d,CD_IC,kidney,18,278,0.189748210537239,0.054,0.111,0.343221175031905,0.468028875043507,,,,PPP2R3B,0.276953635505095,0.00063525508853722,TRUE,FALSE,FALSE
Eef2,CD_IC,kidney,18,278,-0.256828993156323,0.712,0.944,0.35002266867265,0.470179704187141,,,,EEF2,0.448462726762021,0.00104406663485494,TRUE,FALSE,FALSE
Tsc2,CD_IC,kidney,18,278,-0.24420743809089,0.058,0.111,0.356161867118395,0.471390706480228,,,,TSC2,0.360866737018733,0.0271776682330935,TRUE,FALSE,FALSE
Eef2k,CD_IC,kidney,18,278,-0.332385573097146,0.022,0.056,0.373127226774038,0.486687687096572,,,,EEF2K,,,FALSE,FALSE,FALSE
Creb3,CD_IC,kidney,18,278,-0.629356815317933,0.104,0.167,0.407854901488615,0.524384873342504,,,,CREB3,0.303800603180914,0.00138677189848469,TRUE,FALSE,FALSE
Pfkfb3,CD_IC,kidney,18,278,0.883183780929644,0.097,0.167,0.4219723930919,0.534894582792549,,,,PFKFB3,-0.655569796012921,0.000127446028528339,TRUE,FALSE,FALSE
Prkab2,CD_IC,kidney,18,278,0.701629527964203,0.025,0.056,0.466419887063871,0.583024858829838,,,,PRKAB2,-0.164901188264764,0.0594438901536121,FALSE,FALSE,FALSE
Rps6kb2,CD_IC,kidney,18,278,0.180779880184295,0.065,0.111,0.478584708464132,0.59003594194208,,,,RPS6KB2,0.257949387042562,0.0194903632172992,TRUE,FALSE,FALSE
Akt3,CD_IC,kidney,18,278,-1.09971525620817,0.014,0.056,0.519021754901321,0.631242674879985,,,,AKT3,-0.238769261788149,0.072397760239147,FALSE,FALSE,FALSE
Igf1r,CD_IC,kidney,18,278,1.28473866990996,0.094,0.056,0.555962613103557,0.667155135724269,,,,IGF1R,-0.148765271716842,0.133449327413096,FALSE,FALSE,FALSE
Cpt1b,CD_IC,kidney,18,278,1.36435835709717,0.09,0.056,0.582437290329889,0.6897283701275,,,,CPT1B,,,FALSE,FALSE,FALSE
G6pc3,CD_IC,kidney,18,278,0.439905718664457,0.112,0.167,0.592919830560925,0.693023178577704,,,,G6PC3,0.0114334505189842,0.862668473837378,FALSE,FALSE,FALSE
Gys1,CD_IC,kidney,18,278,0.340384191419989,0.076,0.111,0.609243728426516,0.702973532799826,,,,GYS1,-0.0716337209718613,0.296115180093984,FALSE,FALSE,FALSE
Irs1,CD_IC,kidney,18,278,1.21523080082293,0.086,0.056,0.626901268576913,0.714191318631926,,,,IRS1,-0.3554897344882,0.00226335322613427,TRUE,FALSE,FALSE
