human,human_logFC,human_P,human_FDR,mouse,human_DE
STRADA,0.0482638423255332,0.441561159337292,0.633781345112823,Strada,FALSE
PIK3R1,-0.146984642979826,0.44195620227449,0.634120284471499,Pik3r1,FALSE
CREB5,-0.0557779584602364,0.459938075024634,0.649183993656557,Creb5,FALSE
CIDEA,0.0597006863584045,0.476809048614875,0.662626359491461,Cidea,FALSE
RAB14,-0.0725879174061108,0.493282542838044,0.677322927268846,Rab14,FALSE
ADIPOR2,0.0715962771728451,0.531210570140672,0.706164453255583,Adipor2,FALSE
PPP2R5D,0.0418634535766595,0.545552937261772,0.717180165246286,Ppp2r5d,FALSE
TBC1D1,0.0427897471858399,0.548382850593194,0.719207828367655,Tbc1d1,FALSE
ACACA,0.07726357893715,0.585139303512386,0.745354127931092,Acaca,FALSE
LIPE,0.0340270585471342,0.616554915631368,0.769857681470456,Lipe,FALSE
MAP3K7,-0.0337117987684358,0.660626089455411,0.800669724940289,Map3k7,FALSE
PPP2R1B,-0.0326247135429388,0.79265448609177,0.886750963056815,Ppp2r1b,FALSE
FBP2,-0.0184269849428555,0.801721741437421,0.892907461681689,Fbp2,FALSE
CREB3L1,-0.0156723866492066,0.832462032154336,0.911323651147742,Creb3l1,FALSE
RPS6KB1,-0.0150524871094566,0.834304342285709,0.912626753279875,Rps6kb1,FALSE
PPP2R5E,-0.0251597625886988,0.835509017894403,0.913156286491856,Ppp2r5e,FALSE
ADIPOQ,0.00783280186046452,0.854673137567992,0.923562307334958,Adipoq,FALSE
CAB39L,0.0137396623132676,0.857025750656643,0.924269190781131,Cab39l,FALSE
G6PC3,0.0114334505189842,0.862668473837378,0.927763831187665,G6pc3,FALSE
IRS4,0.0103772467236423,0.890857167598971,0.940506350131823,Irs4,FALSE
PCK2,0.0144772473306067,0.912081693834765,0.952000177732328,Pck2,FALSE
ADRA1A,0.0090643584420813,0.914087955409388,0.952848149948733,Adra1a,FALSE
ELAVL1,0.00629859637126631,0.929732702059394,0.962102633953873,Elavl1,FALSE
SCD5,-0.0115074444606304,0.933190034458921,0.964030640481681,,FALSE
G6PC2,-0.00505250405914868,0.953217193345936,0.975472967081277,G6pc2,FALSE
RHEB,0.000762141165105317,0.994533538297037,0.99706323338691,Rheb,FALSE
LEP,0.000132748449978414,0.99827638827954,0.999194458697655,Lep,FALSE
AKT1S1,,,,Akt1s1,FALSE
CPT1B,,,,Cpt1b,FALSE
CPT1C,,,,Cpt1c,FALSE
CREB3L3,,,,Creb3l3,FALSE
CREB3L4,,,,Creb3l4,FALSE
CRTC2,,,,Crtc2,FALSE
EEF2K,,,,Eef2k,FALSE
INS,,,,Ins2,FALSE
LEPR,,,,Lepr,FALSE
P3R3URF-PIK3R3,,,,,FALSE
PIK3R3,,,,,FALSE
PPP2CA,,,,Ppp2ca,FALSE
PPP2R2C,,,,Ppp2r2c,FALSE
PRKAG3,,,,Prkag3,FALSE
RAB10,,,,Rab10,FALSE
RAB8A,,,,Rab8a,FALSE
RPTOR,,,,Rptor,FALSE
STRADB,,,,Stradb,FALSE
