pathway,n_measured,n_pheno,n_intersect,pheno_frac,pheno_p,name,ora_p,ora_padj,ora_count,gsea_NES,gsea_p,gsea_padj,fry_dir,fry_p,fry_padj,fry_mixed_p,n_DE,n_DE_FDR,de_frac,coherence,mean_absLFC,degree,n_edges,n_coherent,n_coherent_FDR,n_coherent_pheno
hsa04919,110,46,1,0.418181818181818,1.25762924045453e-30,Thyroid hormone signaling pathway,0.068483149,0.107665918,1,0.977919423585584,0.511111111111111,0.726726726726727,Up,0.816887788798869,0.913031996850671,0.000625162448127656,39,0,0.354545454545455,0.512820512820513,0.159536636173982,11,23,10,0,9
hsa04550,121,30,1,0.247933884297521,3.24885731792052e-13,Signaling pathways regulating pluripotency of stem cells,0.075132497,0.107665918,1,1.12201722436187,0.223123732251521,0.545413567725941,Up,0.313898006890065,0.620562094850125,0.000490674699148798,36,1,0.297520661157025,0.583333333333333,0.146558696888581,5,40,19,0,11
hsa04150,122,46,1,0.377049180327869,2.94822289044229e-28,mTOR signaling pathway,0.075735213,0.107665918,1,1.01263011315449,0.430861723446894,0.717696988290638,Up,0.439827315318011,0.676405648355752,0.000294331349754535,46,2,0.377049180327869,0.5,0.168852499681422,0,0,0,0,0
hsa04921,129,36,1,0.27906976744186,2.13298819294679e-17,Oxytocin signaling pathway,0.07994598,0.107665918,1,-0.853805237778593,0.811507936507937,0.888619550384256,Up,0.964286081988772,0.983714103923341,0.000551478933271164,34,1,0.263565891472868,0.529411764705882,0.15027177284203,0,0,0,0,0
hsa04390,131,19,1,0.145038167938931,4.10096107850589e-05,Hippo signaling pathway,0.081146409,0.107665918,1,0.963519612096646,0.528688524590164,0.726726726726727,Up,0.871315841417855,0.947655095253088,0.000217106714063032,38,2,0.290076335877863,0.605263157894737,0.1560021049352,0,0,0,0,0
hsa04934,133,36,1,0.270676691729323,6.30917848798497e-17,Cushing syndrome,0.082345663,0.107665918,1,0.71154494027557,0.989878542510121,0.996195719156978,Up,0.93151089575099,0.971662227464395,0.000340335122184532,35,1,0.263157894736842,0.514285714285714,0.139694082071347,0,0,0,0,0
hsa04218,134,52,1,0.388059701492537,1.47361236402053e-32,Cellular senescence,0.082944849,0.107665918,1,1.1307939544204,0.209255533199195,0.536019407235524,Up,0.148874775711478,0.538461219455219,0.000355615451295075,43,1,0.32089552238806,0.627906976744186,0.166016790061017,0,0,0,0,0
hsa04932,135,61,1,0.451851851851852,8.04554775998786e-43,Non-alcoholic fatty liver disease,0.083543743,0.107665918,1,1.08251499925444,0.288,0.604273709483794,Up,0.405467275116292,0.676405648355752,0.00838533686924236,41,0,0.303703703703704,0.585365853658537,0.16586935732625,0,0,0,0,0
hsa04110,136,13,1,0.0955882352941176,0.0234146745114277,Cell cycle,0.084142342,0.107665918,1,-0.98775658947531,0.470703125,0.717696988290638,Down,0.340541316042316,0.637500783206568,0.00128626760228925,36,1,0.264705882352941,0.5,0.143582016405178,0,0,0,0,0
hsa04140,137,40,1,0.291970802919708,5.51856103762388e-20,Autophagy - animal,0.084740649,0.107665918,1,1.41687881683516,0.0146949393623039,0.116362568964421,Up,0.377015472657798,0.670955217449003,0.00012970494418666,54,3,0.394160583941606,0.592592592592593,0.172403253991485,0,0,0,0,0
hsa04530,137,21,1,0.153284671532847,6.82065517727502e-06,Tight junction,0.084740649,0.107665918,1,1.13168281642107,0.195519348268839,0.529638076807888,Up,0.417869133530797,0.676405648355752,0.00127697264524318,45,0,0.328467153284672,0.555555555555556,0.172293107776411,0,0,0,0,0
hsa04310,141,24,1,0.170212765957447,2.11491625640946e-07,Wnt signaling pathway,0.087130944,0.107665918,1,-1.03461040054418,0.345776031434185,0.648665113233122,Down,0.314325321785939,0.620562094850125,0.000362464721310473,40,0,0.283687943262411,0.625,0.142601579434853,0,0,0,0,0
hsa04630,142,36,1,0.253521126760563,6.18437838977834e-16,JAK-STAT signaling pathway,0.087727785,0.107665918,1,1.18423061799426,0.116326530612245,0.391654896421846,Up,0.269677701664042,0.609713113591552,0.00123626675118949,43,1,0.302816901408451,0.604651162790698,0.138898921278095,0,0,0,0,0
hsa04022,146,42,1,0.287671232876712,1.18117656855472e-20,cGMP-PKG signaling pathway,0.090112225,0.108941645,1,-0.996246798361103,0.436647173489279,0.717696988290638,Down,0.69817790352033,0.8447952632596,0.0012803908907474,40,0,0.273972602739726,0.55,0.151414349107785,0,0,0,0,0
hsa04714,180,50,1,0.277777777777778,1.2538982683479e-23,Thermogenesis,0.110191735,0.122267542,1,-0.956089461505128,0.575875486381323,0.750122918403557,Down,0.788582621128442,0.900174501476807,0.00549725514599303,50,1,0.277777777777778,0.58,0.16106143822384,0,0,0,0,0
hsa04015,188,45,1,0.23936170212766,1.46219442008742e-18,Rap1 signaling pathway,0.114867621,0.124909077,1,1.21830353434348,0.0809716599190283,0.346253902185224,Up,0.215740177803682,0.592162517229556,0.000383496914061484,63,1,0.335106382978723,0.571428571428571,0.161556636636398,0,0,0,0,0
hsa04014,202,51,1,0.252475247524753,5.12701511784068e-22,Ras signaling pathway,0.123006047,0.129395972,1,0.994622656489657,0.487755102040816,0.726726726726727,Up,0.264971478895392,0.609713113591552,0.00115392191451651,59,1,0.292079207920792,0.542372881355932,0.144315205974739,0,0,0,0,0
hsa04010,274,68,1,0.248175182481752,1.29912755762755e-28,MAPK signaling pathway,0.163977924,0.168129264,1,1.16191313484968,0.120857699805068,0.400651552778445,Up,0.1112232204183,0.48166623777516,0.000535591809332362,81,3,0.295620437956204,0.580246913580247,0.145382834746109,0,0,0,0,0
hsa00010,57,14,0,0.245614035087719,8.05204570816435e-07,Glycolysis / Gluconeogenesis,,,,1.14121948600786,0.234939759036145,0.557406094968108,Up,0.111857592182115,0.48166623777516,0.00133023389716152,19,0,0.333333333333333,0.631578947368421,0.162846384321591,0,0,0,0,0
hsa00020,29,8,0,0.275862068965517,7.86845710116325e-05,Citrate cycle (TCA cycle),,,,1.21691300749025,0.17864476386037,0.502698056444296,Up,0.327260213571035,0.620562094850125,0.0140897083772372,8,0,0.275862068965517,0.75,0.188963859865931,0,0,0,0,0
hsa00030,23,2,0,0.0869565217391304,0.334563943740976,Pentose phosphate pathway,,,,1.13325170706179,0.281893004115226,0.603700061910485,Up,0.180252428925427,0.574795614186465,0.00174719219285493,11,0,0.478260869565217,0.545454545454545,0.201909034344909,0,0,0,0,0
hsa00040,16,0,0,0,1,Pentose and glucuronate interconversions,,,,-0.688693811322005,0.88527724665392,0.932855221873599,Down,0.437229083940634,0.676405648355752,0.70983004947051,0,0,0,,0.0969442599340789,0,0,0,0,0
hsa00051,31,9,0,0.290322580645161,1.77736283531882e-05,Fructose and mannose metabolism,,,,1.80880397357222,0.00242493955522757,0.0434493058195473,Up,0.00621155178814206,0.167021725858931,8.61801820816003e-05,15,1,0.483870967741936,0.8,0.216816917475515,0,0,0,0,0
hsa00052,28,9,0,0.321428571428571,7.000249383026e-06,Galactose metabolism,,,,1.83409333457011,0.00232684119642671,0.0434493058195473,Up,0.00580763710727758,0.167021725858931,0.00782607199549259,8,0,0.285714285714286,0.875,0.145058751424059,0,0,0,0,0
hsa00061,15,1,0,0.0666666666666667,0.548637752657988,Fatty acid biosynthesis,,,,-1.00712129455211,0.442776735459662,0.717696988290638,Down,0.734170840239049,0.870928153616912,0.100796478915606,7,0,0.466666666666667,0.571428571428571,0.200593246181988,0,0,0,0,0
hsa00062,18,2,0,0.111111111111111,0.237380666775427,Fatty acid elongation,,,,1.23675829866943,0.209745762711864,0.536019407235524,Up,0.192403448669167,0.582020432224231,0.457948454369048,2,0,0.111111111111111,1,0.124633713835372,0,0,0,0,0
hsa00071,38,4,0,0.105263157894737,0.130732806493008,Fatty acid degradation,,,,1.00357598424884,0.46734693877551,0.717696988290638,Up,0.87387100939995,0.947655095253088,0.00575725552771154,15,0,0.394736842105263,0.533333333333333,0.189974466456911,0,0,0,0,0
hsa00100,17,1,0,0.0588235294117647,0.594091352624559,Steroid biosynthesis,,,,1.03863881604815,0.400835073068894,0.702913678859944,Up,0.438132536048621,0.676405648355752,0.114136000783457,5,0,0.294117647058824,0.8,0.254968314830404,0,0,0,0,0
hsa00140,41,6,0,0.146341463414634,0.0177819175602515,Steroid hormone biosynthesis,,,,-1.15862259486462,0.215415019762846,0.537427162707306,Down,0.151303152574194,0.538461219455219,0.0087038235297705,8,0,0.195121951219512,1,0.174275526734122,0,0,0,0,0
hsa00190,102,5,0,0.0490196078431373,0.611207189176355,Oxidative phosphorylation,,,,-0.993504277636133,0.456692913385827,0.717696988290638,Down,0.708950407486665,0.848844775862781,0.0280848997736534,25,0,0.245098039215686,0.64,0.165667146604945,0,0,0,0,0
hsa00220,17,5,0,0.294117647058824,0.00132804781855289,Arginine biosynthesis,,,,-0.801309497518266,0.730401529636711,0.839325654491531,Down,0.541964453596899,0.738411232592385,0.106754376158119,3,0,0.176470588235294,0.666666666666667,0.198610524896009,0,0,0,0,0
hsa00230,100,5,0,0.05,0.593511354754212,Purine metabolism,,,,-1.62031823800236,0.00150279182390797,0.0363675621385729,Down,0.0262663507164407,0.244479110514563,0.00955405197274935,18,0,0.18,0.777777777777778,0.116059934094513,0,0,0,0,0
hsa00240,42,2,0,0.0476190476190476,0.645743772106837,Pyrimidine metabolism,,,,-0.814967205634755,0.791828793774319,0.876787031589956,Up,0.688149806905011,0.840678623790101,0.00266178517546121,13,1,0.30952380952381,0.538461538461538,0.156223214074394,0,0,0,0,0
hsa00250,27,5,0,0.185185185185185,0.0113081362202002,"Alanine, aspartate and glutamate metabolism",,,,-0.923658535833696,0.576540755467197,0.750122918403557,Down,0.31053233150267,0.620562094850125,0.00285434996867288,6,0,0.222222222222222,0.5,0.190121275339684,0,0,0,0,0
hsa00260,29,1,0,0.0344827586206897,0.785374997338492,"Glycine, serine and threonine metabolism",,,,0.734544644373405,0.870636550308008,0.928167599887833,Up,0.820189672057266,0.913031996850671,0.0185048899606416,7,0,0.241379310344828,0.571428571428571,0.209638639764459,0,0,0,0,0
hsa00270,42,6,0,0.142857142857143,0.0198691745279373,Cysteine and methionine metabolism,,,,-0.881935309651697,0.663424124513619,0.807402828068729,Down,0.704654512720023,0.84839001033953,0.00209941520396174,12,0,0.285714285714286,0.583333333333333,0.182556408498711,0,0,0,0,0
hsa00280,41,5,0,0.121951219512195,0.0584068162249475,"Valine, leucine and isoleucine degradation",,,,-1.00510267491117,0.438735177865613,0.717696988290638,Down,0.665224021483652,0.823013643374108,0.00137729278871474,13,1,0.317073170731707,0.538461538461538,0.179531146313201,0,0,0,0,0
hsa00310,50,3,0,0.06,0.480961104614703,Lysine degradation,,,,0.989049020871721,0.490909090909091,0.726726726726727,Up,0.117431024912126,0.48166623777516,0.00274083058436176,15,0,0.3,0.6,0.130660071151873,0,0,0,0,0
hsa00330,39,2,0,0.0512820512820513,0.60520663320225,Arginine and proline metabolism,,,,-0.873445718838235,0.687007874015748,0.818994608432567,Down,0.746071207659083,0.87176305169584,0.000761967972984224,13,1,0.333333333333333,0.538461538461538,0.225677820983532,0,0,0,0,0
hsa00340,17,0,0,0,1,Histidine metabolism,,,,-1.58670104865183,0.0230065600204465,0.142758654485847,Down,0.0495867973103033,0.33333347080815,0.0110832000329518,10,0,0.588235294117647,0.7,0.249717605618426,0,0,0,0,0
hsa00350,31,3,0,0.0967741935483871,0.213698040254511,Tyrosine metabolism,,,,-0.898985235533738,0.622823984526112,0.772940534642662,Down,0.476523570140907,0.710647686907239,0.00349097576798927,11,0,0.354838709677419,0.545454545454545,0.170286504166118,0,0,0,0,0
hsa00380,32,5,0,0.15625,0.0228432542761807,Tryptophan metabolism,,,,-1.09537301084875,0.316929133858268,0.620612903225806,Down,0.289739702739787,0.609713113591552,0.00122529961011459,9,1,0.28125,0.666666666666667,0.187672785609028,0,0,0,0,0
hsa00410,28,1,0,0.0357142857142857,0.773664044518007,beta-Alanine metabolism,,,,0.923186427012287,0.5625,0.743852459016393,Up,0.525110949192786,0.738411232592385,0.00624725390197082,11,0,0.392857142857143,0.545454545454545,0.16436850413689,0,0,0,0,0
hsa00480,40,5,0,0.125,0.0534525602902285,Glutathione metabolism,,,,1.10395432467156,0.281376518218623,0.603700061910485,Up,0.241284571990424,0.596590898170879,0.00261601093764727,10,0,0.25,0.5,0.219399877443431,0,0,0,0,0
hsa00500,28,14,0,0.5,1.69195887225376e-11,Starch and sucrose metabolism,,,,-1.11225608492894,0.292490118577075,0.604273709483794,Down,0.8501878108713,0.93520659195843,0.00124137363147086,10,0,0.357142857142857,0.6,0.186548877650862,0,0,0,0,0
hsa00510,40,0,0,0,1,N-Glycan biosynthesis,,,,-0.956845251487756,0.551181102362205,0.734954498626374,Up,0.778378532986106,0.896988595155417,0.00126347230130137,18,0,0.45,0.5,0.200532033349,0,0,0,0,0
hsa00512,20,0,0,0,1,Mucin type O-glycan biosynthesis,,,,-0.843819189766622,0.723809523809524,0.839325654491531,Down,0.277194084183927,0.609713113591552,0.00842982981332552,4,1,0.2,0.5,0.136867175441016,0,0,0,0,0
hsa00513,28,0,0,0,1,Various types of N-glycan biosynthesis,,,,1.09193355655519,0.320564516129032,0.620612903225806,Up,0.497829708912834,0.716625437174995,0.000912169026051879,14,0,0.5,0.5,0.216748347168505,0,0,0,0,0
hsa00514,28,1,0,0.0357142857142857,0.773664044518007,Other types of O-glycan biosynthesis,,,,0.990435481417519,0.465725806451613,0.717696988290638,Up,0.201047704328464,0.590423448593286,0.000589977851411459,8,1,0.285714285714286,0.625,0.156770057984925,0,0,0,0,0
hsa00520,33,8,0,0.242424242424242,0.000211946074229239,Amino sugar and nucleotide sugar metabolism,,,,1.80247383911941,0.00292373687535849,0.0442215202397972,Up,0.00400052575902774,0.167021725858931,0.00197613773953319,10,0,0.303030303030303,0.9,0.189980088951561,0,0,0,0,0
hsa00531,18,0,0,0,1,Glycosaminoglycan degradation,,,,0.963493072507262,0.483050847457627,0.726726726726727,Up,0.42294594350305,0.676405648355752,0.0694007822338213,4,0,0.222222222222222,0.75,0.145022555050502,0,0,0,0,0
hsa00532,15,0,0,0,1,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,,,,1.26494313945225,0.176972281449893,0.502698056444296,Up,0.245761328626029,0.596590898170879,0.0983593538697841,4,0,0.266666666666667,1,0.130732919586228,0,0,0,0,0
hsa00534,20,0,0,0,1,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,,,,1.22049062402683,0.19916142557652,0.529638076807888,Up,0.187639890581532,0.574795614186465,0.00931916922453822,8,0,0.4,0.75,0.1482586272749,0,0,0,0,0
hsa00541,17,0,0,0,1,Biosynthesis of various nucleotide sugars,,,,1.69588179898129,0.0118544189291899,0.110337283879383,Up,0.00995597686243244,0.172369962309698,0.0194645105699731,10,0,0.588235294117647,0.8,0.201626090845062,0,0,0,0,0
hsa00561,45,6,0,0.133333333333333,0.0271127163849779,Glycerolipid metabolism,,,,1.58414257650597,0.0126338412755461,0.113236651432673,Up,3.12617992289164e-06,0.000756535541339776,0.000367004702182868,17,0,0.377777777777778,0.705882352941177,0.18942510298272,0,0,0,0,0
hsa00562,70,18,0,0.257142857142857,9.8865863927025e-09,Inositol phosphate metabolism,,,,1.17759248953563,0.161100196463654,0.487328094302554,Up,0.50121290522959,0.716625437174995,4.07753285454427e-05,30,2,0.428571428571429,0.566666666666667,0.163629126753245,0,0,0,0,0
hsa00563,24,1,0,0.0416666666666667,0.720084681824431,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,,,,-1.54279046695159,0.0218574538819588,0.13919746945879,Down,0.0198668700174603,0.228942025915495,0.000684188708170011,12,0,0.5,0.75,0.181623787400065,0,0,0,0,0
hsa00564,72,7,0,0.0972222222222222,0.0772736107652518,Glycerophospholipid metabolism,,,,1.31668102027814,0.0717131474103586,0.3337419552559,Up,0.0258726397371306,0.244479110514563,0.00100313749283964,21,1,0.291666666666667,0.619047619047619,0.164187098289499,0,0,0,0,0
hsa00565,33,3,0,0.0909090909090909,0.241388176747112,Ether lipid metabolism,,,,1.02451191255511,0.432,0.717696988290638,Up,0.0480814792588432,0.332449085161144,0.000912947586363876,6,0,0.181818181818182,0.666666666666667,0.161884750445518,0,0,0,0,0
hsa00590,45,5,0,0.111111111111111,0.0807448225171383,Arachidonic acid metabolism,,,,-0.628899989965079,0.978515625,0.996195719156978,Up,0.987393522920777,0.991490591480614,0.000630135189305173,10,1,0.222222222222222,0.5,0.188395167511874,0,0,0,0,0
hsa00591,21,3,0,0.142857142857143,0.0912807732603008,Linoleic acid metabolism,,,,-0.804029525373684,0.771760154738878,0.868678871845621,Down,0.328231190664529,0.620562094850125,0.0122248742824161,4,1,0.19047619047619,0.5,0.238092766353964,0,0,0,0,0
hsa00592,17,3,0,0.176470588235294,0.0542383897247499,alpha-Linolenic acid metabolism,,,,1.32143748058913,0.148225469728601,0.458006636352464,Up,0.100480968665099,0.476792047391254,0.245631608887988,4,0,0.235294117647059,1,0.194421930485831,0,0,0,0,0
hsa00600,38,0,0,0,1,Sphingolipid metabolism,,,,1.3099317270805,0.0959183673469388,0.357111459968603,Up,0.0394924837006466,0.323540569500419,0.0149121356777479,8,0,0.210526315789474,0.5,0.137673382242328,0,0,0,0,0
hsa00601,24,2,0,0.0833333333333333,0.353682422608117,Glycosphingolipid biosynthesis - lacto and neolacto series,,,,1.06194832768732,0.369387755102041,0.657292917166867,Up,0.298480952564056,0.617370859149587,0.0125932371001783,6,0,0.25,0.5,0.136829363850689,0,0,0,0,0
hsa00620,42,8,0,0.19047619047619,0.00119561000521472,Pyruvate metabolism,,,,-0.823340522759744,0.776264591439689,0.869703847816689,Down,0.877168352630958,0.947655095253088,0.00973503876611114,11,0,0.261904761904762,0.545454545454545,0.148206421699552,0,0,0,0,0
hsa00630,21,4,0,0.19047619047619,0.0208678935104756,Glyoxylate and dicarboxylate metabolism,,,,1.05812557164568,0.364948453608247,0.656342957130359,Up,0.445344623928537,0.676405648355752,0.0836729210743558,4,0,0.19047619047619,1,0.169059043257424,0,0,0,0,0
hsa00640,28,2,0,0.0714285714285714,0.427895758682356,Propanoate metabolism,,,,-0.838530400527319,0.725296442687747,0.839325654491531,Down,0.746725228191638,0.87176305169584,0.0168021027423469,5,0,0.178571428571429,0.6,0.153446362566075,0,0,0,0,0
hsa00650,21,5,0,0.238095238095238,0.00367925059721446,Butanoate metabolism,,,,0.674709519765047,0.909278350515464,0.948471382865268,Up,0.652760208256861,0.818486893254717,0.0546104015554272,5,0,0.238095238095238,0.6,0.155657570947569,0,0,0,0,0
hsa00670,27,0,0,0,1,One carbon pool by folate,,,,-0.691019750599665,0.904572564612326,0.947647448641484,Down,0.606665411283562,0.78931736306786,0.0884148051436359,4,0,0.148148148148148,0.75,0.152012791770736,0,0,0,0,0
hsa00760,27,4,0,0.148148148148148,0.0480353874600998,Nicotinate and nicotinamide metabolism,,,,-1.51144931727157,0.0306125188079134,0.180688525646708,Down,0.414976600207005,0.676405648355752,0.000151729961866908,13,0,0.481481481481482,0.692307692307692,0.209384848729289,0,0,0,0,0
hsa00770,19,1,0,0.0526315789473684,0.634974289097274,Pantothenate and CoA biosynthesis,,,,-1.12206113694242,0.29622641509434,0.604273709483794,Down,0.491878265857179,0.716625437174995,0.0618330541227103,6,0,0.315789473684211,0.666666666666667,0.169647708426421,0,0,0,0,0
