mouse,cell_type,tissue,n_ctl,n_stz,cell_log2FC,pct_STZ,pct_Control,cell_p,cell_BH,pb_logFC,pb_P,pb_FDR,human,human_logFC,human_P,human_DE,cell_concordant,pb_concordant
Tbc1d1,B_cell,liver,4103,3283,0.12626008801948,0.16,0.204,0.000892629221161112,0.00101435138768308,0.111298650145547,0.374998452173855,0.892212789619192,TBC1D1,0.0427897471858399,0.548382850593194,FALSE,FALSE,FALSE
Camkk2,B_cell,liver,4103,3283,0.0858999289858398,0.043,0.061,0.00120399467886315,0.0013377718654035,0.0332615187267489,0.848742356367321,0.988473816537704,CAMKK2,0.506110584900416,0.00844909260690126,TRUE,TRUE,FALSE
Pik3r1,B_cell,liver,4103,3283,0.125894038006496,0.088,0.116,0.00148785352521684,0.001617232092627,0.211397278297212,0.214712456289889,0.83552674715697,PIK3R1,-0.146984642979826,0.44195620227449,FALSE,FALSE,FALSE
Eif4ebp1,B_cell,liver,4103,3283,0.00590444546613211,0.037,0.051,0.00309882777216975,0.00329662528954228,0.100727492561486,0.614350553476699,0.958729066642768,EIF4EBP1,0.0754219943218205,0.37388212514371,FALSE,FALSE,FALSE
Map3k7,B_cell,liver,4103,3283,0.0792537810548093,0.036,0.051,0.00358574452915999,0.00373515055120832,0.0273147113391627,0.889569539982641,0.992273620561228,MAP3K7,-0.0337117987684358,0.660626089455411,FALSE,FALSE,FALSE
Rps6kb2,B_cell,liver,4103,3283,0.202315127884236,0.041,0.05,0.0853181253895325,0.0870593116219719,0.219128449166259,0.275405396772806,0.860270608557018,RPS6KB2,0.257949387042562,0.0194903632172992,TRUE,FALSE,FALSE
Pck2,B_cell,liver,4103,3283,0.597003140904834,0.062,0.061,0.528497912213478,0.528497912213478,0.612804368571148,0.00103460208523421,0.252250940979378,PCK2,0.0144772473306067,0.912081693834765,FALSE,FALSE,FALSE
Ppargc1a,Cholangiocyte,liver,164,472,-1.53299691428812,0.114,0.317,1.96275477172419e-09,1.78610684226901e-07,-1.02773068266401,0.0159695273394242,0.517858347025421,PPARGC1A,-0.612471761557638,0.000603487342297342,TRUE,TRUE,TRUE
Adipor1,Cholangiocyte,liver,164,472,-0.371607071176859,0.301,0.585,3.01369893106914e-08,1.04122872647971e-06,-0.499578886637286,0.0275501390582574,0.618261630481716,ADIPOR1,0.0985079852008817,0.299828895869015,FALSE,FALSE,FALSE
Igf1,Cholangiocyte,liver,164,472,-0.121389447732365,0.258,0.53,3.43262217520785e-08,1.04122872647971e-06,-0.358314359041526,0.224490976320879,0.877965477847734,IGF1,-0.750196331507432,0.0163841211440685,TRUE,TRUE,FALSE
Ppp2r5a,Cholangiocyte,liver,164,472,-0.235880919652554,0.379,0.665,1.12761043096153e-07,2.56531373043749e-06,-0.285392317337866,0.15645651386629,0.835075534106686,PPP2R5A,-0.262441936043039,0.00882731769154429,TRUE,TRUE,FALSE
Creb5,Cholangiocyte,liver,164,472,-0.0570602014815742,0.104,0.268,5.70617198824652e-07,1.03852330186087e-05,-0.71214910765276,0.0989476887373441,0.775701268425872,CREB5,-0.0557779584602364,0.459938075024634,FALSE,FALSE,FALSE
Ppp2r2a,Cholangiocyte,liver,164,472,-0.524882732390141,0.263,0.494,1.10893982666497e-06,1.50944020128951e-05,-0.28353311833971,0.194885614524553,0.853934238542168,PPP2R2A,-0.108782601530249,0.158420652705628,FALSE,FALSE,FALSE
Crtc2,Cholangiocyte,liver,164,472,-0.798971916781743,0.061,0.195,1.17800727355932e-06,1.50944020128951e-05,,,,CRTC2,,,FALSE,FALSE,FALSE
Rheb,Cholangiocyte,liver,164,472,-0.212251012768244,0.424,0.701,1.32698039673803e-06,1.50944020128951e-05,-0.171499571268823,0.32279331402612,0.89759249676178,RHEB,0.000762141165105317,0.994533538297037,FALSE,FALSE,FALSE
Srebf1,Cholangiocyte,liver,164,472,-0.721992455232766,0.169,0.36,1.58556929197385e-06,1.60318672855134e-05,-0.338635059660829,0.234579454708939,0.884047544989581,SREBF1,0.435480157850608,0.0261960327030443,TRUE,FALSE,FALSE
Insr,Cholangiocyte,liver,164,472,-0.427435248327674,0.159,0.341,3.26985965285846e-06,2.76540410347273e-05,-0.374568339506944,0.158212656270482,0.835488618358721,INSR,0.169374111461339,0.175103061199346,FALSE,FALSE,FALSE
Cpt1a,Cholangiocyte,liver,164,472,-0.353326841216138,0.206,0.415,3.34279616903297e-06,2.76540410347273e-05,-0.456881678950859,0.110202483902078,0.793935099087746,CPT1A,0.227443438987381,0.0910342838314238,FALSE,FALSE,FALSE
Pparg,Cholangiocyte,liver,164,472,-2.56761152652493,0.006,0.061,5.67647679706916e-06,4.30466157111078e-05,,,,PPARG,0.14873252430513,0.210592958883288,FALSE,FALSE,FALSE
Stk11,Cholangiocyte,liver,164,472,-0.359281041402051,0.275,0.488,6.65800567580562e-06,4.66060397306393e-05,-0.260591930529657,0.195062139125709,0.853934238542168,STK11,0.354251480632152,0.0153103974501462,TRUE,FALSE,FALSE
Creb3l1,Cholangiocyte,liver,164,472,-0.820249824830679,0.104,0.244,1.99282588237665e-05,0.000129533682354483,-0.488312032139892,0.169301960536472,0.842022879762709,CREB3L1,-0.0156723866492066,0.832462032154336,FALSE,FALSE,FALSE
Rab14,Cholangiocyte,liver,164,472,-0.12515749291194,0.625,0.963,4.75070125877521e-05,0.00028820920969903,-0.0815199492487354,0.549774034688179,0.950439833733912,RAB14,-0.0725879174061108,0.493282542838044,FALSE,FALSE,FALSE
Ppp2r2d,Cholangiocyte,liver,164,472,-0.225742317892213,0.22,0.402,7.40052260099168e-05,0.000420904722931402,-0.0616471409530083,0.793125600634243,0.98142788365564,PPP2R2D,0.119151396427903,0.165293952164548,FALSE,FALSE,FALSE
Rab10,Cholangiocyte,liver,164,472,-0.0372128401283869,0.415,0.64,0.000104047729866862,0.000556102515544353,-0.105663685050526,0.534996906852174,0.949074722454564,RAB10,,,FALSE,FALSE,FALSE
Irs2,Cholangiocyte,liver,164,472,-0.0997662144718408,0.129,0.256,0.000109998299778004,0.000556102515544353,-0.453285466471792,0.193526028675218,0.853934238542168,IRS2,-0.584420274513232,0.00290962468594569,TRUE,TRUE,FALSE
Foxo3,Cholangiocyte,liver,164,472,0.0141806758961061,0.214,0.378,0.000187650443198521,0.000895680548018888,0.144669076620144,0.55961552577981,0.950439833733912,FOXO3,-0.258505148092882,0.0236771002828433,TRUE,FALSE,FALSE
Rab11b,Cholangiocyte,liver,164,472,0.0885492553411241,0.409,0.665,0.000196852867696459,0.000895680548018888,-0.0939894827636847,0.578767795176412,0.950439833733912,RAB11B,-0.128979335643103,0.0848864845380073,FALSE,FALSE,FALSE
Pfkp,Cholangiocyte,liver,164,472,-0.444451814129684,0.182,0.323,0.000316937825692951,0.00137339724466946,-0.331895523307797,0.246448309895746,0.888437237121581,PFKP,0.201971206322531,0.00645525341532389,TRUE,FALSE,FALSE
Ppp2cb,Cholangiocyte,liver,164,472,-0.132749328841717,0.174,0.323,0.000373847245989615,0.00154636815386613,-0.00442006744761537,0.987156993528532,0.999369942825694,PPP2CB,-0.154344495591139,0.139208474399713,FALSE,FALSE,FALSE
Rab2a,Cholangiocyte,liver,164,472,-0.0951989866586609,0.583,0.86,0.000413950270936228,0.00157888690118646,0.0830053245786467,0.586531518262384,0.950704456817799,RAB2A,0.120861387341921,0.355798580095796,FALSE,FALSE,FALSE
Ppp2r3a,Cholangiocyte,liver,164,472,-0.172748291224162,0.199,0.354,0.000416409732181045,0.00157888690118646,-0.0633838655993746,0.831269372939162,0.987929685776599,PPP2R3A,-0.0812689650985154,0.428087382487469,FALSE,FALSE,FALSE
Lipe,Cholangiocyte,liver,164,472,-2.25147344241212,0.015,0.067,0.000496594626848863,0.00180760444172986,,,,LIPE,0.0340270585471342,0.616554915631368,FALSE,FALSE,FALSE
Creb3l2,Cholangiocyte,liver,164,472,-0.323324679252248,0.182,0.323,0.000566453577614235,0.00198258752164982,-0.0631411584980306,0.815580017170335,0.983340285230208,CREB3L2,0.109043372225875,0.405380258924797,FALSE,FALSE,FALSE
Prkab2,Cholangiocyte,liver,164,472,-0.45190202463208,0.044,0.122,0.000691997640381576,0.00233228834350827,,,,PRKAB2,-0.164901188264764,0.0594438901536121,FALSE,FALSE,FALSE
Pik3r1,Cholangiocyte,liver,164,472,0.246968549340941,0.278,0.457,0.00074926928623863,0.00243512518027555,-0.0318335870400389,0.915619153551844,0.995676753430132,PIK3R1,-0.146984642979826,0.44195620227449,FALSE,FALSE,FALSE
Pfkl,Cholangiocyte,liver,164,472,-0.182070336326218,0.233,0.378,0.00109074274491509,0.00342267550990596,-0.0571662136928354,0.807256014074541,0.983340285230208,PFKL,0.412788409607824,0.00375888054431156,TRUE,FALSE,FALSE
Ppp2r1a,Cholangiocyte,liver,164,472,0.0627999511742948,0.354,0.543,0.00119849144778457,0.00363542405827985,0.0607200048474492,0.746488287016039,0.977146497684539,PPP2R1A,0.348763030574157,0.00116430586290843,TRUE,TRUE,FALSE
Map3k7,Cholangiocyte,liver,164,472,-0.031758669674389,0.087,0.183,0.0015181973367599,0.0044504380858817,-0.224840332876416,0.590435614971674,0.950704456817799,MAP3K7,-0.0337117987684358,0.660626089455411,FALSE,FALSE,FALSE
Pik3r2,Cholangiocyte,liver,164,472,0.117803672028604,0.121,0.232,0.00156498921701334,0.0044504380858817,-0.151402071019067,0.6470937924675,0.957568759101947,PIK3R2,0.268794809673499,0.00604856153799963,TRUE,TRUE,FALSE
Fasn,Cholangiocyte,liver,164,472,-0.377522668033665,0.176,0.299,0.00182835509954466,0.00504182769874437,0.0654600879936374,0.814821265351685,0.983340285230208,FASN,0.69799363467585,0.0102285985406989,TRUE,FALSE,FALSE
Prkag2,Cholangiocyte,liver,164,472,-0.68018126939349,0.042,0.11,0.00191876096232855,0.00513550728152642,,,,PRKAG2,0.144334536180236,0.179142511226382,FALSE,FALSE,FALSE
Ppp2r2b,Cholangiocyte,liver,164,472,-0.210978119808952,0.203,0.341,0.0025232511673132,0.00656045303501431,0.0752733036296056,0.757985846737126,0.977942109184645,PPP2R2B,-0.262770074648551,0.0978848374373925,FALSE,FALSE,FALSE
Ppp2ca,Cholangiocyte,liver,164,472,0.0221350174722066,0.479,0.701,0.00280572834947989,0.0070922577722964,0.050114923003922,0.74633601009714,0.977146497684539,PPP2CA,,,FALSE,FALSE,FALSE
Ppp2r5e,Cholangiocyte,liver,164,472,0.240980188919851,0.248,0.409,0.00289122733708732,0.00711085642364719,0.100572178733179,0.651886905178281,0.957982768371876,PPP2R5E,-0.0251597625886988,0.835509017894403,FALSE,FALSE,FALSE
Ccnd1,Cholangiocyte,liver,164,472,0.925235674698117,0.667,0.726,0.00329480835502484,0.00789019895545422,1.09527899016613,0.000640595870167237,0.116685250545614,CCND1,0.8031084765255,0.00074921048132828,TRUE,TRUE,TRUE
Fbp1,Cholangiocyte,liver,164,472,-2.0353755091793,0.023,0.085,0.00393694847496931,0.00918621310826173,,,,FBP1,0.619906449388021,0.00253757287048046,TRUE,FALSE,FALSE
Ppp2r3c,Cholangiocyte,liver,164,472,-0.414893562863072,0.1,0.189,0.00415917921068291,0.00946213270430363,-0.171446470027567,0.637936231759795,0.957446499043547,PPP2R3C,-0.151989920023,0.276422292168939,FALSE,FALSE,FALSE
Cab39,Cholangiocyte,liver,164,472,-0.0687940400000863,0.305,0.463,0.00428969752634236,0.00952103597310133,0.0341756022503328,0.863903010890274,0.992900034483354,CAB39,0.0995298512419271,0.262092054253262,FALSE,FALSE,FALSE
Creb1,Cholangiocyte,liver,164,472,-0.0521189729983567,0.144,0.244,0.00488812165695465,0.0105909302567351,0.0298635986473149,0.938889797961901,0.997495455848438,CREB1,-0.0788628754166012,0.27343317375151,FALSE,FALSE,FALSE
Pck2,Cholangiocyte,liver,164,472,-0.125082243436552,0.127,0.226,0.00533324923737104,0.0112866437349015,-0.1913812784096,0.573957094929858,0.950439833733912,PCK2,0.0144772473306067,0.912081693834765,FALSE,FALSE,FALSE
Rps6kb2,Cholangiocyte,liver,164,472,-0.315489422351488,0.055,0.116,0.00556895494040728,0.0115176113540241,,,,RPS6KB2,0.257949387042562,0.0194903632172992,TRUE,FALSE,FALSE
Akt2,Cholangiocyte,liver,164,472,-0.0248436346319869,0.146,0.25,0.00578051729631627,0.0116894905325507,0.0420418614936469,0.877595665925575,0.992900034483354,AKT2,0.272775905162288,0.0322680307039496,TRUE,FALSE,FALSE
G6pc3,Cholangiocyte,liver,164,472,-0.132289111487359,0.199,0.323,0.00607124490580691,0.012010506226705,0.185267999253866,0.534044097688137,0.948685170140648,G6PC3,0.0114334505189842,0.862668473837378,FALSE,FALSE,FALSE
Sirt1,Cholangiocyte,liver,164,472,-0.368817497512886,0.125,0.213,0.00647687437255168,0.0125403312319618,-0.405150526354775,0.163239690620174,0.837459251658463,SIRT1,-0.389065828328134,0.0044363570263749,TRUE,TRUE,FALSE
Hmgcr,Cholangiocyte,liver,164,472,0.056860285373932,0.28,0.409,0.00863480896617847,0.0163414192550395,0.185487634112008,0.567674539922113,0.950439833733912,HMGCR,0.322114208989851,0.265480328108024,FALSE,FALSE,FALSE
Ulk1,Cholangiocyte,liver,164,472,-0.817506462080804,0.125,0.207,0.00879922575271359,0.0163414192550395,-0.1491613898881,0.67324817422332,0.964313130078428,ULK1,0.471039299127842,6.64395450049281e-05,TRUE,FALSE,FALSE
Foxo1,Cholangiocyte,liver,164,472,-0.178795486347758,0.121,0.22,0.0109673261110721,0.0199605335221513,-0.102261749018069,0.723570610275055,0.974263092861662,FOXO1,-0.105403033427432,0.24841547187657,FALSE,FALSE,FALSE
Eef2k,Cholangiocyte,liver,164,472,-0.163943113705108,0.106,0.183,0.0113647251003895,0.0202782349830479,-0.266654115360371,0.45534295982877,0.928418129526985,EEF2K,,,FALSE,FALSE,FALSE
Eif4ebp1,Cholangiocyte,liver,164,472,0.126955884437693,0.246,0.366,0.0118311913230881,0.0207045848154041,0.218235658353606,0.34215190215372,0.900182287477637,EIF4EBP1,0.0754219943218205,0.37388212514371,FALSE,FALSE,FALSE
Creb3,Cholangiocyte,liver,164,472,-0.177062071473531,0.203,0.305,0.0123780143707278,0.0212528171270987,-0.00575858970755642,0.98306827393892,0.999264033518319,CREB3,0.303800603180914,0.00138677189848469,TRUE,FALSE,FALSE
Pik3ca,Cholangiocyte,liver,164,472,-0.348636625988501,0.131,0.213,0.01491758460885,0.0251388925815806,-0.16451097399518,0.669001709572468,0.963669990090843,PIK3CA,-0.194162266153804,0.025007761246042,TRUE,TRUE,FALSE
Elavl1,Cholangiocyte,liver,164,472,0.179332715998683,0.28,0.421,0.0174225693271176,0.0288264328866855,0.318895635157107,0.22586634509873,0.877965477847734,ELAVL1,0.00629859637126631,0.929732702059394,FALSE,FALSE,FALSE
Ppp2r3d,Cholangiocyte,liver,164,472,-0.228551944538725,0.074,0.14,0.0186708919987851,0.0303401994980258,,,,PPP2R3B,0.276953635505095,0.00063525508853722,TRUE,FALSE,FALSE
Adipor2,Cholangiocyte,liver,164,472,0.305103932044047,0.29,0.427,0.0195796066490507,0.0312586702642739,0.220949280496844,0.314039378070094,0.89759249676178,ADIPOR2,0.0715962771728451,0.531210570140672,FALSE,FALSE,FALSE
Prkag1,Cholangiocyte,liver,164,472,0.246088013279337,0.214,0.323,0.020647599815354,0.0323781419214791,0.169221650267103,0.497985195336034,0.941072324804304,PRKAG1,-0.0911617220470691,0.322923558463888,FALSE,FALSE,FALSE
Acaca,Cholangiocyte,liver,164,472,-0.26859306723784,0.064,0.122,0.0209924216853546,0.0323781419214791,,,,ACACA,0.07726357893715,0.585139303512386,FALSE,FALSE,FALSE
Ppp2r5d,Cholangiocyte,liver,164,472,0.0509661546034796,0.081,0.146,0.0228424246184139,0.0346443440045944,,,,PPP2R5D,0.0418634535766595,0.545552937261772,FALSE,FALSE,FALSE
Cab39l,Cholangiocyte,liver,164,472,0.157387167570102,0.189,0.293,0.0299162435625339,0.0446291502326325,0.115705253574342,0.722073850977816,0.973746697943095,CAB39L,0.0137396623132676,0.857025750656643,FALSE,FALSE,FALSE
Mlycd,Cholangiocyte,liver,164,472,-0.289414304611081,0.133,0.201,0.0454200870501109,0.0666649664767756,0.184781407342364,0.554017927864509,0.950439833733912,MLYCD,0.272131424826275,0.0291126278511173,TRUE,FALSE,FALSE
Akt1s1,Cholangiocyte,liver,164,472,0.201289136430462,0.182,0.268,0.0505949489979835,0.0730815929970872,0.319606459348319,0.298092752451805,0.896546737558134,AKT1S1,,,FALSE,FALSE,FALSE
Pdpk1,Cholangiocyte,liver,164,472,-0.164037076837624,0.182,0.262,0.0533219742388668,0.0758171821208887,0.0499801892492106,0.876002557675817,0.992900034483354,PDPK1,0.153466221786299,0.018028233353959,TRUE,FALSE,FALSE
Ppp2r5b,Cholangiocyte,liver,164,472,0.262154145310217,0.04,0.079,0.0558897641446914,0.078245669802568,,,,PPP2R5B,0.137412769860998,0.0300031487878973,TRUE,FALSE,FALSE
Akt1,Cholangiocyte,liver,164,472,0.212919225825924,0.269,0.372,0.0596192529454299,0.0820660045213631,0.224017957657638,0.375416693822572,0.909704152505041,AKT1,0.387089573539082,0.00343401055010987,TRUE,FALSE,FALSE
