tissue,cell_type,axis,gene1,gene2,n_mice,pseudobulk_r,pseudobulk_p,cells_coexpressing,pct_coexpressing,cell_rho,cell_p,both_concordant
kidney,Endothelial,AMPK,Sirt1,Igf1,7,-0.255395880661833,0.580427403349975,32,1.11,0.394794721407625,0.0253414318013298,FALSE
kidney,Endothelial,AMPK,Camkk2,Ccnd1,7,0.248990655776717,0.590280485940679,138,4.8,0.326185108024402,9.45023265888259e-05,FALSE
kidney,Endothelial,AMPK,Camkk2,Igf1,7,-0.235200309978739,0.611663451896802,45,1.57,0.167588932806324,0.271162284876665,FALSE
kidney,Endothelial,AMPK,Prkaa1,Ccnd1,7,0.234631528674925,0.612550228002071,80,2.78,0.336970663064203,0.00223979288015299,FALSE
kidney,Endothelial,AMPK,Prkaa1,Fasn,7,-0.22384148920012,0.629442982339349,4,0.14,,,FALSE
kidney,Endothelial,AMPK,Camkk2,Irs2,7,0.221164006991517,0.633655076982174,6,0.21,,,FALSE
kidney,Endothelial,AMPK,Stk11,Irs2,7,0.216650190143393,0.640773792389889,8,0.28,,,FALSE
kidney,Endothelial,AMPK,Sirt1,Srebf1,7,0.210001106274194,0.651299876241684,16,0.56,0.991176470588235,1.09082915104403e-13,FALSE
kidney,Endothelial,AMPK,Igf1,Ccnd1,7,0.209035018345394,0.652833157841878,131,4.56,0.187193722308226,0.032277353837843,FALSE
kidney,Endothelial,AMPK,Stk11,Igf1,7,-0.181834483779598,0.69638604124233,70,2.43,0.453752547935725,7.97692368610391e-05,FALSE
kidney,Endothelial,AMPK,Foxo1,Irs2,7,-0.167202104614038,0.720099944720996,16,0.56,0.914705882352941,7.01180219020329e-07,FALSE
kidney,Endothelial,AMPK,Irs2,Fasn,7,0.138990839184162,0.766314376656222,0,0,,,FALSE
kidney,Endothelial,AMPK,Prkaa2,Foxo1,7,-0.13802497637464,0.767907118055996,4,0.14,,,FALSE
kidney,Endothelial,AMPK,Ppargc1a,Foxo1,7,-0.131282528432881,0.779043494240507,3,0.1,,,FALSE
kidney,Endothelial,AMPK,Prkaa1,Prkaa2,7,0.118818259923134,0.799708700464499,0,0,,,FALSE
kidney,Endothelial,AMPK,Prkaa2,Fasn,7,-0.107311590045288,0.818869331733807,0,0,,,FALSE
kidney,Endothelial,AMPK,Foxo1,Igf1,7,0.107203015800121,0.819050481577105,98,3.41,0.265392388761022,0.00826421062230323,FALSE
kidney,Endothelial,AMPK,Irs2,Srebf1,7,0.097667117525542,0.834984813982267,3,0.1,,,FALSE
kidney,Endothelial,AMPK,Sirt1,Irs2,7,-0.0916246288877717,0.845105289304372,3,0.1,,,FALSE
kidney,Endothelial,AMPK,Prkaa1,Igf1,7,0.0900078240732156,0.8478161749992,37,1.29,0.590564248458985,0.000119169674447836,FALSE
kidney,Endothelial,AMPK,Prkaa2,Camkk2,7,0.0842516854978241,0.857476994069421,1,0.03,,,FALSE
kidney,Endothelial,AMPK,Camkk2,Ppargc1a,7,-0.0740362187954978,0.874656398021089,0,0,,,FALSE
kidney,Endothelial,AMPK,Srebf1,Fasn,7,-0.0714759163752841,0.878968432608722,4,0.14,,,FALSE
kidney,Endothelial,AMPK,Camkk2,Sirt1,7,-0.0695694411728291,0.882180848927744,30,1.04,0.848720800889878,3.11433925255664e-09,FALSE
kidney,Endothelial,AMPK,Stk11,Srebf1,7,-0.0303148181228166,0.94855961052575,30,1.04,0.648943270300334,0.000104789879204489,FALSE
kidney,Endothelial,AMPK,Prkaa2,Sirt1,7,0.0233772821686062,0.960324336588488,0,0,,,FALSE
kidney,Endothelial,AMPK,Ppargc1a,Srebf1,7,-0.0232942068905436,0.96046525437561,2,0.07,,,FALSE
kidney,Endothelial,AMPK,Prkaa1,Irs2,7,-0.00703300868329214,0.988060688918067,2,0.07,,,FALSE
kidney,Endothelial,AMPK,Prkaa2,Igf1,7,0.0063825293598733,0.98916490232754,0,0,,,FALSE
kidney,Endothelial,AMPK,Srebf1,Ccnd1,7,-0.00183795787340556,0.996879791075542,65,2.26,0.461762038511378,0.00010801832862553,FALSE
kidney,Endothelial,AMPK,Prkaa1,Fbp1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Prkaa2,Fbp1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Stk11,Fbp1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Camkk2,Fbp1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Sirt1,Fbp1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Ppargc1a,Fbp1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Foxo1,Fbp1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Irs2,Fbp1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Igf1,Fbp1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Fbp1,Srebf1,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Fbp1,Fasn,7,,,0,0,,,FALSE
kidney,Endothelial,AMPK,Fbp1,Ccnd1,7,,,0,0,,,FALSE
kidney,Endothelial,p53,Ccnd1,Phlda3,7,0.966184408745905,0.000396582103981174,169,5.88,0.273791876207027,0.0003158352553665,TRUE
kidney,Endothelial,p53,Cdkn1a,Phlda3,7,0.921037677619108,0.00322389275751353,188,6.54,0.233359716202823,0.00126880725940421,TRUE
kidney,Endothelial,p53,Ccnd1,Bax,7,0.915340347713008,0.00382523798635363,481,16.73,0.264054152866179,4.08324892013017e-09,TRUE
kidney,Endothelial,p53,Zmat3,Phlda3,7,0.897382407622933,0.00612640987949072,29,1.01,0.486699507389163,0.00742072528851845,TRUE
kidney,Endothelial,p53,Bax,Phlda3,7,0.864912517305372,0.0119623396758622,210,7.3,0.445866176167696,1.18701650814176e-11,TRUE
kidney,Endothelial,p53,Ccnd1,Zmat3,7,0.861256013495926,0.0127620802640677,67,2.33,0.266843591317368,0.0290467290778324,TRUE
kidney,Endothelial,p53,Mdm2,Zmat3,7,0.845614532264443,0.0165223524208165,20,0.7,0.778947368421053,5.19427758421161e-05,FALSE
kidney,Endothelial,p53,Cdkn1a,Zmat3,7,0.833207663707302,0.0199041042141472,57,1.98,0.165283899403682,0.219187382309484,TRUE
kidney,Endothelial,p53,Cdkn1a,Ccnd1,7,0.82136269731866,0.0234695578706444,318,11.06,0.208179362565218,0.00018490488265299,TRUE
kidney,Endothelial,p53,Mdm2,Cdkn1a,7,0.797897406849142,0.031525854415307,125,4.35,0.151604152393709,0.0914635433931041,FALSE
kidney,Endothelial,p53,Cdkn1a,Bax,7,0.726150108503818,0.0646184309210594,420,14.61,0.341342038390603,6.39849180513867e-13,TRUE
kidney,Endothelial,p53,Serpine1,Igf1,7,-0.713117565032582,0.0720250809983006,26,0.9,0.13025641025641,0.525933372665423,FALSE
kidney,Endothelial,p53,Mdm2,Phlda3,7,0.665131845982892,0.103021400244105,52,1.81,0.525837228780854,6.24649454263347e-05,FALSE
kidney,Endothelial,p53,Trp53,Mdm2,7,-0.630228443680059,0.129227360861603,72,2.5,0.647919480352434,7.64835801610692e-10,FALSE
kidney,Endothelial,p53,Bax,Zmat3,7,0.606107806995448,0.149114021211249,67,2.33,0.41403942852582,0.000495848847505036,TRUE
kidney,Endothelial,p53,Mdm2,Ccnd1,7,0.578838611807702,0.17331511930106,116,4.03,0.620103871540659,1.1458008904004e-13,FALSE
kidney,Endothelial,p53,Cdkn1a,Serpine1,7,0.511515111526015,0.240619718697542,84,2.92,0.0880129999656917,0.425966750643262,FALSE
kidney,Endothelial,p53,Bax,Serpine1,7,0.491859736500534,0.262218720331469,88,3.06,0.332041844246416,0.00157514673593188,FALSE
kidney,Endothelial,p53,Zmat3,Igf1,7,0.420203447775091,0.347914693364929,24,0.83,0.512173913043478,0.0105064321190337,FALSE
kidney,Endothelial,p53,Trp53,Cdkn1a,7,-0.392665219689708,0.383570284381712,169,5.88,0.0933607147341191,0.227308767088714,FALSE
kidney,Endothelial,p53,Trp53,Zmat3,7,-0.370888394987098,0.412757536153422,27,0.94,0.702686202686203,4.37514309723639e-05,FALSE
kidney,Endothelial,p53,Phlda3,Serpine1,7,0.360330111970219,0.427210641975295,31,1.08,0.518145161290323,0.00282808086445818,FALSE
kidney,Endothelial,p53,Ccnd1,Serpine1,7,0.341516007808622,0.453434932961561,79,2.75,0.223471846945641,0.0477355539027663,FALSE
kidney,Endothelial,p53,Mdm2,Serpine1,7,0.298180234720767,0.51599389984795,25,0.87,0.180769230769231,0.387187732465351,FALSE
kidney,Endothelial,p53,Mdm2,Bax,7,0.295510482860762,0.519940543629505,149,5.18,0.518858187663084,1.21198728302429e-11,FALSE
kidney,Endothelial,p53,Trp53,Bax,7,0.225698867628801,0.626525711995609,248,8.63,0.396889844258164,8.75351093210793e-11,FALSE
kidney,Endothelial,p53,Ccnd1,Igf1,7,0.209035018345394,0.652833157841878,131,4.56,0.187193722308226,0.032277353837843,FALSE
kidney,Endothelial,p53,Phlda3,Igf1,7,0.175808039670576,0.706130023933466,40,1.39,0.275422138836773,0.0854084773305291,FALSE
kidney,Endothelial,p53,Zmat3,Serpine1,7,0.166635261042899,0.721022312334529,8,0.28,,,FALSE
kidney,Endothelial,p53,Trp53,Phlda3,7,-0.13409893208956,0.774387940695494,82,2.85,0.572268175881585,1.94573858926221e-08,FALSE
kidney,Endothelial,p53,Mdm2,Igf1,7,0.131091090390433,0.779360136010986,46,1.6,0.302497687326549,0.0410204830261015,FALSE
kidney,Endothelial,p53,Trp53,Serpine1,7,-0.0885204248921924,0.850311141622683,46,1.6,0.360098674067222,0.0139642444715836,FALSE
kidney,Endothelial,p53,Cdkn1a,Igf1,7,-0.0838034019311755,0.858229978090791,67,2.33,-0.314230984116849,0.00960756853519893,FALSE
kidney,Endothelial,p53,Bax,Igf1,7,-0.0825191386673822,0.860387632752836,160,5.57,0.136419602526418,0.0854128474367601,FALSE
kidney,Endothelial,p53,Trp53,Igf1,7,0.0477148759279392,0.91908888977058,64,2.23,0.480952380952381,5.7523594041198e-05,FALSE
kidney,Endothelial,p53,Trp53,Ccnd1,7,0.0426962404400744,0.927582660427474,217,7.55,0.220356703404537,0.00108476183157033,FALSE
