tissue,cell_type,axis,gene1,gene2,n_mice,pseudobulk_r,pseudobulk_p,cells_coexpressing,pct_coexpressing,cell_rho,cell_p,both_concordant
liver,Cholangiocyte,AMPK,Foxo1,Srebf1,7,0.256051965495483,0.579421048433912,26,4.09,0.690940170940171,9.31413109786824e-05,FALSE
liver,Cholangiocyte,AMPK,Stk11,Camkk2,7,-0.252837529178482,0.584356764639171,22,3.46,0.690570299265951,0.000374218816497912,FALSE
liver,Cholangiocyte,AMPK,Igf1,Srebf1,7,0.250796419154022,0.587497548687572,61,9.59,0.586620835536753,6.75904146885958e-07,FALSE
liver,Cholangiocyte,AMPK,Irs2,Fasn,7,0.243434872456387,0.598867732794252,19,2.99,0.164912280701754,0.49988058994796,FALSE
liver,Cholangiocyte,AMPK,Ppargc1a,Ccnd1,7,-0.229723850019619,0.620217215807797,88,13.84,-0.138406537282942,0.198441901596205,TRUE
liver,Cholangiocyte,AMPK,Prkaa2,Fbp1,7,0.218001502719561,0.638640323433101,5,0.79,,,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Camkk2,7,-0.189732251852948,0.683666605794414,4,0.63,,,FALSE
liver,Cholangiocyte,AMPK,Srebf1,Ccnd1,7,-0.156403657234935,0.737716531407949,109,17.14,0.187804652024836,0.050515733634431,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Ccnd1,7,0.156243418882304,0.737978650269892,48,7.55,0.101606600086843,0.491971268029678,FALSE
liver,Cholangiocyte,AMPK,Camkk2,Srebf1,7,0.153188863943442,0.742979145398997,13,2.04,0.703296703296703,0.00731856984210432,FALSE
liver,Cholangiocyte,AMPK,Prkaa2,Irs2,7,-0.14901175053681,0.749828954910227,23,3.62,0.517786561264822,0.0113843413553999,FALSE
liver,Cholangiocyte,AMPK,Ppargc1a,Igf1,7,-0.123595637207424,0.791776462231858,54,8.49,0.619134743663046,6.01667728429689e-07,FALSE
liver,Cholangiocyte,AMPK,Camkk2,Igf1,7,0.0873504186802006,0.852274411522533,19,2.99,0.478947368421053,0.0380171376997969,FALSE
liver,Cholangiocyte,AMPK,Igf1,Fbp1,7,0.0860097321515104,0.854524828304274,14,2.2,0.248351648351648,0.391919538938457,FALSE
liver,Cholangiocyte,AMPK,Sirt1,Fasn,7,-0.0756952801578334,0.871863535029216,28,4.4,0.631636562671045,0.000312266635405391,FALSE
liver,Cholangiocyte,AMPK,Stk11,Irs2,7,-0.0670988358496026,0.886345732157398,40,6.29,0.224202626641651,0.164287142095876,FALSE
liver,Cholangiocyte,AMPK,Ppargc1a,Foxo1,7,-0.066815698839368,0.88682317164282,23,3.62,0.49604743083004,0.0160700805749784,FALSE
liver,Cholangiocyte,AMPK,Sirt1,Fbp1,7,0.0458223177571232,0.92229125924795,4,0.63,,,FALSE
liver,Cholangiocyte,AMPK,Srebf1,Fasn,7,-0.0441707723529525,0.925086498079841,31,4.87,0.606451612903226,0.000298678931517246,FALSE
liver,Cholangiocyte,AMPK,Sirt1,Foxo1,7,0.0436401305869534,0.925984739920373,23,3.62,0.625494071146245,0.00141347916546594,FALSE
liver,Cholangiocyte,AMPK,Prkaa1,Foxo1,7,0.0359350114651452,0.93903421093755,10,1.57,0.187878787878788,0.603217610029209,FALSE
liver,Cholangiocyte,AMPK,Camkk2,Irs2,7,-0.0304340341122229,0.948357503197663,12,1.89,0.223776223776224,0.484451661455399,FALSE
liver,Cholangiocyte,AMPK,Fasn,Ccnd1,7,0.0211349106954973,0.964128274161133,111,17.45,0.101930501930502,0.287091691605489,FALSE
liver,HSC_Fibroblast,AMPK,Camkk2,Sirt1,7,-0.845115576086714,0.0166514732298463,42,2.08,0.529859816870594,0.000307735131490962,FALSE
liver,HSC_Fibroblast,AMPK,Igf1,Fbp1,7,0.778775422343351,0.0390864940610415,1,0.05,,,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa2,Ppargc1a,7,-0.777293597098124,0.0397102065962012,0,0,,,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa1,Stk11,7,-0.759598855914116,0.0475820601909368,26,1.28,0.730598290598291,2.25522337264928e-05,FALSE
liver,HSC_Fibroblast,AMPK,Foxo1,Irs2,7,0.744274308449071,0.0550356760010748,175,8.65,0.319405865882071,1.64391392416284e-05,FALSE
liver,HSC_Fibroblast,AMPK,Igf1,Ccnd1,7,-0.69377357591208,0.0838158760800918,168,8.3,0.411976554076969,2.88370702756479e-08,FALSE
liver,HSC_Fibroblast,AMPK,Sirt1,Fbp1,7,-0.683148583128086,0.0906973488237342,1,0.05,,,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa2,Sirt1,7,0.643151664516696,0.119167768917981,5,0.25,,,FALSE
liver,HSC_Fibroblast,AMPK,Irs2,Igf1,7,0.638743631590623,0.122552092620323,294,14.53,0.255634089724024,9.05857289790746e-06,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa2,Fasn,7,0.596535608564496,0.157403151009578,8,0.4,,,FALSE
liver,HSC_Fibroblast,AMPK,Ppargc1a,Igf1,7,-0.594196964169671,0.159462341624381,3,0.15,,,FALSE
liver,HSC_Fibroblast,AMPK,Stk11,Camkk2,7,0.586526200366935,0.166309809753257,45,2.22,0.730698287220026,1.20997417146028e-08,FALSE
liver,HSC_Fibroblast,AMPK,Irs2,Fbp1,7,0.579363851313727,0.172831962976174,2,0.1,,,FALSE
liver,HSC_Fibroblast,AMPK,Irs2,Fasn,7,-0.569430871073215,0.182081124567378,82,4.05,0.322777956154343,0.00310038780951497,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa1,Srebf1,7,-0.549943798973421,0.200907954818808,8,0.4,,,FALSE
liver,HSC_Fibroblast,AMPK,Sirt1,Srebf1,7,0.541948635562717,0.208890214899405,37,1.83,0.589615931721195,0.000122977316319598,FALSE
liver,HSC_Fibroblast,AMPK,Camkk2,Ccnd1,7,0.535285342421653,0.215656089603584,61,3.01,0.592702273929138,4.84071492603369e-07,FALSE
liver,HSC_Fibroblast,AMPK,Fbp1,Srebf1,7,-0.468238348612261,0.289288481627034,0,0,,,FALSE
liver,HSC_Fibroblast,AMPK,Stk11,Srebf1,7,0.464561744117476,0.293608618088558,37,1.83,0.485775248933144,0.00230415002824652,FALSE
liver,HSC_Fibroblast,AMPK,Fbp1,Ccnd1,7,-0.457336869379814,0.302180450727178,1,0.05,,,FALSE
liver,HSC_Fibroblast,AMPK,Irs2,Ccnd1,7,-0.455499208801256,0.304378010070565,183,9.04,0.322485960226516,8.50166570408482e-06,FALSE
liver,HSC_Fibroblast,AMPK,Fbp1,Fasn,7,-0.454743881314233,0.305283289133082,0,0,,,FALSE
liver,HSC_Fibroblast,AMPK,Fasn,Ccnd1,7,0.447456419277881,0.314077729617029,48,2.37,0.616369952236214,3.09786631340955e-06,FALSE
liver,HSC_Fibroblast,AMPK,Foxo1,Igf1,7,0.446410313991595,0.315349073919409,168,8.3,0.273081651415093,0.000341713675486448,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa2,Camkk2,7,-0.424274757736,0.342766399765043,3,0.15,,,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa1,Fasn,7,0.401152129987574,0.372429357146372,10,0.49,0.842424242424242,0.00222003122591684,FALSE
liver,HSC_Fibroblast,AMPK,Stk11,Igf1,7,-0.396212023033867,0.378898081827177,153,7.56,0.306714569440562,0.000115210391623232,FALSE
liver,HSC_Fibroblast,AMPK,Camkk2,Fbp1,7,0.3811742469596,0.398865362550324,1,0.05,,,FALSE
liver,HSC_Fibroblast,AMPK,Sirt1,Fasn,7,0.380059047150139,0.400362461231602,39,1.93,0.69412955465587,9.55301741779246e-07,FALSE
liver,HSC_Fibroblast,AMPK,Camkk2,Foxo1,7,-0.371275372283167,0.412231493960819,50,2.47,0.499255702280912,0.00022355128000494,FALSE
liver,HSC_Fibroblast,AMPK,Camkk2,Srebf1,7,-0.370461609849022,0.413337996218344,28,1.38,0.610290093048714,0.000563536883158301,FALSE
liver,HSC_Fibroblast,AMPK,Stk11,Foxo1,7,-0.364675425356294,0.421239017329957,93,4.59,0.539088203039323,2.47696690077722e-08,FALSE
liver,HSC_Fibroblast,AMPK,Irs2,Srebf1,7,-0.361724456963047,0.425290900658924,73,3.61,0.206528446254474,0.0795887392129496,FALSE
liver,HSC_Fibroblast,AMPK,Foxo1,Srebf1,7,-0.360434437794948,0.427066890316806,38,1.88,0.547434073749863,0.00037506935780862,FALSE
liver,HSC_Fibroblast,AMPK,Ppargc1a,Ccnd1,7,0.333677939570149,0.464532454423595,1,0.05,,,FALSE
liver,HSC_Fibroblast,AMPK,Camkk2,Ppargc1a,7,0.328803421270743,0.471483800835018,1,0.05,,,FALSE
liver,HSC_Fibroblast,AMPK,Srebf1,Ccnd1,7,-0.325887722521349,0.475659748692048,54,2.67,0.389365351629503,0.00361327755040678,FALSE
liver,HSC_Fibroblast,AMPK,Ppargc1a,Fasn,7,-0.31995087777298,0.484203790015076,1,0.05,,,FALSE
liver,HSC_Fibroblast,AMPK,Sirt1,Foxo1,7,0.319347502845772,0.485075201335632,89,4.4,0.460139854191494,5.71256891041768e-06,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa2,Foxo1,7,0.317957403569924,0.487084956411679,14,0.69,0.705494505494506,0.00481955797904852,FALSE
liver,HSC_Fibroblast,AMPK,Igf1,Srebf1,7,-0.31029463908893,0.498216443720836,65,3.21,0.21958041958042,0.078835626015606,FALSE
liver,HSC_Fibroblast,AMPK,Sirt1,Ppargc1a,7,-0.293032191195351,0.523613329221237,1,0.05,,,FALSE
liver,HSC_Fibroblast,AMPK,Stk11,Ccnd1,7,0.286648905433914,0.533113442735107,115,5.68,0.403819939675566,7.63060672852569e-06,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa2,Igf1,7,0.281377125662256,0.541002342679009,17,0.84,0.166666666666667,0.522603153588037,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa1,Ppargc1a,7,0.268137170077521,0.560982196207347,0,0,,,FALSE
liver,HSC_Fibroblast,AMPK,Ppargc1a,Foxo1,7,-0.261424704448255,0.571200448076252,0,0,,,FALSE
liver,HSC_Fibroblast,AMPK,Stk11,Fasn,7,-0.261019517324419,0.571819123236415,50,2.47,0.746362545018007,4.91805147691092e-10,FALSE
liver,HSC_Fibroblast,AMPK,Igf1,Fasn,7,-0.258028096054849,0.576393186538393,81,4,0.375736087043517,0.000546952552904403,FALSE
liver,HSC_Fibroblast,AMPK,Prkaa2,Srebf1,7,0.239439545492103,0.605066063721379,2,0.1,,,FALSE
liver,HSC_Fibroblast,AMPK,Sirt1,Ccnd1,7,-0.227426603917859,0.623815530117156,91,4.5,0.310989010989011,0.00269616211401328,FALSE
