pathway,rel_type,subtype,edge_sign,gene1,lfc1,p1,fdr1,gene2,lfc2,p2,fdr2,coherent,both_FDR,in_intersect,in_pheno,worst_p
hsa04068,PPrel,activation;phosphorylation,1,MAPK8,-0.219103231894202,0.0122692600501608,0.110731833004267,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,TRUE,FALSE,0,2,0.0236771002828433
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,CCND1,0.8031084765255,0.00074921048132828,0.0578425746384107,FALSE,FALSE,1,2,0.0236771002828433
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,CDKN2B,0.315251410729242,0.00991383917752031,0.102938840098242,FALSE,FALSE,0,1,0.0236771002828433
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,CDKN1A,0.960105171790021,5.29391439571774e-06,0.0158446857863832,FALSE,FALSE,0,1,0.0236771002828433
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,RBL2,-0.438055560325673,0.000424763686376901,0.0513663722555985,TRUE,FALSE,0,1,0.0236771002828433
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,BCL2L11,0.191479039012409,0.0208774710315908,0.13292550699405,FALSE,FALSE,0,1,0.0236771002828433
hsa04068,PPrel,activation,1,STAT3,0.388066346775698,0.004956499558627,0.0869703643891037,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,FALSE,FALSE,0,2,0.0236771002828433
hsa04068,PPrel,activation;methylation,1,PRMT1,0.438799229897478,0.000643799229211169,0.0542786223388459,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,FALSE,FALSE,0,1,0.0236771002828433
hsa04068,PPrel,inhibition,-1,USP7,0.2911851878275,0.00425064390904627,0.0842591919238574,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,TRUE,FALSE,0,1,0.0236771002828433
hsa04068,PPrel,activation,1,IRS1,-0.3554897344882,0.00226335322613427,0.0728410344711814,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,0,2,0.025007761246042
hsa04068,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,1,2,0.025007761246042
hsa04068,PPrel,activation;phosphorylation,1,PDPK1,0.153466221786299,0.018028233353959,0.12592415969288,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,TRUE,FALSE,0,2,0.0322680307039496
hsa04068,PPrel,inhibition;phosphorylation,-1,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,TRUE,FALSE,0,2,0.0322680307039496
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,GADD45A,0.296316578021205,0.0330372618442218,0.161964194678644,FALSE,FALSE,0,1,0.0330372618442218
hsa04068,PPrel,activation,1,SOS1,-0.183245348489432,0.0388948218928561,0.172866706501494,HRAS,0.236375195318022,0.0186148363045659,0.127141536662267,FALSE,FALSE,0,2,0.0388948218928561
hsa04068,PPrel,activation,1,SOS1,-0.183245348489432,0.0388948218928561,0.172866706501494,KRAS,-0.248737657296002,0.0173365303927831,0.124321581462778,TRUE,FALSE,0,2,0.0388948218928561
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,PLK3,0.176239528686015,0.0389858249324472,0.172900524287687,FALSE,FALSE,0,1,0.0389858249324472
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,CDKN1B,-0.293884690967838,0.0415731612082708,0.178264285811396,TRUE,FALSE,0,2,0.0415731612082708
hsa04068,PPrel,activation,1,IRS1,-0.3554897344882,0.00226335322613427,0.0728410344711814,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,0,2,0.0479971366369964
hsa04068,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,1,2,0.0479971366369964
hsa04068,GErel,expression,1,FOXO3,-0.258505148092882,0.0236771002828433,0.138569997318525,KLF2,0.219807606878075,0.0484805528099388,0.190204464766282,FALSE,FALSE,0,1,0.0484805528099388
hsa04071,PPrel,inhibition;dephosphorylation,-1,PPP2R3B,0.276953635505095,0.00063525508853722,0.0539381129075716,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,FALSE,FALSE,0,1,0.00343401055010987
hsa04071,PPrel,inhibition;dephosphorylation,-1,PPP2R1A,0.348763030574157,0.00116430586290843,0.0636171358842145,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,FALSE,FALSE,0,1,0.00343401055010987
hsa04071,PPrel,inhibition,-1,MAPK13,-0.192163523711123,0.00400805854631353,0.0825894611298892,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,TRUE,FALSE,0,2,0.00400805854631353
hsa04071,PPrel,activation,1,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,0,1,0.00604856153799963
hsa04071,PPrel,activation,1,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,RAC2,0.416226544502855,0.00131421839250051,0.0642357513285687,TRUE,FALSE,0,1,0.00604856153799963
hsa04071,PPrel,activation,1,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,RAC3,0.296277626643266,0.00259725256489118,0.0745214814612773,TRUE,FALSE,0,1,0.00604856153799963
hsa04071,PPrel,inhibition,-1,PRKCZ,0.262251059755017,0.00694558784935386,0.0959757859890401,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,FALSE,FALSE,0,2,0.00694558784935386
hsa04071,PPrel,inhibition;dephosphorylation,-1,PPP2R5A,-0.262441936043039,0.00882731769154429,0.100936625982014,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,TRUE,FALSE,0,1,0.00882731769154429
hsa04071,PPrel,activation,1,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,PLCB3,0.220882517229287,0.0128324083634766,0.11197248231415,FALSE,FALSE,0,1,0.0128324083634766
hsa04071,PPrel,activation;indirect effect,1,PLCB3,0.220882517229287,0.0128324083634766,0.11197248231415,PRKCE,0.547566417668494,0.0132187992668058,0.112424259087139,TRUE,FALSE,0,2,0.0132187992668058
hsa04071,PPrel,activation;indirect effect,1,MAPK8,-0.219103231894202,0.0122692600501608,0.110731833004267,BAX,0.341780465352488,0.0136443501184127,0.113739722456912,FALSE,FALSE,0,2,0.0136443501184127
hsa04071,PPrel,activation;indirect effect,1,MAPK13,-0.192163523711123,0.00400805854631353,0.0825894611298892,BAX,0.341780465352488,0.0136443501184127,0.113739722456912,FALSE,FALSE,0,2,0.0136443501184127
hsa04071,PPrel,activation,1,S1PR2,0.159602970058,0.0149516695280897,0.116832864179081,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,FALSE,FALSE,0,0,0.0149516695280897
hsa04071,PPrel,activation,1,S1PR2,0.159602970058,0.0149516695280897,0.116832864179081,GNA12,0.295009263531505,0.000596689041783474,0.0534519239610942,TRUE,FALSE,0,0,0.0149516695280897
hsa04071,PPrel,activation;phosphorylation,1,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,NOS3,0.287450538090903,0.0150267246293483,0.117122361499061,TRUE,FALSE,0,2,0.0150267246293483
hsa04071,PPrel,activation,1,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,KRAS,-0.248737657296002,0.0173365303927831,0.124321581462778,TRUE,FALSE,0,1,0.0173365303927831
hsa04071,PPrel,activation,1,PDPK1,0.153466221786299,0.018028233353959,0.12592415969288,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,TRUE,FALSE,0,2,0.018028233353959
hsa04071,PPrel,activation,1,S1PR5,0.161866772152355,0.0183205601123466,0.126455886863522,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,FALSE,FALSE,0,0,0.0183205601123466
hsa04071,PPrel,activation,1,S1PR5,0.161866772152355,0.0183205601123466,0.126455886863522,GNA12,0.295009263531505,0.000596689041783474,0.0534519239610942,TRUE,FALSE,0,0,0.0183205601123466
hsa04071,PPrel,activation,1,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,HRAS,0.236375195318022,0.0186148363045659,0.127141536662267,FALSE,FALSE,0,1,0.0186148363045659
hsa04071,PPrel,activation,1,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,PLCB1,-0.272842529245825,0.0241401734901125,0.139290247145778,TRUE,FALSE,0,1,0.0241401734901125
hsa04071,PPrel,activation;indirect effect,1,PLCB1,-0.272842529245825,0.0241401734901125,0.139290247145778,PRKCE,0.547566417668494,0.0132187992668058,0.112424259087139,FALSE,FALSE,0,2,0.0241401734901125
hsa04071,PPrel,activation,1,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,0,1,0.025007761246042
hsa04071,PPrel,activation,1,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,RAC2,0.416226544502855,0.00131421839250051,0.0642357513285687,FALSE,FALSE,0,1,0.025007761246042
hsa04071,PPrel,activation,1,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,RAC3,0.296277626643266,0.00259725256489118,0.0745214814612773,FALSE,FALSE,0,1,0.025007761246042
hsa04071,PPrel,activation,1,GNA12,0.295009263531505,0.000596689041783474,0.0534519239610942,RHOA,0.269478570747899,0.0274377599111723,0.148336760934694,TRUE,FALSE,0,0,0.0274377599111723
hsa04071,PPrel,activation,1,RHOA,0.269478570747899,0.0274377599111723,0.148336760934694,ROCK1,-0.382239747732372,0.0182519715951825,0.126405072232454,FALSE,FALSE,0,0,0.0274377599111723
hsa04071,PPrel,activation,1,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,PLCB1,-0.272842529245825,0.0241401734901125,0.139290247145778,FALSE,FALSE,0,1,0.0275013494997748
hsa04071,PPrel,activation,1,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,PLCB3,0.220882517229287,0.0128324083634766,0.11197248231415,TRUE,FALSE,0,1,0.0275013494997748
hsa04071,PPrel,activation,1,S1PR2,0.159602970058,0.0149516695280897,0.116832864179081,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,TRUE,FALSE,0,0,0.0275013494997748
hsa04071,PPrel,activation,1,S1PR5,0.161866772152355,0.0183205601123466,0.126455886863522,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,TRUE,FALSE,0,0,0.0275013494997748
hsa04071,PPrel,activation,1,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,HRAS,0.236375195318022,0.0186148363045659,0.127141536662267,TRUE,FALSE,0,1,0.0275013494997748
hsa04071,PPrel,activation,1,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,KRAS,-0.248737657296002,0.0173365303927831,0.124321581462778,FALSE,FALSE,0,1,0.0275013494997748
hsa04071,PPrel,activation,1,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,FALSE,FALSE,0,1,0.0275013494997748
hsa04071,PPrel,activation,1,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,TRUE,FALSE,0,1,0.0275013494997748
hsa04071,PPrel,activation,1,TNFRSF1A,0.297436592284587,0.0232747228326003,0.137628242926823,TRADD,0.189809978666953,0.0276263780373396,0.14884923396176,TRUE,FALSE,0,1,0.0276263780373396
hsa04071,PPrel,activation,1,TRADD,0.189809978666953,0.0276263780373396,0.14884923396176,TRAF2,0.228306444374609,0.0149931872201866,0.117013322946593,TRUE,FALSE,0,0,0.0276263780373396
hsa04071,PPrel,inhibition;dephosphorylation,-1,PPP2R5B,0.137412769860998,0.0300031487878973,0.155093997102205,AKT1,0.387089573539082,0.00343401055010987,0.0789152904062191,FALSE,FALSE,0,1,0.0300031487878973
hsa04071,PPrel,activation,1,TNF,0.157059465411569,0.0301660466016043,0.155533122271493,TNFRSF1A,0.297436592284587,0.0232747228326003,0.137628242926823,TRUE,FALSE,0,2,0.0301660466016043
hsa04071,PPrel,activation,1,PDPK1,0.153466221786299,0.018028233353959,0.12592415969288,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,TRUE,FALSE,0,2,0.0322680307039496
hsa04071,PPrel,activation;phosphorylation,1,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,NOS3,0.287450538090903,0.0150267246293483,0.117122361499061,TRUE,FALSE,0,2,0.0322680307039496
hsa04071,PPrel,inhibition,-1,MAPK13,-0.192163523711123,0.00400805854631353,0.0825894611298892,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,TRUE,FALSE,0,2,0.0322680307039496
hsa04071,PPrel,inhibition,-1,PRKCZ,0.262251059755017,0.00694558784935386,0.0959757859890401,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,FALSE,FALSE,0,2,0.0322680307039496
hsa04071,PPrel,inhibition;dephosphorylation,-1,PPP2R3B,0.276953635505095,0.00063525508853722,0.0539381129075716,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,FALSE,FALSE,0,1,0.0322680307039496
hsa04071,PPrel,inhibition;dephosphorylation,-1,PPP2R1A,0.348763030574157,0.00116430586290843,0.0636171358842145,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,FALSE,FALSE,0,1,0.0322680307039496
hsa04071,PPrel,inhibition;dephosphorylation,-1,PPP2R5A,-0.262441936043039,0.00882731769154429,0.100936625982014,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,TRUE,FALSE,0,1,0.0322680307039496
hsa04071,PPrel,inhibition;dephosphorylation,-1,PPP2R5B,0.137412769860998,0.0300031487878973,0.155093997102205,AKT2,0.272775905162288,0.0322680307039496,0.159941472099098,FALSE,FALSE,0,1,0.0322680307039496
hsa04071,PPrel,activation,1,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,PLCB1,-0.272842529245825,0.0241401734901125,0.139290247145778,TRUE,FALSE,0,1,0.0372897668361851
hsa04071,PPrel,activation,1,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,PLCB3,0.220882517229287,0.0128324083634766,0.11197248231415,FALSE,FALSE,0,1,0.0372897668361851
hsa04071,PPrel,activation,1,S1PR2,0.159602970058,0.0149516695280897,0.116832864179081,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,FALSE,FALSE,0,0,0.0372897668361851
hsa04071,PPrel,activation,1,S1PR5,0.161866772152355,0.0183205601123466,0.126455886863522,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,FALSE,FALSE,0,0,0.0372897668361851
hsa04071,PPrel,activation,1,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,HRAS,0.236375195318022,0.0186148363045659,0.127141536662267,FALSE,FALSE,0,1,0.0372897668361851
hsa04071,PPrel,activation,1,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,KRAS,-0.248737657296002,0.0173365303927831,0.124321581462778,TRUE,FALSE,0,1,0.0372897668361851
hsa04071,PPrel,activation,1,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,TRUE,FALSE,0,1,0.0372897668361851
hsa04071,PPrel,activation,1,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,0,1,0.0372897668361851
hsa04071,PPrel,activation,1,OPRD1,0.143399056797693,0.0390724548556109,0.172993871868112,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,FALSE,FALSE,0,0,0.0390724548556109
hsa04071,PPrel,activation,1,OPRD1,0.143399056797693,0.0390724548556109,0.172993871868112,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,TRUE,FALSE,0,0,0.0390724548556109
hsa04071,PPrel,activation,1,OPRD1,0.143399056797693,0.0390724548556109,0.172993871868112,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,FALSE,FALSE,0,0,0.0390724548556109
hsa04071,PPrel,activation,1,RHOA,0.269478570747899,0.0274377599111723,0.148336760934694,ROCK2,-0.18488865611623,0.039973188477123,0.174975872924357,FALSE,FALSE,0,0,0.039973188477123
hsa04071,PPrel,activation,1,PIK3CA,-0.194162266153804,0.025007761246042,0.141319286744511,RAC1,-0.166148471728248,0.0444310617198828,0.182856194881553,TRUE,FALSE,0,2,0.0444310617198828
hsa04071,PPrel,activation,1,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,RAC1,-0.166148471728248,0.0444310617198828,0.182856194881553,FALSE,FALSE,0,2,0.0444310617198828
hsa04071,PPrel,activation,1,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,0,1,0.0479971366369964
hsa04071,PPrel,activation,1,GNAI2,0.196720386361129,0.0275013494997748,0.148375915372377,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,TRUE,FALSE,0,1,0.0479971366369964
hsa04071,PPrel,activation,1,GNAI3,-0.230810446287896,0.0372897668361851,0.17038910445446,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,FALSE,FALSE,0,1,0.0479971366369964
hsa04071,PPrel,activation,1,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,RAC1,-0.166148471728248,0.0444310617198828,0.182856194881553,FALSE,FALSE,0,2,0.0479971366369964
hsa04071,PPrel,activation,1,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,RAC2,0.416226544502855,0.00131421839250051,0.0642357513285687,TRUE,FALSE,0,1,0.0479971366369964
hsa04071,PPrel,activation,1,PIK3CD,0.187312414207718,0.0479971366369964,0.189473707246273,RAC3,0.296277626643266,0.00259725256489118,0.0745214814612773,TRUE,FALSE,0,1,0.0479971366369964
hsa04081,PPrel,activation,1,SSTR3,0.318782202522172,0.00154303417409644,0.0659802603220883,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,FALSE,FALSE,0,0,0.00154303417409644
hsa04081,PPrel,activation,1,IRS1,-0.3554897344882,0.00226335322613427,0.0728410344711814,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,0,2,0.00604856153799963
hsa04081,PPrel,activation,1,IRS2,-0.584420274513232,0.00290962468594569,0.0747511303436519,PIK3R2,0.268794809673499,0.00604856153799963,0.0920119170685281,FALSE,FALSE,1,2,0.00604856153799963
hsa04081,PPrel,activation,1,SSTR3,0.318782202522172,0.00154303417409644,0.0659802603220883,GNB2,0.544823748155262,0.00606214247893564,0.0921014844642354,TRUE,FALSE,0,0,0.00606214247893564
hsa04081,PPrel,activation,1,AVPR1A,0.577671789787058,0.00549355577808004,0.0898627321524589,GNB2,0.544823748155262,0.00606214247893564,0.0921014844642354,TRUE,FALSE,0,0,0.00606214247893564
hsa04081,PPrel,activation,1,VIPR2,-0.302359992185875,0.00699055173592073,0.0959757859890401,GNB2,0.544823748155262,0.00606214247893564,0.0921014844642354,FALSE,FALSE,0,0,0.00699055173592073
hsa04081,PPrel,activation,1,VIPR2,-0.302359992185875,0.00699055173592073,0.0959757859890401,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,TRUE,FALSE,0,0,0.00699055173592073
hsa04081,PPrel,activation,1,VIPR2,-0.302359992185875,0.00699055173592073,0.0959757859890401,GNA11,0.407887556574168,0.00542201552655704,0.0898627321524589,FALSE,FALSE,0,0,0.00699055173592073
hsa04081,PPrel,activation,1,AVP,0.212742808805746,0.0104980704261757,0.104719488881065,AVPR1A,0.577671789787058,0.00549355577808004,0.0898627321524589,TRUE,FALSE,0,0,0.0104980704261757
hsa04081,PPrel,activation,1,GNA11,0.407887556574168,0.00542201552655704,0.0898627321524589,PLCB3,0.220882517229287,0.0128324083634766,0.11197248231415,TRUE,FALSE,0,1,0.0128324083634766
hsa04081,PPrel,activation,1,GNB2,0.544823748155262,0.00606214247893564,0.0921014844642354,PLCB3,0.220882517229287,0.0128324083634766,0.11197248231415,TRUE,FALSE,0,1,0.0128324083634766
hsa04081,PPrel,activation,1,OPRM1,-0.277544603703857,0.0141636575458032,0.114564820695156,GNA11,0.407887556574168,0.00542201552655704,0.0898627321524589,FALSE,FALSE,0,0,0.0141636575458032
hsa04081,PPrel,activation,1,OPRM1,-0.277544603703857,0.0141636575458032,0.114564820695156,GNB2,0.544823748155262,0.00606214247893564,0.0921014844642354,FALSE,FALSE,0,0,0.0141636575458032
hsa04081,PPrel,activation,1,OPRM1,-0.277544603703857,0.0141636575458032,0.114564820695156,GNAI1,-0.32694715903727,0.000598275794419197,0.0534519239610942,TRUE,FALSE,0,0,0.0141636575458032
