Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Up,GO:0046463,acylglycerol biosynthetic process,4/93,27/11209,0.148148148148148,17.8558343289526,8.02054091373126,6.73379478092736e-05,0.00538962574581147,0.000384372697565871,DGAT1/PNPLA3/AGPAT2/LDLR,4
Up,GO:0055088,lipid homeostasis,7/93,124/11209,0.0564516129032258,6.8039368713146,5.94424827253395,7.37298035790916e-05,0.00568265634252184,0.000405270801857144,DGAT1/APOE/PNPLA3/ANGPTL8/LDLR/CEBPA/ABCB4,7
Up,GO:0009437,carnitine metabolic process,3/93,11/11209,0.272727272727273,32.8709677419355,9.67280935344194,8.6945097372756e-05,0.00646188384402519,0.000460843079209263,CPT2/SHMT1/POR,3
Up,GO:0006720,isoprenoid metabolic process,6/93,89/11209,0.0674157303370787,8.12540775643349,6.17281978927966,9.26387992324421e-05,0.00664763245526593,0.000474090139049587,DGAT1/APOE/MVD/RDH16/LDLR/DHRS3,6
Up,GO:0044283,small molecule biosynthetic process,13/93,465/11209,0.0279569892473118,3.36956873627009,4.773578339317,0.000113902237221075,0.00773530367596249,0.000551659740517519,APOE/DHCR7/SHMT1/FBP1/ENO3/SREBF2/LPCAT3/MVD/TM7SF2/SQLE/ALDH18A1/AVPR1A/FASN,13
Up,GO:0006000,fructose metabolic process,3/93,12/11209,0.25,30.1317204301075,9.23500603891992,0.000115230376720249,0.00773530367596249,0.000551659740517519,FBP1/KHK/TKFC,3
Up,GO:0001523,retinoid metabolic process,5/93,61/11209,0.0819672131147541,9.87925260003525,6.36024895045181,0.000145466445048913,0.00938971717657112,0.000669647780895375,DGAT1/APOE/RDH16/LDLR/DHRS3,5
Up,GO:0006577,amino-acid betaine metabolic process,3/93,13/11209,0.230769230769231,27.8138957816377,8.84772090525142,0.000148899887951392,0.00938971717657112,0.000669647780895375,CPT2/SHMT1/POR,3
Up,GO:0016101,diterpenoid metabolic process,5/93,65/11209,0.0769230769230769,9.27129859387924,6.11703678452379,0.000196767852061343,0.0120433500041075,0.000858897286589196,DGAT1/APOE/RDH16/LDLR/DHRS3,5
Up,GO:0090181,regulation of cholesterol metabolic process,4/93,37/11209,0.108108108108108,13.0299331589654,6.70393630250857,0.000237842656098088,0.0141414447811463,0.00100852740697854,APOE/SREBF2/LPCAT3/LDLR,4
Up,GO:0033489,cholesterol biosynthetic process via desmosterol,3/93,18/11209,0.166666666666667,20.0878136200717,7.41291903625061,0.000412241864594555,0.0238298700061464,0.00169947819178814,DHCR7/MVD/SQLE,3
Up,GO:0019218,regulation of steroid metabolic process,5/93,79/11209,0.0632911392405063,7.62828365319178,5.40752225327522,0.000490100535638413,0.0273270966297129,0.00194889039491637,APOE/SREBF2/LPCAT3/LDLR/POR,5
Up,GO:1901654,response to ketone,7/93,169/11209,0.0414201183431953,4.99223770439651,4.78306710532779,0.000499005128269625,0.0273270966297129,0.00194889039491637,GAS6/SPP1/FBP1/AVPR1A/ABCB4/CCND1/POR,7
Up,GO:0046486,glycerolipid metabolic process,9/93,284/11209,0.0316901408450704,3.81951385733757,4.40203961915654,0.000566706946652079,0.0302389014354609,0.00215655198790183,DGAT1/APOE/PNPLA3/FABP4/PLA2G2A/LPCAT3/AGPAT2/LDLR/PLIN1,9
Up,GO:0046889,positive regulation of lipid biosynthetic process,5/93,82/11209,0.0609756097560976,7.34920010490427,5.27798514173514,0.000581878591584863,0.0302722337272025,0.00215892915164139,APOE/SREBF2/LDLR/AVPR1A/POR,5
Up,GO:0071827,plasma lipoprotein particle organization,4/93,47/11209,0.0851063829787234,10.2576069549302,5.81711868239356,0.000602953731141805,0.0306035784025877,0.00218255970647182,DGAT1/APOE/PLA2G2A/LPCAT3,4
Up,GO:0015909,long-chain fatty acid transport,4/93,48/11209,0.0833333333333333,10.0439068100358,5.7432326547645,0.000653624339308338,0.0312107304285715,0.00222586005292748,APOE/CPT2/FABP4/PLA2G2A,4
Up,GO:0071825,protein-lipid complex organization,4/93,48/11209,0.0833333333333333,10.0439068100358,5.7432326547645,0.000653624339308338,0.0312107304285715,0.00222586005292748,DGAT1/APOE/PLA2G2A/LPCAT3,4
Up,GO:0034377,plasma lipoprotein particle assembly,3/93,21/11209,0.142857142857143,17.2181259600614,6.80401643505474,0.00065990972554404,0.0312107304285715,0.00222586005292748,DGAT1/APOE/LPCAT3,3
Up,GO:0015908,fatty acid transport,5/93,85/11209,0.0588235294117647,7.08981657179001,5.1548312277878,0.00068600052985905,0.0314688803905609,0.0022442705700851,APOE/CPT2/FABP4/PLA2G2A/SLC22A7,5
Up,GO:0015718,monocarboxylic acid transport,6/93,129/11209,0.0465116279069768,5.60590147536884,4.81250157966697,0.00069561196442374,0.0314688803905609,0.0022442705700851,APOE/CPT2/FABP4/PLA2G2A/SLC22A7/ABCB4,6
Up,GO:0065005,protein-lipid complex assembly,3/93,22/11209,0.136363636363636,16.4354838709677,6.62835920924294,0.000759531405939232,0.0336294650161605,0.00239835728779577,DGAT1/APOE/LPCAT3,3
Up,GO:0007584,response to nutrient,6/93,134/11209,0.0447761194029851,5.39672604718344,4.68318381718694,0.000849243189375492,0.0368182307727166,0.0026257709438749,GAS6/SPP1/GPX1/CCND1/POR/FASN,6
Up,GO:1902042,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,3/93,23/11209,0.130434782608696,15.7208976157083,6.46386189797592,0.000868233646582838,0.0368733513987528,0.00262970198931669,GPX1/HMOX1/SERPINE1,3
Up,GO:0019216,regulation of lipid metabolic process,8/93,244/11209,0.0327868852459016,3.9517010400141,4.26377451887351,0.000930523481110657,0.0387283872838255,0.00276199784451239,APOE/ANGPTL8/SREBF2/LPCAT3/LDLR/PLIN1/AVPR1A/POR,8
Up,GO:0045540,regulation of cholesterol biosynthetic process,3/93,24/11209,0.125,15.0658602150538,6.30935828581678,0.000986330593575134,0.0394721916390356,0.00281504384435673,APOE/SREBF2/LPCAT3,3
Up,GO:0106118,regulation of sterol biosynthetic process,3/93,24/11209,0.125,15.0658602150538,6.30935828581678,0.000986330593575134,0.0394721916390356,0.00281504384435673,APOE/SREBF2/LPCAT3,3
Up,GO:0046503,glycerolipid catabolic process,4/93,54/11209,0.0740740740740741,8.92791716447631,5.34136753829256,0.00102284154377114,0.0401610047658066,0.0028641680270259,PNPLA3/FABP4/LDLR/PLIN1,4
Up,GO:0042157,lipoprotein metabolic process,4/93,55/11209,0.0727272727272727,8.76559139784946,5.2804608440815,0.00109612654481234,0.0422414692547127,0.00301254080567613,APOE/ANGPTL8/APOL3/CTSD,4
Up,GO:0032368,regulation of lipid transport,5/93,96/11209,0.0520833333333333,6.2774417562724,4.7497929078079,0.00119016538300028,0.0450315302186107,0.00321151997596455,APOE/SPP1/SREBF2/LPCAT3/ABCB4,5
Down,GO:0006805,xenobiotic metabolic process,8/77,99/11209,0.0808080808080808,11.7633477633478,8.94603854944762,3.54468197771364e-07,0.000562186561665384,4.27654835343169e-05,SLCO1A2/CYP2C19/BCHE/CYP26A1/FMO4/SLCO1B3/FMO5/RORA,8
Down,GO:0071466,cellular response to xenobiotic stimulus,8/77,136/11209,0.0588235294117647,8.56302521008403,7.37997986909773,3.9761276655443e-06,0.00315306923877663,0.000239853706595218,SLCO1A2/CYP2C19/BCHE/CYP26A1/FMO4/SLCO1B3/FMO5/RORA,8
Down,GO:0016051,carbohydrate biosynthetic process,7/77,146/11209,0.0479452054794521,6.97945205479452,6.04817271340652,6.18447584366803e-05,0.0268963020477131,0.00204599939021686,PFKFB3/IRS2/IGF1/PPARGC1A/ST3GAL6/SDS/ENPP1,7
Down,GO:0046324,regulation of D-glucose import across plasma membrane,4/77,36/11209,0.111111111111111,16.1746031746032,7.58414309833931,0.000102626238032138,0.0268963020477131,0.00204599939021686,IRS2/IGF1/OPN3/ENPP1,4
Down,GO:0019318,hexose metabolic process,7/77,162/11209,0.0432098765432099,6.29012345679012,5.6405825893414,0.000119064031254625,0.0268963020477131,0.00204599939021686,PFKFB3/MAN2A1/IRS2/IGF1/PPARGC1A/SDS/RORA,7
Down,GO:0048009,insulin-like growth factor receptor signaling pathway,4/77,40/11209,0.1,14.5571428571429,7.14354603026507,0.000155945429891511,0.0268963020477131,0.00204599939021686,IRS2/IGF1/IGFBP2/IGFBP1,4
Down,GO:0009410,response to xenobiotic stimulus,9/77,291/11209,0.0309278350515464,4.50220913107511,5.03430879002742,0.000162499286662672,0.0268963020477131,0.00204599939021686,SLCO1A2/CYP2C19/BCHE/CYP26A1/FMO4/IGFBP2/SLCO1B3/FMO5/RORA,9
Down,GO:0005996,monosaccharide metabolic process,7/77,171/11209,0.0409356725146199,5.95906432748538,5.43469814076549,0.000166655241147383,0.0268963020477131,0.00204599939021686,PFKFB3/MAN2A1/IRS2/IGF1/PPARGC1A/SDS/RORA,7
Down,GO:0006109,regulation of carbohydrate metabolic process,6/77,123/11209,0.0487804878048781,7.10104529616725,5.65838107888125,0.000193934877572568,0.0268963020477131,0.00204599939021686,IRS2/IGF1/NCOR1/PPARGC1A/ENPP1/RORA,6
Down,GO:0043567,regulation of insulin-like growth factor receptor signaling pathway,3/77,17/11209,0.176470588235294,25.6890756302521,8.47224029297311,0.000197767029245627,0.0268963020477131,0.00204599939021686,IGF1/IGFBP2/IGFBP1,3
Down,GO:0015718,monocarboxylic acid transport,6/77,129/11209,0.0465116279069768,6.77076411960133,5.48253133709954,0.000251295183018558,0.0268963020477131,0.00204599939021686,ABCG2/SLCO1A2/SLC16A7/IRS2/SLC16A4/SLCO1B3,6
Down,GO:0015849,organic acid transport,8/77,243/11209,0.0329218106995885,4.79247501469724,4.97078030815181,0.000251895444148172,0.0268963020477131,0.00204599939021686,ABCG2/SLCO1A2/SLC16A7/IRS2/SLC16A4/SLC19A2/KMO/SLCO1B3,8
Down,GO:0046942,carboxylic acid transport,8/77,243/11209,0.0329218106995885,4.79247501469724,4.97078030815181,0.000251895444148172,0.0268963020477131,0.00204599939021686,ABCG2/SLCO1A2/SLC16A7/IRS2/SLC16A4/SLC19A2/KMO/SLCO1B3,8
Down,GO:0006006,glucose metabolic process,6/77,130/11209,0.0461538461538462,6.71868131868132,5.4543137382543,0.000262031485434945,0.0268963020477131,0.00204599939021686,PFKFB3/IRS2/IGF1/PPARGC1A/SDS/RORA,6
Down,GO:0015711,organic anion transport,9/77,314/11209,0.0286624203821656,4.17242948134668,4.74204868869403,0.000286552577055953,0.0268963020477131,0.00204599939021686,ABCG2/SLCO1A2/SLC16A7/IRS2/SLC17A3/SLC16A4/SLC19A2/KMO/SLCO1B3,9
Down,GO:0010827,regulation of D-glucose transmembrane transport,4/77,47/11209,0.0851063829787234,12.3890577507599,6.50711586668216,0.000293488283463442,0.0268963020477131,0.00204599939021686,IRS2/IGF1/OPN3/ENPP1,4
Down,GO:0005979,regulation of glycogen biosynthetic process,3/77,20/11209,0.15,21.8357142857143,7.75622821872103,0.000326668056594617,0.0268963020477131,0.00204599939021686,IRS2/IGF1/ENPP1,3
Down,GO:0010962,regulation of glucan biosynthetic process,3/77,20/11209,0.15,21.8357142857143,7.75622821872103,0.000326668056594617,0.0268963020477131,0.00204599939021686,IRS2/IGF1/ENPP1,3
Down,GO:0005975,carbohydrate metabolic process,10/77,397/11209,0.0251889168765743,3.66678661388989,4.49938676239499,0.000365290165815839,0.0268963020477131,0.00204599939021686,PFKFB3/MAN2A1/IRS2/IGF1/NCOR1/PPARGC1A/ST3GAL6/SDS/ENPP1/RORA,10
Down,GO:0098704,carbohydrate import across plasma membrane,4/77,50/11209,0.08,11.6457142857143,6.27436810727668,0.000373088679098164,0.0268963020477131,0.00204599939021686,IRS2/IGF1/OPN3/ENPP1,4
Down,GO:0098708,D-glucose import across plasma membrane,4/77,50/11209,0.08,11.6457142857143,6.27436810727668,0.000373088679098164,0.0268963020477131,0.00204599939021686,IRS2/IGF1/OPN3/ENPP1,4
Down,GO:0140271,hexose import across plasma membrane,4/77,50/11209,0.08,11.6457142857143,6.27436810727668,0.000373088679098164,0.0268963020477131,0.00204599939021686,IRS2/IGF1/OPN3/ENPP1,4
Down,GO:0043467,regulation of generation of precursor metabolites and energy,5/77,95/11209,0.0526315789473684,7.66165413533834,5.4228989542752,0.000480133226940123,0.0330426124990928,0.00251354869916269,IRS2/IGF1/NCOR1/OPN3/ENPP1,5
Down,GO:0046326,positive regulation of D-glucose import across plasma membrane,3/77,23/11209,0.130434782608696,18.9875776397516,7.18161330713638,0.000500014312722716,0.0330426124990928,0.00251354869916269,IRS2/IGF1/OPN3,3
Down,GO:0070873,regulation of glycogen metabolic process,3/77,24/11209,0.125,18.1964285714286,7.01372464396603,0.000568629735042834,0.0360738703911174,0.00274413622705668,IRS2/IGF1/ENPP1,3
Down,GO:0032885,regulation of polysaccharide biosynthetic process,3/77,26/11209,0.115384615384615,16.7967032967033,6.70651341236736,0.000723276783760504,0.0441198838093907,0.00335619577778082,IRS2/IGF1/ENPP1,3
