gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig,deg_call,logFC_paper,P_paper,adjP_paper,sig_paper,logFC_sex,P_sex,adjP_sex,logFC_GSE15653,P_GSE15653,logFC_GSE64998,P_GSE64998,consistent_both_datasets
CA14,-0.680127578530699,6.11630668302619,-4.76567769401535,4.62112114727099e-05,0.0422769009190092,2.00980778982262,Down,Down,-0.686692855313602,1.75539597100512e-05,0.0206988137778932,Down,-0.635836160970259,0.000175704914519789,0.12079200935577,-0.505097139646022,0.0169962405683007,-0.854265004972086,0.000607069123525321,TRUE
LRFN3,0.35187675885289,4.87403610266806,4.69510148019264,5.63175088306458e-05,0.0422769009190092,1.834520832088,NS,NS,0.343260392949285,3.66521645458824e-05,0.026205194922404,NS,0.316733706542733,0.000232181016809717,0.12079200935577,0.424985963553972,0.00173143117153656,0.27914056029824,0.00901030191203423,TRUE
MACROH2A2,0.603076274002483,6.36942314949927,4.68024366815557,5.87103317452448e-05,0.0422769009190092,1.79763606579283,Up,Up,0.61551999781272,1.9018288636554e-05,0.0206988137778932,Up,0.605544970647817,0.000117514100148368,0.113900470031884,0.251021734882127,0.123799126457158,0.953334616494672,2.74649804892795e-05,TRUE
SCG5,-0.72061595847317,5.60596875673421,-4.66316963807264,6.15850892707591e-05,0.0422769009190092,1.75525802692436,Down,Down,-0.677545438028127,6.72871266925238e-05,0.026205194922404,Down,-0.666902053180999,0.000240122382641748,0.12079200935577,-1.0795509719078,0.00013368624662303,-0.363512246127491,0.03947367875562,TRUE
ULK1,0.471039299127842,6.93299380964264,4.63605986120324,6.64395450049281e-05,0.0422769009190092,1.68799144396133,NS,NS,0.457495191804659,4.64315812855924e-05,0.026205194922404,NS,0.418754318462923,0.000273931184599145,0.12079200935577,0.638961921600279,0.000392258143296613,0.303973424729245,0.0257535084992569,TRUE
PIK3C2G,-0.458589702572342,6.99651370811623,-4.55992257027379,8.22008744895608e-05,0.0422769009190092,1.49923016311204,NS,NS,-0.434092033568256,7.94965259553847e-05,0.026205194922404,NS,-0.39148521973117,0.000317346077987733,0.12079200935577,-0.659589148163679,0.000302540365253259,-0.258615764356469,0.0240576661260406,TRUE
ABCA7,0.399953971755277,5.38188929550054,4.54747012276645,8.51104123976873e-05,0.0422769009190092,1.46838264070322,NS,NS,0.384104701921593,5.36563590683847e-05,0.026205194922404,NS,0.363806225397376,0.000337970808090359,0.12079200935577,0.472898241629361,0.00553381130718714,0.327381866523406,0.00184985092062353,TRUE
TUT7,-0.581683300431346,8.18875569522806,-4.50551300081253,9.56862573598593e-05,0.0422769009190092,1.36450403203337,Down,Down,-0.58764520155243,3.86500009180667e-05,0.026205194922404,Down,-0.601019813851409,0.00012368076431795,0.113900470031884,-0.545970311271511,0.0164610301383251,-0.617214080462815,0.000527022889435396,TRUE
GPR88,-1.23802062799123,5.49808777318849,-4.48689044885179,0.000100788303415775,0.0422769009190092,1.31842880817527,Down,Down,-1.12702735750156,8.87308025944755e-05,0.026205194922404,Down,-1.12418545743702,0.000406132993543796,0.12079200935577,-1.64448419642005,0.00274878662538566,-0.833630853278894,0.000415411396646491,TRUE
FBXL4,-0.296404594253876,5.58190926574254,-4.48140270658747,0.000102342570031805,0.0422769009190092,1.30485509421495,NS,NS,-0.300887281358218,3.8293629346339e-05,0.026205194922404,NS,-0.28182192547251,0.000318254273611928,0.12079200935577,-0.240684641557749,0.0122874228158241,-0.351840261477063,0.00115439399963735,TRUE
KRABD4,-0.366471177991618,5.58200698624891,-4.47950854479198,0.000102884538511328,0.0422769009190092,1.30017037605993,NS,NS,-0.342443083671157,0.000113342100757205,0.0264771099771659,NS,-0.350784370360882,0.00030981582485521,0.12079200935577,-0.53637759085292,0.000297300277772671,-0.197431634583691,0.0311087279006378,TRUE
AKAP6,-0.429967945487031,6.31202748176287,-4.46979540736622,0.00010570871062426,0.0422769009190092,1.27615085380787,NS,NS,-0.422250640178323,6.56837029746029e-05,0.026205194922404,NS,-0.388410627104891,0.000419526510775436,0.12079200935577,-0.524924900279777,0.00178420315183735,-0.335495464953432,0.0149768870682193,TRUE
DNASE1L2,0.320060540701588,5.09838361833033,4.46159606368098,0.000108152410796411,0.0422769009190092,1.25587928629589,NS,NS,0.293631641831703,0.000144251771950838,0.0276925522247781,NS,0.287751872705876,0.000430970648050412,0.12079200935577,0.494297819896519,0.000485364370779963,0.146712227216834,0.0429445306725399,TRUE
FAT4,-0.327024044309764,5.74020615742628,-4.45697491958751,0.000109554246420836,0.0422769009190092,1.24445609826963,NS,NS,-0.331174617795957,4.46895599130064e-05,0.026205194922404,NS,-0.288479005475792,0.000443257614431781,0.12079200935577,-0.295960396750887,0.0113025547929035,-0.357929203870893,0.0014688567305401,TRUE
MEX3D,0.310990012229923,6.8746502403458,4.43424901160688,0.000116714381187102,0.0422769009190092,1.18829902554322,NS,NS,0.286238973644898,0.000124939695196257,0.0271178699262724,NS,0.284145667810732,0.000430191301523878,0.12079200935577,0.425450438478514,0.00234351110520688,0.197113567747901,0.00794284943121568,TRUE
TEAD1,-0.337668311601232,6.0045979210432,-4.42827532431994,0.000118672153430393,0.0422769009190092,1.17354334942689,NS,NS,-0.338089797186036,5.50017154020717e-05,0.026205194922404,NS,-0.30875724072296,0.000445827162363031,0.12079200935577,-0.354826237777162,0.00310219278736249,-0.320597925864977,0.00643982670805633,TRUE
DHODH,0.420823632755272,6.92968830459819,4.419048705871,0.000121760073424328,0.0422769009190092,1.15075733656736,NS,NS,0.410802166173508,8.03651472622811e-05,0.026205194922404,NS,0.388859908905181,0.000440290985123911,0.12079200935577,0.564380296860811,0.000634929129787858,0.277999400609452,0.0333166342775324,TRUE
PFKFB3,-0.655569796012921,5.93319450597998,-4.40264938853572,0.000127446028528339,0.0422769009190092,1.11027228799405,Down,Down,-0.636488297927636,7.85363406155544e-05,0.026205194922404,Down,-0.63204241324024,0.000362672227783801,0.12079200935577,-0.756508088506815,0.00633420418594486,-0.555146494807262,0.00171583112258096,TRUE
MCCC1,-0.349283621830218,8.17163111615725,-4.38921735295466,0.000132298253279844,0.0422769009190092,1.07712692967549,NS,NS,-0.318999369127727,0.000179239986611753,0.0302233960523368,NS,-0.332357954049517,0.000393187163393271,0.12079200935577,-0.548301866188458,0.000326191652531825,-0.151280776677883,0.0386344818361666,TRUE
RPS6KA1,0.428712639401201,6.43626271839769,4.37874273041285,0.000136208555086698,0.0422769009190092,1.05128861880889,NS,NS,0.425499658749134,7.49475239829541e-05,0.026205194922404,NS,0.384692296925717,0.000540110009386049,0.12079200935577,0.456745137359375,0.0079489329832401,0.400823164391792,0.004219949917047,TRUE
AEN,0.535025792970269,6.03302516161861,4.3782231933697,0.000136405452070475,0.0422769009190092,1.0500072632704,Up,Up,0.542013336529672,5.40834185827595e-05,0.026205194922404,Up,0.51185118195844,0.000406701281775051,0.12079200935577,0.49371584780844,0.0232531579966315,0.576124973105761,0.000646572068174275,TRUE
CAPG,0.361852241714853,4.98098815681558,4.37807548045233,0.000136461484491923,0.0422769009190092,1.04964295656367,NS,NS,0.334088897182015,0.000177496453261859,0.0302233960523368,NS,0.319035037371407,0.000557093467565476,0.12079200935577,0.574990408133315,0.000194278265019117,0.149801514920973,0.0903990680873017,TRUE
MEIS1,-0.411180923124117,5.75701289949143,-4.36064642353615,0.000143235216416621,0.0422769009190092,1.00666912310867,NS,NS,-0.398220636143541,0.000108288544861346,0.0264771099771659,NS,-0.36737647511391,0.000573661030900329,0.12079200935577,-0.533173585485889,0.0014116051287613,-0.289810672305006,0.0211227133961932,TRUE
C1GALT1,-0.389545176688083,5.61074954890118,-4.35884637900197,0.000143953458042443,0.0422769009190092,1.0022321983038,NS,NS,-0.381574211868211,8.97438182274109e-05,0.026205194922404,NS,-0.333667859209905,0.000579642004456086,0.12079200935577,-0.578064187164535,8.08693699498463e-05,-0.201987997897733,0.0966604227443541,TRUE
ANXA5,0.48913582793797,8.27699240270679,4.35350476917264,0.000146105856725415,0.0422769009190092,0.989067183403178,NS,NS,0.478107852370991,7.50569010143748e-05,0.026205194922404,NS,0.448670618190722,0.00053790074243045,0.12079200935577,0.537557794884313,0.0115436380735605,0.44096091184339,0.000629276500190604,TRUE
PREB,0.412461075341638,7.38869191310594,4.34062001404463,0.000151429553036087,0.0422769009190092,0.957320601273599,NS,NS,0.407065102398996,6.75472308956266e-05,0.026205194922404,NS,0.351131370944566,0.000595088997054793,0.12079200935577,0.435662186772587,0.0155349931454381,0.389378336928192,0.000497872896858223,TRUE
ODF2,0.30618000422181,5.40916799607969,4.3396716190931,0.000151828899090187,0.0422769009190092,0.954984394231791,NS,NS,0.298255153389496,0.000104556435767081,0.0264771099771659,NS,0.274603720746062,0.000593398390140082,0.12079200935577,0.370798419030092,0.00220598237061958,0.241891275203367,0.0142271799496306,TRUE
BSG,0.635171824574274,7.8325628210601,4.33280144800994,0.000154753003088522,0.0422769009190092,0.938063119246065,Up,Up,0.569826739007327,0.000184951813803285,0.0307533765951795,Up,0.504539930352317,0.000427975188714397,0.12079200935577,0.885691622872766,0.00206602482139229,0.385930188511998,0.00174468497885353,TRUE
PELI2,-0.438907598950204,5.07142606624325,-4.32096867044698,0.000159920321081911,0.0422769009190092,0.908928110267911,NS,NS,-0.441901452230371,7.36321023894247e-05,0.026205194922404,NS,-0.382345473629143,0.000658059240346332,0.121204388083481,-0.417231099920192,0.0172504966080113,-0.460473503597411,0.00179694171801612,TRUE
MBNL3,-0.35387658983177,7.38021644350342,-4.31834373431403,0.000161089518356912,0.0422769009190092,0.902466515117847,NS,NS,-0.345185755716653,0.000108014042170744,0.0264771099771659,NS,-0.339648102363315,0.00044607815084375,0.12079200935577,-0.456832068630901,0.00125150174431902,-0.251446394087735,0.0170685993492442,TRUE
GOLM1,0.790859319884505,6.17041194966874,4.3051929968946,0.00016707543424433,0.0422769009190092,0.870103292718402,Up,Up,0.78398359672478,7.15750596236429e-05,0.026205194922404,Up,0.748693118918542,0.000528357115826064,0.12079200935577,0.32490849040801,0.098644795564462,1.25443284921061,0.000238402812396908,TRUE
IKBKG,0.331088914750224,6.64821196363551,4.30480642056736,0.000167254679098857,0.0422769009190092,0.86915217686829,NS,NS,0.334289308848214,6.35637935761238e-05,0.026205194922404,NS,0.339563803141093,0.000231474709003895,0.12079200935577,0.177039681109548,0.119664939537379,0.484352182913142,0.000300811862721702,TRUE
VAV2,0.323530394391601,7.23039100824764,4.30413865069402,0.000167564753175387,0.0422769009190092,0.867509255218744,NS,NS,0.324242872107253,6.98672468869164e-05,0.026205194922404,NS,0.309347138561533,0.000471782046255324,0.12079200935577,0.317280579236972,0.0209930622044724,0.329748322734215,0.000614615414978307,TRUE
YKT6,0.355161097494902,7.2814196063151,4.29498838415002,0.000171871235417301,0.0422769009190092,0.845000703297531,NS,NS,0.358562799719884,7.48230307587942e-05,0.026205194922404,NS,0.341894418643764,0.000463346015111409,0.12079200935577,0.319420135361905,0.0237923970813789,0.390719707780281,0.00150594108748047,TRUE
CYP2C19,-1.40979466967423,9.02312217230672,-4.29116742521123,0.00017370171229082,0.0422769009190092,0.835603803161888,Down,Down,-1.36766952474889,0.000107997672475588,0.0264771099771659,Down,-1.3036421150007,0.000624310304284731,0.12079200935577,-1.62488168440568,0.00796221777524035,-1.19580503767099,0.00157863313283617,TRUE
BTAF1,-0.489365283734089,6.33337789204075,-4.28213984171634,0.000178103294349249,0.0422769009190092,0.813407443153455,NS,NS,-0.417777990985852,0.000449283423708935,0.0404646712157752,NS,-0.41564202340992,0.000715086622557207,0.124368554244435,-0.844897786027768,9.35365255147004e-05,-0.135646722778643,0.0479867645367105,TRUE
MYO9B,0.33585916272312,7.40725114379913,4.27948146844432,0.000179420296782929,0.0422769009190092,0.806872639459352,NS,NS,0.322064045199208,0.000145457158116515,0.0276925522247781,NS,0.297474222569672,0.00069733658279898,0.124368554244435,0.446920745292527,0.00211456784412797,0.225364220881108,0.0186979829347407,TRUE
ABCA11P,-0.262265085707867,3.95789738999252,-4.27934770706382,0.000179486817824167,0.0422769009190092,0.806543844777107,NS,NS,-0.262505041358696,8.44259688950996e-05,0.026205194922404,NS,-0.243108870245434,0.000617855046199876,0.12079200935577,-0.260615641987548,0.007106051827147,-0.263906113899002,0.00911125959848246,TRUE
CYBC1,0.31793527403495,5.84703187244414,4.27812291193132,0.000180097055368315,0.0422769009190092,0.803533290236456,NS,NS,0.307679465288271,0.000131758049632637,0.0271966787965849,NS,0.292814098642273,0.000635641211945664,0.12079200935577,0.388761374281277,0.00383741812758834,0.247470531442941,0.0115503194950654,TRUE
ZNF141,-0.320676987898514,5.75804174861413,-4.26309830667256,0.000187751576002342,0.0429335898158418,0.766614003968047,NS,NS,-0.297802495256546,0.000212631399202743,0.0326361937340416,NS,-0.274711965287586,0.000749948951785137,0.12540971917765,-0.464542147453966,0.000622362701645788,-0.177545834259162,0.0297022336532006,TRUE
LGSN,-0.485434638994159,4.78022292344982,-4.25867273927198,0.000190066844323389,0.0429335898158418,0.755743287017006,NS,NS,-0.489416670745029,8.14619423339839e-05,0.026205194922404,NS,-0.455023077217524,0.00062695368379357,0.12079200935577,-0.377588554980131,0.0208111070514849,-0.592730487885668,0.00252453008781056,TRUE
CTNNA3,-0.440202659304953,5.87778705450375,-4.24626426581247,0.00019670970752573,0.0436112707129266,0.725273769970134,NS,NS,-0.441093561254443,8.82148216125612e-05,0.026205194922404,NS,-0.415935106766788,0.000611962178818153,0.12079200935577,-0.40439103446725,0.010095349995422,-0.475831571771033,0.00663117401762679,TRUE
MAP4K3,-0.360657698475581,5.64556718999124,-4.23337753150365,0.00020385103220935,0.0438394586869782,0.693645683951093,NS,NS,-0.334314060283803,0.000237813942129324,0.0335783492422005,NS,-0.332391160627531,0.000716791700874206,0.124368554244435,-0.526466370723926,0.000601832308719521,-0.195694988840746,0.0312832686929202,TRUE
DNAJC12,-0.710292525228967,7.50832660161549,-4.23123545501005,0.000205062619985865,0.0438394586869782,0.688389943714852,Down,Down,-0.666939229206749,8.58887952480462e-05,0.026205194922404,Down,-0.67508920108929,0.000615961017471229,0.12079200935577,-0.841526907436189,0.0122639303943307,-0.579727706196272,3.98103148085017e-05,TRUE
OPN3,-0.548201948956422,6.7258340267295,-4.20398232998455,0.000221111327856618,0.0453489640901126,0.621562865131794,Down,Down,-0.485947860829975,0.000385865172407083,0.0375575434476227,NS,-0.490079590539148,0.000865277136073237,0.12789009719838,-0.865699291576789,0.000505323967909757,-0.23232449073718,0.0351550848694825,TRUE
ACTR6,-0.298668900098865,4.39360662745654,-4.2038445081672,0.000221195554660964,0.0453489640901126,0.62122510753726,NS,NS,-0.295021079606879,0.000129111141479914,0.0271178699262724,NS,-0.292548118618463,0.000514150254340891,0.12079200935577,-0.327651790281447,0.00816657912714051,-0.26983388180497,0.00779995995017946,TRUE
KDM8,0.633773459329173,7.97586040915739,4.20011434611386,0.00022348721026701,0.0453489640901126,0.61208441563043,Up,Up,0.63338049507351,0.000118863871946984,0.0268497787726281,Up,0.613028747401407,0.0005831894525944,0.12079200935577,0.633901549965476,0.0129542495704128,0.633646022216522,0.00347301873397759,TRUE
DMTN,0.340722168632187,6.87420275795956,4.18772980811627,0.00023126483327213,0.0461450430655656,0.581746847311693,NS,NS,0.342305549387223,0.000108685528335536,0.0264771099771659,NS,0.349663223427828,0.000314601164594757,0.12079200935577,0.320061863729362,0.0190696736262,0.361277063816119,0.00404573349054499,TRUE
SREBF2,0.507761802111129,7.65648692178984,4.17176255394091,0.00024168707159368,0.0472841517740822,0.542657192448933,Up,Up,0.499961855088486,0.000146654466463492,0.0276925522247781,NS,0.44550682788524,0.000967227512874047,0.131438668234586,0.556930037765897,0.0102047991684004,0.458844424801536,0.00364546822790678,TRUE
CD151,0.688991227087729,8.58972863510539,4.16568780946436,0.000245772547682838,0.0472841517740822,0.527792831965503,Up,Up,0.684218226050254,9.99864637289393e-05,0.0264771099771659,Up,0.629208050304367,0.000892854198467781,0.129136921994373,0.7066369838813,0.0226040243901274,0.671435499665552,0.000308896275202062,TRUE
TNFRSF12A,0.436495799790804,6.35518758196188,4.15704815503496,0.000251700402367012,0.0472841517740822,0.506659412311734,NS,NS,0.435779949196069,0.000103031328603699,0.0264771099771659,NS,0.423717950279619,0.00062694907766404,0.12079200935577,0.332491466600443,0.0235213281888398,0.539969498628151,0.00416315432810846,TRUE
RHOD,0.286512340806082,8.54256060243191,4.15550782638257,0.000252771943997766,0.0472841517740822,0.502892498019421,NS,NS,0.288558773147406,0.00010313671267506,0.0264771099771659,NS,0.29386536591036,0.00033309298751356,0.12079200935577,0.239091139519921,0.0420132805321802,0.333691597187722,0.00156835418443389,TRUE
ARHGEF16,0.273183415727902,5.93786794751591,4.13748322279758,0.000265649599306793,0.0476561988859883,0.458832858997259,NS,NS,0.27378063815357,0.000128606001666948,0.0271178699262724,NS,0.274827031421509,0.000455574274556101,0.12079200935577,0.277359978010058,0.0181824230797109,0.269028162436981,0.00835768544069852,TRUE
MAPRE2,-0.40394959115561,7.9803109736597,-4.12787888331648,0.00027277292961609,0.0476561988859883,0.435371129950622,NS,NS,-0.39251701253995,0.000192723642676496,0.0312344965830079,NS,-0.368972950619493,0.000958794886521902,0.131438668234586,-0.609136841747754,0.000283625225376328,-0.199809214290978,0.106007991391586,TRUE
STX5,0.333237477794163,6.59836842976829,4.12608518153991,0.000274123956552856,0.0476561988859883,0.430990623409953,NS,NS,0.32351332368771,0.000193063209751302,0.0312344965830079,NS,0.28290402544868,0.00108332568610175,0.137974203340534,0.395428045738227,0.00693824855130141,0.271364208666142,0.00806293064956066,TRUE
HSPA5,0.667859314513745,9.60833382086214,4.12547365596553,0.000274586064677068,0.0476561988859883,0.42949726663669,Up,Up,0.65969719887368,0.000170031094829408,0.0295016270622851,Up,0.62274219030841,0.000895286044565067,0.129136921994373,0.741833219294242,0.00725028043394437,0.594262827614778,0.0086948806760122,TRUE
CDS2,-0.444412365198615,7.79045087564507,-4.11948869794079,0.00027914933735093,0.0476561988859883,0.414884218711771,NS,NS,-0.394356436925151,0.000521750641001744,0.0423889771870054,NS,-0.419246226621061,0.000837455617387598,0.12540971917765,-0.775658680744858,8.80879239986723e-05,-0.114856081874546,0.162972695744097,TRUE
EHD4,0.321608699927357,6.47583551281266,4.10581000503196,0.000289860722863567,0.0476561988859883,0.381501960310164,NS,NS,0.326764913353155,0.00012306202615075,0.0271178699262724,NS,0.29227271167669,0.00102925107036458,0.136601117124669,0.274554828296838,0.0399150289315291,0.368422500784252,0.00165053517044654,TRUE
IPPK,0.330758092346943,6.407259030967,4.10557470239159,0.00029004847430919,0.0476561988859883,0.38092791151504,NS,NS,0.292197737124277,0.000525129456934035,0.0423889771870054,NS,0.290979393886217,0.00112781033552008,0.142127845651014,0.537582841403307,0.000526830449491422,0.124988571602093,0.0829340038840394,TRUE
DCUN1D1,-0.500448093649865,7.90820861225665,-4.09974397702858,0.000294739289413167,0.0476561988859883,0.366705313190346,Down,Down,-0.461612691048326,0.000369455339745813,0.0370246671489572,NS,-0.419817149470951,0.00117210582272841,0.143377625941476,-0.751584911126148,0.000857646418558172,-0.250592586466829,0.0438801029712678,TRUE
SLC12A6,-0.478158034504059,5.91422760930429,-4.08919145817753,0.000303419219450164,0.0476561988859883,0.340975673713107,NS,NS,-0.44683276151889,0.000340308986175488,0.0355794356747606,NS,-0.399093211772438,0.00120958404778559,0.143377625941476,-0.696755278905463,0.000930472817338856,-0.260676082165928,0.0442507124775246,TRUE
ABCG2,-0.684427441385614,7.26745771513732,-4.0883051332016,0.000304159600710894,0.0476561988859883,0.338815221675361,Down,Down,-0.634037917140159,0.000335531287045287,0.0355794356747606,Down,-0.638994423488789,0.000977116728439537,0.131438668234586,-0.945741203515059,0.00265561380254893,-0.424446912736423,0.0133408588572261,TRUE
RBM47,-0.500750796226677,8.51930243831489,-4.07927639875601,0.000311803579420542,0.0476561988859883,0.316812912226542,Down,Down,-0.441870175122768,0.000602812739959481,0.0437017677653884,NS,-0.410249951519024,0.00117975883235715,0.143377625941476,-0.864012668933959,0.000154481854423464,-0.139342300420966,0.136487529995368,TRUE
CYTH2,0.291660768066664,6.88861151502842,4.07758699540653,0.00031325470405222,0.0476561988859883,0.312697106525628,NS,NS,0.27076355669235,0.000261054005759842,0.0335783492422005,NS,0.234903834942978,0.00107175886399778,0.137968786234209,0.367632854008795,0.00712589973814866,0.216076294807911,0.00255296072753133,TRUE
MORC3,-0.535580940501322,5.87593003691427,-4.07684697686311,0.000313892436945694,0.0476561988859883,0.310894351181044,Down,Down,-0.490381566644816,0.000341767048329224,0.0355794356747606,NS,-0.478780681562863,0.0012009705769647,0.143377625941476,-0.736773058505158,0.00308593309671766,-0.335415312895464,0.00705646187083701,TRUE
SLC16A4,-0.748594861576924,4.80967952192817,-4.07452082260413,0.000315905391000691,0.0476561988859883,0.305228069829909,Down,Down,-0.731569314689914,0.000111902726078129,0.0264771099771659,Down,-0.730187303843455,0.000752177819903061,0.12540971917765,-0.47562742907142,0.00978105329205478,-1.02016960310026,0.00478744965950359,TRUE
KANSL1L,-0.329191213458911,4.87566000224312,-4.06550378489578,0.000323828960055625,0.0476561988859883,0.283269963765306,NS,NS,-0.328059390965925,0.000135303551482711,0.0274551545483223,NS,-0.342681744569436,0.000367310193289493,0.12079200935577,-0.197960222595443,0.0364177853403368,-0.459752658450627,0.00197495889324104,TRUE
TBRG4,0.246998356892719,6.25864086209192,4.06169835874391,0.000327231222683768,0.0476561988859883,0.274006192970555,NS,NS,0.233699883105801,0.000307540508529461,0.0355794356747606,NS,0.242429165726107,0.000696094193546447,0.124368554244435,0.436429574401726,5.22195475514293e-05,0.0585336251873284,0.362485923245787,TRUE
TOR1AIP2,-0.293349418540247,7.50962902132572,-4.05887942883838,0.000329774124905781,0.0476561988859883,0.267145112303352,NS,NS,-0.28194790366264,0.000233548377858882,0.0335783492422005,NS,-0.283238552294848,0.000802994190768459,0.12540971917765,-0.35660932068278,0.00746817206166851,-0.230412271000481,0.00444908924589146,TRUE
TAP2,0.334166614953676,6.60004226854529,4.0563933213232,0.000332032900128836,0.0476561988859883,0.261094952882413,NS,NS,0.334422096594592,0.00014241738236385,0.0276925522247781,NS,0.342346410601562,0.000458064288913906,0.12079200935577,0.436289179655263,0.000972169239364155,0.232565083745462,0.0694760715506344,TRUE
PTPRG,-0.327053337880412,5.35069633298794,-4.05562561558261,0.000332733472709589,0.0476561988859883,0.259226836326523,NS,NS,-0.293759049145401,0.000523917372632149,0.0423889771870054,NS,-0.280517187450537,0.00133546990018825,0.144488191386327,-0.521421204829011,0.000349530753283446,-0.133677143722368,0.0841636488976871,TRUE
P4HA1,-1.1027220184276,6.88109900570098,-4.05383451715027,0.000334373597262196,0.0476561988859883,0.254868719262623,Down,Down,-1.12213693695121,0.000150352146225408,0.0276925522247781,Down,-1.07525305984867,0.0007942689202475,0.12540971917765,-0.911822076006698,0.0358223623262305,-1.29264798155043,0.00156943613773788,TRUE
ZFHX4,-0.372112098626285,6.90588490188959,-4.01913988460527,0.00036775679390382,0.0510230243067918,0.170533290961438,NS,NS,-0.353315812972752,0.000314900291226845,0.0355794356747606,NS,-0.32344751322833,0.00144319877027359,0.144488191386327,-0.478041679042238,0.00507332943368193,-0.266722975253272,0.00985942875275636,TRUE
SEC16A,0.550365977642261,7.47776049400356,4.00733402799351,0.000379846138383939,0.0510230243067918,0.141872889632053,NS,Up,0.519721620265834,0.000357808884422458,0.0366127176436382,Up,0.470249302424108,0.0015341232213765,0.144488191386327,0.723734897007109,0.00434017764747724,0.37788159358029,0.0134399820557711,TRUE
