cell_type,mouse_id,condition,T2D_up_top100_UCell,T2D_down_top100_UCell
T_cell,STZ_1,STZ,0.00813195141340094,0.0126853827355436
B_cell,STZ_1,STZ,0.00604806745734347,0.0150462593048599
pDC,STZ_1,STZ,0.0591214632007148,0.00507359550301952
Monocyte,STZ_1,STZ,0.0644785556038068,0.0139457773741815
NK_cell,STZ_1,STZ,0.0101858272611405,0.0089105408355226
cDC,STZ_1,STZ,0.0642621827957315,0.0129877524780404
Neutrophil,STZ_1,STZ,0.0336949578491011,0.0216489588036392
Cholangiocyte,STZ_1,STZ,0.179649260652275,0.0736725135018879
Kupffer_cell,STZ_1,STZ,0.0420887217270338,0.0137930746068919
LSEC,STZ_1,STZ,0.105647103386554,0.0139369044521269
Macrophage_other,STZ_1,STZ,0.0633441159228166,0.0222455309106363
Hepatocyte,STZ_1,STZ,0.0180025640015396,0.0619565859130537
T_cell,STZ_2,STZ,0.0127206698040079,0.014616493999656
B_cell,STZ_2,STZ,0.00516044948153631,0.0193480597130529
Hepatocyte,STZ_2,STZ,0.0427142906211895,0.0513159362105498
HSC_Fibroblast,STZ_2,STZ,0.0533299542006843,0.0225344280379409
cDC,STZ_2,STZ,0.0613048929190925,0.00692985390877663
Monocyte,STZ_2,STZ,0.0847379620010105,0.00664126673424447
NK_cell,STZ_2,STZ,0.0155526981730424,0.0151124170266824
LSEC,STZ_2,STZ,0.0909722891143433,0.00918003694706678
Cholangiocyte,STZ_2,STZ,0.180964157521425,0.0796637051906373
pDC,STZ_2,STZ,0.0542207414277073,0.00478668698809214
Neutrophil,STZ_2,STZ,0.0474158440747622,0.0379646940743511
Kupffer_cell,STZ_2,STZ,0.0383284386968245,0.0120497379279581
Macrophage_other,STZ_2,STZ,0.054639600185481,0
B_cell,STZ_3,STZ,0.00608818214971147,0.0192439334852794
T_cell,STZ_3,STZ,0.0172646446821765,0.0219808806533045
Cholangiocyte,STZ_3,STZ,0.172326441756194,0.0851366889322151
Monocyte,STZ_3,STZ,0.108260672006735,0.0148813379554822
Neutrophil,STZ_3,STZ,0.0696474818220178,0.0328919116930856
cDC,STZ_3,STZ,0.057923714735965,0.00902989121029984
HSC_Fibroblast,STZ_3,STZ,0.081768289143279,0.0160230044098346
Kupffer_cell,STZ_3,STZ,0.0529180770014807,0.0202852488108572
Macrophage_other,STZ_3,STZ,0.132621796672312,0.0165871636862043
NK_cell,STZ_3,STZ,0.016165533995315,0.010404130212606
LSEC,STZ_3,STZ,0.120403157197629,0.0134968053594889
pDC,STZ_3,STZ,0.0531068061208718,0.00206362723927127
Hepatocyte,STZ_3,STZ,0.0591852889240699,0.044463031114085
Monocyte,STZ_4,STZ,0.0929814431072334,0.0127002260320362
HSC_Fibroblast,STZ_4,STZ,0.0699791847620068,0.0104280688472207
B_cell,STZ_4,STZ,0.00574397851678387,0.0215667123538998
T_cell,STZ_4,STZ,0.0103174368190901,0.0221107863069566
Cholangiocyte,STZ_4,STZ,0.145565171755611,0.0366242112552226
pDC,STZ_4,STZ,0.0580675922667363,0.00563875452931937
NK_cell,STZ_4,STZ,0.0121316520837816,0.0166822466691595
Kupffer_cell,STZ_4,STZ,0.0378232320630177,0.00809449462845247
Macrophage_other,STZ_4,STZ,0.0809780461925253,0.00933955905954684
cDC,STZ_4,STZ,0.0723933913820049,0.0057834281253485
LSEC,STZ_4,STZ,0.124550169033398,0.00763504645237666
Neutrophil,STZ_4,STZ,0.036891866998575,0.0317043772370839
Hepatocyte,STZ_4,STZ,0.0476952646351872,0.0600055275139279
