cell_type,mouse_id,condition,T2D_up_top100_UCell,T2D_down_top100_UCell
B_cell,Control_3,Control,0.0494701770656225,0.00769488123118101
Fibroblast_Pericyte,Control_3,Control,0.101847081250966,0.0296420207427233
T_cell,STZ_1,STZ,0.0164423581704225,0.00970278408217518
Endothelial,STZ_1,STZ,0.14766616841269,0.00776203079932138
Macrophage,STZ_1,STZ,0.0445721986770937,0.0183413064397637
Fibroblast_Pericyte,STZ_1,STZ,0.0958774081809787,0.0268098412126515
cDC,STZ_1,STZ,0.0978561057564277,0.0152373965584654
Distal_tubule,STZ_1,STZ,0.0883651371718492,0.0479151626137945
LoH,STZ_1,STZ,0.0840832309017172,0.034839172202839
PT,STZ_1,STZ,0.093063852634833,0.0154012079378775
Tubular_epithelium_other,STZ_1,STZ,0.158970065433562,0.0846972231515557
CD_IC,STZ_1,STZ,0.0610806269714508,0.0251933013642616
Urothelium,STZ_1,STZ,0.0934134937400175,0.0518191702910672
Proliferating,STZ_1,STZ,0.0664085257830428,0.0180019044187662
B_cell,STZ_1,STZ,0.0175761947362751,0.0147601812707199
Neutrophil,STZ_1,STZ,0.0742181462208253,0.0807962529274004
Macrophage,STZ_2,STZ,0.0464928786485723,0.0236557518412583
Endothelial,STZ_2,STZ,0.14626726819778,0.0107002671768315
Fibroblast_Pericyte,STZ_2,STZ,0.106417126075532,0.0145951823352292
LoH,STZ_2,STZ,0.0660185305031988,0.0371002619360419
PT,STZ_2,STZ,0.0623230177227262,0.0229921476787436
Distal_tubule,STZ_2,STZ,0.0605311968674326,0.0469621947139512
Tubular_epithelium_other,STZ_2,STZ,0.111457865644068,0.0566123404865459
B_cell,STZ_2,STZ,0.0267178456729696,0.0335541429686629
Urothelium,STZ_2,STZ,0.168306799251206,0.0706925393108063
CD_IC,STZ_2,STZ,0.0349773301045907,0.0192769320843091
T_cell,STZ_2,STZ,0.0168654185733891,0.0120639313847745
Proliferating,STZ_2,STZ,0.119197279612551,0
cDC,STZ_2,STZ,0.0767200176994905,0.0142325782772125
Endothelial,STZ_3,STZ,0.168748412130171,0.0108464369354299
CD_IC,STZ_3,STZ,0.0779307962043079,0.0314289650286344
Macrophage,STZ_3,STZ,0.0663094440723376,0.0237091557934649
Fibroblast_Pericyte,STZ_3,STZ,0.0836762032341403,0.0233857477417196
B_cell,STZ_3,STZ,0.0594762738935545,0.00417363666778187
Distal_tubule,STZ_3,STZ,0.0762330435806658,0.0509272092912106
PT,STZ_3,STZ,0.105939438993692,0.0277183004349281
LoH,STZ_3,STZ,0.113263176876707,0.0431365005018401
T_cell,STZ_3,STZ,0.00458228141583801,0.00595098695215791
cDC,STZ_3,STZ,0.114901592044928,0.0164268986283038
Tubular_epithelium_other,STZ_3,STZ,0.138252013670634,0.0550239768038363
Urothelium,STZ_3,STZ,0.134473697769076,0.0278242444518791
Proliferating,STZ_3,STZ,0.0950589932505539,0
Neutrophil,STZ_3,STZ,0.0708691843989902,0
Endothelial,STZ_4,STZ,0.148303192676937,0.0132903981264637
Macrophage,STZ_4,STZ,0.0475311902711278,0.0185150627271159
Fibroblast_Pericyte,STZ_4,STZ,0.0539029172467052,0.0164434667074365
Distal_tubule,STZ_4,STZ,0.0623535844567325,0.0291651973150802
B_cell,STZ_4,STZ,0.0393518722141727,0.0112727698036432
Urothelium,STZ_4,STZ,0.06684721005719,0.0271899743503959
Neutrophil,STZ_4,STZ,0.048949689119946,0.0161905481388748
LoH,STZ_4,STZ,0.0880585589895704,0.0271920852650194
CD_IC,STZ_4,STZ,0.0736102301477562,0.0262863353828472
PT,STZ_4,STZ,0.0527205688663383,0.0144831518384311
cDC,STZ_4,STZ,0.0837988758283467,0.0151523841386672
T_cell,STZ_4,STZ,0.0258850525567843,0.00948402850251919
Proliferating,STZ_4,STZ,0.0479728612065483,0.00352168477399588
Tubular_epithelium_other,STZ_4,STZ,0.137745375856561,0.0400468384074941
