cell_type,mouse_id,condition,intersect_down_UCell,T2D_up_top100_UCell,T2D_down_top100_UCell
Tubular_epithelium_other,STZ_1,STZ,0.0125317301269205,0.134064758367314,0.054742784089886
CD_IC,STZ_1,STZ,0.0588807244117866,0.10570852454457,0.0559791970518153
Urothelium,STZ_1,STZ,0.222787241148965,0.131866950623764,0.0785574256801772
Proliferating,STZ_1,STZ,0.00182929962489081,0.0982804187616655,0.0413276111144199
B_cell,STZ_1,STZ,0.0181575271755633,0.0552677650582289,0.0373047779776627
Neutrophil,STZ_1,STZ,0,0.0840728329767048,0.0326133928732196
Macrophage,STZ_2,STZ,0.0250453959562317,0.0900243318687205,0.0487555308261692
Endothelial,STZ_2,STZ,0.0206704488789786,0.103304741038585,0.0484137607393466
Fibroblast_Pericyte,STZ_2,STZ,0.0746726786907148,0.117609915620332,0.0661574715955129
LoH,STZ_2,STZ,0.0302572624924646,0.0865534120640573,0.0469511206987036
PT,STZ_2,STZ,0.0125519011879969,0.0815681999716597,0.0398436901454498
Distal_tubule,STZ_2,STZ,0.0680694722778891,0.0675536625082428,0.0443183523296781
Tubular_epithelium_other,STZ_2,STZ,0.0149823456436683,0.127838946148123,0.044029848826651
B_cell,STZ_2,STZ,0.0391716766867067,0.0679561817863728,0.0427312722449298
Urothelium,STZ_2,STZ,0.256357158761968,0.170767222468946,0.0744623704317242
CD_IC,STZ_2,STZ,0.0802813961255845,0.105704459203036,0.0589086442371752
T_cell,STZ_2,STZ,0.00438300844112467,0.062693836503841,0.0471633775681078
Proliferating,STZ_2,STZ,0,0.124684080907586,0.0352242649044781
cDC,STZ_2,STZ,0.00051868442767889,0.0835515456939771,0.0405686087388482
Endothelial,STZ_3,STZ,0.0113228756363301,0.107430673213597,0.0468860151014577
CD_IC,STZ_3,STZ,0.0559943416244253,0.108303310827339,0.0591990077627104
Macrophage,STZ_3,STZ,0.0709031589749547,0.087122694859926,0.048175286197764
Fibroblast_Pericyte,STZ_3,STZ,0.0981773069949423,0.101234261721161,0.0697752334994174
B_cell,STZ_3,STZ,0.0320808283233133,0.072556421333118,0.0379454237715397
Distal_tubule,STZ_3,STZ,0.0769825365015746,0.0845717284854916,0.047645842282751
PT,STZ_3,STZ,0.0238429239431243,0.102212731351978,0.0487580351837514
LoH,STZ_3,STZ,0.0299265197060788,0.0901182930275748,0.0577673442929939
T_cell,STZ_3,STZ,0,0.0437679155395858,0.0278840007562526
cDC,STZ_3,STZ,0.00377421509686039,0.0876852113529008,0.0429623494247078
Tubular_epithelium_other,STZ_3,STZ,0.0784235136940548,0.149322405695291,0.0575862338020899
Urothelium,STZ_3,STZ,0.15123580494322,0.134994011331369,0.06354772494013
Proliferating,STZ_3,STZ,0,0.0946747951067867,0.0608378198318238
Neutrophil,STZ_3,STZ,0,0.055379708506601,0.0569620253164557
Endothelial,STZ_4,STZ,0.0142635512571036,0.0940417866887138,0.0516881551481673
Macrophage,STZ_4,STZ,0.0356052358465489,0.0804755386134666,0.0423677459828676
Fibroblast_Pericyte,STZ_4,STZ,0.0465564653845614,0.075962019075377,0.043656131817243
Distal_tubule,STZ_4,STZ,0.0380761523046092,0.0670383169313284,0.0407062445343231
B_cell,STZ_4,STZ,0.0153217003111915,0.0659579719863572,0.0349517592534443
Urothelium,STZ_4,STZ,0.0434285237140949,0.0831605703365766,0.0475098057751289
Neutrophil,STZ_4,STZ,0.036908225052255,0.0765668323698067,0.035718413821184
LoH,STZ_4,STZ,0.0309304322931577,0.0871813268890261,0.0348838226253283
CD_IC,STZ_4,STZ,0.042058598856405,0.0844496738379372,0.0449235403476436
PT,STZ_4,STZ,0.016385823289772,0.0760434868892795,0.0363498943858516
cDC,STZ_4,STZ,0.0264783535324617,0.077085796569829,0.0470977306420344
T_cell,STZ_4,STZ,0.00916858592807506,0.058954350135551,0.0365835174022751
Proliferating,STZ_4,STZ,0.0143374468234715,0.074812105964374,0.047152775342754
Tubular_epithelium_other,STZ_4,STZ,0.0399799599198397,0.113321086842424,0.0440202027477177
