gene,mouse,pool,logFC,P.Value,logFC_GSE15653,logFC_GSE64998,sc_STZ,best_cell_type,best_logFC_mouse,best_FDR_mouse,best_pct_detected,tau,module,kME_own,hub,val_logFC,val_P,hb_logFC,hb_P,bulk_DE,specificity,network,external_val,clinical,feasibility,protein,literature,druggability,manual_scores_missing,score,max_score,score_pct,tissue
ABLIM1,Ablim1,B_scRNA_first,0.137644843101874,0.21402387097881,0.183499021801401,0.0920246142936692,3,Endothelial,0.909400214951134,0.0256138378966277,13.91,,turquoise,0.588054832823162,FALSE,0.381944220960892,0.0424599371719326,0.0296215406172422,0.511705694933732,0,0,0,3,0,2,1,FALSE,0,TRUE,19,45,42.2,kidney
APOE,Apoe,B_scRNA_first,0.657283239106246,0.0071997812986039,1.1803092834771,0.13692569496177,0,Endothelial,-0.736221468979838,0.0239108088991266,65.63,,turquoise,0.928873509473215,FALSE,-0.198787603632603,0.0436589486861576,0.263655980433249,0.0112219776680435,2,0,0,0,3,3,3,FALSE,3,TRUE,19,45,42.2,kidney
ESM1,Esm1,B_scRNA_first,-0.0747956580035428,0.137621842963633,-0.0971436359781663,-0.0525617003247083,3,Endothelial,-1.69736947287543,8.32812234983676e-05,53.74,,,,,0.104203562573191,0.201917495072027,-0.0419708459844851,0.00583084405447599,0,0,0,0,3,3,1,FALSE,1,TRUE,18,45,40,kidney
IRF7,Irf7,B_scRNA_first,0.459841675044216,0.00332549938796678,0.603813815173488,0.316604086650293,3,Endothelial,0.693821326117327,0.030650904197232,36.56,,turquoise,0.703089110298869,FALSE,-0.37968777708903,0.130715067802955,0.0659706117591496,0.306048347942356,2,0,0,0,0,3,1,FALSE,0,TRUE,18,45,40,kidney
PHLDA3,Phlda3,B_scRNA_first,0.160508637806877,0.0173043302157062,0.13069214428442,0.19017300636238,3,Endothelial,2.83113650937105,9.85534959261142e-07,11.41,,,,,0.100264429427242,0.362896462972808,0.00938415278862844,0.710098553226942,1,0,0,1,0,2,1,FALSE,0,TRUE,17,45,37.8,kidney
IRS2,Irs2,A_bulk_main,-0.584420274513232,0.00290962468594569,-0.739994083809521,-0.429640209141921,0,Endothelial,0.0901440967844545,0.976061468350256,1.6,0.239230279938887,tan,0.771622098386666,TRUE,0.0780933597819761,0.770138361375169,-0.199447303389412,0.00795633306794287,2,0,3,0,3,0,1,FALSE,3,TRUE,15,45,33.3,kidney
JUN,Jun,B_scRNA_first,-0.019706325343891,0.935051567300084,-0.457879556007139,0.416231327611892,3,Endothelial,-1.24733797112471,0.00919972748384408,77.95,,grey,,FALSE,0.237708318580646,0.192968265975065,-0.168222813831246,0.0185218053835426,0,0,0,0,3,3,0,FALSE,0,TRUE,15,45,33.3,kidney
DUSP1,Dusp1,B_scRNA_first,-0.138192157388023,0.692995895749405,0.109548694272307,-0.384669025111314,3,Endothelial,-1.01022458347285,0.0111554861884458,54.89,,turquoise,0.170663195029579,FALSE,-0.0839255369943267,0.800235081544802,-0.161759358953842,0.203134582889417,0,0,0,1,0,3,0,FALSE,0,TRUE,14,45,31.1,kidney
HSPD1,Hspd1,B_scRNA_first,0.00416415935787405,0.961344305789507,-0.0901048742204188,0.0979522284791286,0,Endothelial,-1.1177798856722,0.00151455848219794,32.31,,,,,0.116972112396556,0.0884306235338934,0.00340093322614476,0.922005748843715,0,0,0,2,0,3,2,FALSE,3,TRUE,14,45,31.1,kidney
HOXB2,Hoxb2,B_scRNA_first,-0.0918442329663894,0.283745636912073,-0.104996286286891,-0.0787592819587486,3,Endothelial,-0.962743646845498,0.0443951941746484,14.64,,,,,-0.00608852887364428,0.959326101835065,-0.011040642894554,0.719211540986976,0,0,0,1,0,2,0,FALSE,0,TRUE,13,45,28.9,kidney
IER5,Ier5,B_scRNA_first,0.295543188095163,0.011082234183657,0.39750213621094,0.194104438694261,0,Endothelial,-0.724049186501183,0.025475647277633,47.3,,turquoise,0.592636067120874,FALSE,0.610798762103602,0.0016578214562034,0.0585624371850613,0.218873009125998,1,0,0,3,0,3,1,FALSE,0,TRUE,13,45,28.9,kidney
IGF1,Igf1,A_bulk_main,-0.750196331507432,0.0163841211440685,-0.910518418628822,-0.590692214218295,0,Endothelial,0.0715942993815418,0.970041239235742,13.5,0.45768924978672,yellow,0.771557617014198,TRUE,0.191395985582112,0.45560913099937,-0.114121323715758,0.391415780957692,1,1,3,0,0,2,1,FALSE,3,TRUE,13,45,28.9,kidney
JUND,Jund,B_scRNA_first,-0.109660699588524,0.389732746496895,-0.430928410964979,0.209967890811519,3,Endothelial,-1.3075549984915,0.0410104498734621,76.56,,cyan,0.626436184897801,FALSE,0.0103983547262478,0.944354962467827,-0.081647666189287,0.10006524029766,0,0,0,0,1,3,0,FALSE,0,TRUE,13,45,28.9,kidney
NUAK1,Nuak1,B_scRNA_first,-0.0238196797538004,0.835296994317904,-0.184972968087141,0.13651139792478,3,Endothelial,-0.864129165320937,0.0297736360932066,17.95,,magenta,0.419114446341394,FALSE,0.208830643086009,0.286215094898041,-0.0476227744403606,0.278316859025261,0,0,0,0,0,2,0,FALSE,2,TRUE,13,45,28.9,kidney
IGFBP2,Igfbp2,A_bulk_main,-0.855518113152715,0.0295921332158199,-0.506870835196095,-1.2023865784667,0,,,,,0.885437956363404,yellow,0.525006728692386,FALSE,-0.895971747106347,0.0605596598605545,0.0386260035297222,0.763969859025539,1,3,1,2,0,0,0,FALSE,2,TRUE,12,45,26.7,kidney
S100A6,S100a6,B_scRNA_first,0.0504376136885626,0.689520078479897,-0.0393161466828694,0.13973344671116,3,Endothelial,0.759566609381984,0.0449566218812883,72.8,,pink,0.6174802744853,FALSE,-0.0560099239071611,0.763200790192566,0.0125641311801068,0.791345622115653,0,0,0,0,0,3,0,FALSE,0,TRUE,12,45,26.7,kidney
VSNL1,"",A_bulk_main,-0.566664041219153,4.09482192397975e-06,-0.598506352371229,-0.534984190838261,0,,,,,,yellow,0.821138277195512,TRUE,0.250801178694978,0.16388672585107,-0.0969752383388795,0.0196360676771614,3,0,3,0,3,0,0,FALSE,0,TRUE,12,45,26.7,kidney
BEX3,Bex3,B_scRNA_first,-0.029166596840115,0.722221642551738,-0.0115415263890547,-0.0467017434623414,3,Endothelial,-0.701035064191147,0.0483652368931564,17.88,,,,,0.021167475728135,0.854825872540826,-0.0129219441509609,0.683715712725873,0,0,0,0,0,2,0,FALSE,0,TRUE,11,45,24.4,kidney
TAF7,Taf7,B_scRNA_first,-0.042462758028962,0.58561923879017,-0.0637687078829205,-0.0212655120007882,3,Endothelial,-0.714579987450725,0.0299909145867312,20.8,,,,,0.217647464076885,0.132366195802775,-0.0171523090782551,0.596259997956641,0,0,0,0,0,2,0,FALSE,0,TRUE,11,45,24.4,kidney
DNAJA4,Dnaja4,B_scRNA_first,-0.0589621129091415,0.232785100984239,-0.062166835615765,-0.0557737408285751,3,Endothelial,-1.19143372735119,0.00747143601340922,9.15,,,,,0.161097546671083,0.244823379208568,-0.022543612888965,0.283005394042979,0,0,0,0,0,1,0,FALSE,0,TRUE,10,45,22.2,kidney
IGFBP3,Igfbp3,B_scRNA_first,0.231841406981911,0.0347053681375458,0.316209588627577,0.147903675242601,0,Endothelial,-0.772925519981744,0.0416894528765844,59.97,,,,,0.216966353143794,0.1635759091446,0.0649912625369636,0.134441049941837,1,0,0,2,1,3,0,FALSE,0,TRUE,10,45,22.2,kidney
OAZ2,Oaz2,B_scRNA_first,0.266685764923273,0.042718335693861,0.482930755776436,0.0515440648397725,0,Endothelial,-0.764995907983206,0.0196104964697092,35.62,,turquoise,0.65572891528601,FALSE,0.354168219630536,0.113869782527172,0.0985455726880527,0.0759629802908659,1,0,0,2,1,3,0,FALSE,0,TRUE,10,45,22.2,kidney
PPARGC1A,Ppargc1a,A_bulk_main,-0.612471761557638,0.000603487342297342,-0.139428043637314,-1.08310199112123,0,,,,,0.511412590249102,yellow,0.68355856013531,FALSE,-0.17878527595253,0.626997634284481,0.0281064235189688,0.427618013161621,3,1,1,1,0,0,0,FALSE,0,TRUE,10,45,22.2,kidney
TNFAIP3,Tnfaip3,B_scRNA_first,-0.0487608736321711,0.571764369981645,-0.142177946327191,0.0441795813450175,3,Endothelial,-0.928768185254194,0.030650904197232,9.6,,,,,0.514096673395152,0.00137182338393747,-0.0331720339615249,0.247433259079911,0,0,0,0,0,1,0,FALSE,0,TRUE,10,45,22.2,kidney
PLK2,Plk2,B_scRNA_first,0.141076151252912,0.152439482258698,-0.0289677886173349,0.310252520001369,0,Endothelial,-0.764747289276689,0.030650904197232,40.59,,,,,0.756433454405345,0.00370014452980355,0.0190087251691012,0.432824037893484,0,0,0,3,0,3,0,FALSE,0,TRUE,9,45,20,kidney
PLPP3,Plpp3,B_scRNA_first,0.0289849039075155,0.878078349640136,0.164356054087197,-0.105695577138595,0,Endothelial,-0.626737378033864,0.0362793967459313,91.41,,yellow,0.293695080020099,FALSE,0.0888897814883626,0.580611278577793,0.12395101332255,0.119811735930968,0,0,1,1,1,3,1,FALSE,0,TRUE,9,45,20,kidney
CD36,Cd36,B_scRNA_first,0.228255319331112,0.102088419969093,0.3103615175878,0.146568030249203,0,Endothelial,-0.592650915088365,0.0483652368931564,23.93,,green,0.524336264956811,FALSE,0.666557701317806,0.00714599341198368,0.0353554678645817,0.471600133693758,0,0,0,3,0,2,0,FALSE,0,TRUE,8,45,17.8,kidney
HSP90AB1,Hsp90ab1,B_scRNA_first,0.169580408509995,0.263683893700117,0.236264971526779,0.10323607285554,0,Endothelial,-0.778501224531642,0.0266875040136543,94.23,,turquoise,0.224820464676948,FALSE,0.0929350064225616,0.460365108087478,0.156792964744517,0.00981051386464425,0,0,0,1,3,3,0,FALSE,0,TRUE,8,45,17.8,kidney
SRSF5,Srsf5,B_scRNA_first,0.210226410525657,0.131205991946765,0.358798672754354,0.0624121700430208,0,Endothelial,-0.651597889515971,0.0483866570115119,56.42,,,,,0.0825919375512554,0.57145717203786,0.169348199238373,0.00171037151969049,0,0,0,1,3,3,0,FALSE,0,TRUE,8,45,17.8,kidney
HSP90AA1,Hsp90aa1,B_scRNA_first,0.00481035169030654,0.967503826946102,-0.0517122932787103,0.0610446158176455,0,Endothelial,-1.42386690663596,0.0299909145867312,62.26,,blue,0.338727870075683,FALSE,0.180026246453042,0.0728686285616636,-0.0257939092652091,0.565128025106461,0,0,0,2,0,3,0,FALSE,0,TRUE,7,45,15.6,kidney
NPR3,Npr3,B_scRNA_first,0.0203494486925382,0.890787122453162,-0.0453698923351365,0.0857334869598663,0,Endothelial,-2.37766614677051,0.0189456197405018,30.23,,brown,0.684510382455366,FALSE,0.259166060754714,0.206193370765277,0.0157661992208178,0.770343817558349,0,0,0,1,0,3,0,FALSE,0,TRUE,5,45,11.1,kidney
PTPRU,Ptpru,B_scRNA_first,0.202447920491843,0.0243915061372563,0.105897512940477,0.298505723923046,0,Endothelial,-0.96717865396,0.0055068612389867,40.24,,turquoise,0.285493570559364,FALSE,-0.0445227386090434,0.711531322261949,0.00579513186851168,0.834513321776238,1,0,0,0,0,3,0,FALSE,0,TRUE,5,45,11.1,kidney
CST3,Cst3,B_scRNA_first,0.270888349341136,0.0786555098702495,0.491471083505967,0.0514310372893897,0,Endothelial,-0.641310498301503,0.0356915119366373,87.03,,green,0.807181214339203,FALSE,-0.201262011200627,0.470211050027926,0.115309019979645,0.0790537580655662,0,0,0,0,1,3,0,FALSE,0,TRUE,4,45,8.9,kidney
HSPB1,Hspb1,B_scRNA_first,0.238496406981687,0.204464814866026,0.41997637627881,0.057942355895258,0,Endothelial,-1.27963367906091,0.00386933678690547,84.45,,turquoise,0.794548254153442,FALSE,-0.112491359939253,0.567157078851536,0.120037128518896,0.128307836465899,0,0,0,0,1,3,0,FALSE,0,TRUE,4,45,8.9,kidney
HSPH1,Hsph1,B_scRNA_first,0.00616604421482287,0.955574184514963,-0.289558385422268,0.300381675741519,0,Endothelial,-1.60093537079059,0.0483652368931564,26.99,,blue,0.395396617231055,FALSE,0.22205673402899,0.229586401396192,-0.0341928676508623,0.372237612179174,0,0,0,1,0,2,0,FALSE,0,TRUE,4,45,8.9,kidney
EFNA1,Efna1,B_scRNA_first,0.0371893913890345,0.715484030686702,0.275274694258465,-0.199681190547392,0,Endothelial,-0.861002890116309,0.00690639034414065,39.27,,,,,-0.333230898015022,0.110803743154425,0.0169679392263013,0.64950022354538,0,0,0,0,0,3,0,FALSE,0,TRUE,3,45,6.7,kidney
STAT1,Stat1,B_scRNA_first,-0.251774852065856,0.0879704059635385,-0.552725001192355,0.0476398371161158,0,Endothelial,0.734605174984541,0.0462081507532062,27.03,,blue,0.57473875588284,FALSE,0.251781330133237,0.242950587238027,-0.10824803879554,0.0540094573316407,0,0,0,0,1,2,0,FALSE,0,TRUE,3,45,6.7,kidney
MXRA8,Mxra8,B_scRNA_first,-0.0485168840037571,0.659946466453628,9.11883638507871e-06,-0.0967953051967576,0,Endothelial,0.72496143143278,0.0443951941746484,20.24,,brown,0.636904807970196,FALSE,0.0340475817845532,0.715483370654191,0.0152485035981178,0.666831119376997,0,0,0,0,0,2,0,FALSE,0,TRUE,2,45,4.4,kidney
PALM,Palm,B_scRNA_first,0.00145622932872569,0.982575007458899,-0.000971338316251062,0.00387141142449241,0,Endothelial,-0.678258633041357,0.030650904197232,27.27,,,,,-0.173677223201112,0.208345970905041,-0.0188353502888863,0.446469798019359,0,0,0,0,0,2,0,FALSE,0,TRUE,2,45,4.4,kidney
PPP1R10,Ppp1r10,B_scRNA_first,0.00231755431937678,0.981590041010037,0.0107220092724596,-0.00604402076149681,0,Endothelial,-1.00279368469443,0.023500628525246,17.32,,grey,,FALSE,-0.238217175804794,0.152118215490173,0.0359093799685823,0.35385458298126,0,0,0,0,0,2,0,FALSE,0,TRUE,2,45,4.4,kidney
