tissue,gene,mouse,pool,logFC,P.Value,logFC_GSE15653,logFC_GSE64998,sc_STZ,best_cell_type,best_logFC_mouse,best_FDR_mouse,best_pct_detected,tau,module,kME_own,hub,val_logFC,val_P,hb_logFC,hb_P,bulk_DE,specificity,network,external_val,clinical,feasibility,protein,literature,druggability,manual_scores_missing,score,max_score,score_pct
liver,CCND1,Ccnd1,A_bulk_main,0.8031084765255,0.00074921048132828,0.941393777036094,0.665528713262408,1,Cholangiocyte,1.09527899016613,0.116685250545614,68.24,0.482923712234915,red,0.888689888944852,TRUE,0.534781435386029,0.0156965005660771,0.208072595107431,0.0233913431680304,3,1,3,3,3,3,2,FALSE,3,TRUE,32,45,71.1
liver,CDKN1A,Cdkn1a,B_scRNA_first,0.960105171790021,5.29391439571774e-06,0.826386736781334,1.0931413698854,3,Cholangiocyte,1.92225963356805,0.00892552773555026,27.67,,turquoise,0.643028825719179,FALSE,0.402420729949853,0.0635308499587564,0.138502005978953,0.082140245475672,3,0,1,2,1,2,2,FALSE,3,TRUE,30,45,66.7
liver,HMOX1,Hmox1,A_bulk_main,0.52609759432192,0.000628451001269195,0.674051731809264,0.378898324882978,0,Neutrophil,0.541523264921013,0.80438853849286,16.61,0.428573725634667,green,0.809652503262159,TRUE,0.318204601671001,0.188011885079203,0.0955684838896866,0.0891649482297882,3,1,3,2,1,2,3,FALSE,3,TRUE,26,45,57.8
liver,PNPLA3,Pnpla3,A_bulk_main,0.628534017510319,0.00085728393696283,0.856300369243766,0.401929738999999,0,,,,,0.91420287413787,turquoise,0.72637364025415,TRUE,0.46128975861202,0.0165506271244401,0.220453345539135,0.00290693785584488,3,3,3,3,3,0,1,FALSE,3,TRUE,26,45,57.8
liver,CD7,Cd7,B_scRNA_first,0.208528919704453,0.021475178854469,0.296720641994625,0.120787155181067,3,NK_cell,0.879114286606885,0.00721478602297177,69.63,,turquoise,0.755710986739518,TRUE,-0.0544476842149951,0.722400616433433,0.0302595250851146,0.420565202056037,1,0,3,0,0,3,3,FALSE,2,TRUE,25,45,55.6
liver,ATP1B1,Atp1b1,B_scRNA_first,-0.269539821868371,0.0225678950530726,-0.261045946759862,-0.277990360879388,3,NK_cell,-0.847547685223584,0.0361323337959629,30.87,,blue,0.5332758406393,FALSE,0.252420638817339,0.0553631603013856,-0.0424425619318115,0.395749096050098,1,0,1,0,0,3,3,FALSE,3,TRUE,24,45,53.3
liver,HSPA5,Hspa5,B_scRNA_first,0.667859314513745,0.000274586064677068,0.741833219294242,0.594262827614778,0,NK_cell,-0.59241918611231,0.0388585477151566,80.37,,red,0.882952867767742,TRUE,0.10762458121402,0.435245200779886,0.108567180230805,0.119230324265931,3,0,3,1,1,3,3,FALSE,3,TRUE,24,45,53.3
liver,CMA1,Cma1,B_scRNA_first,-0.0903243988255262,0.197652968083621,-0.0909875759766977,-0.08966460523125,3,NK_cell,-1.13819739072147,0.0261955328444425,12.92,,,,,-0.0958937242577186,0.328948339201737,-0.0305990159963424,0.115294183023234,0,0,0,1,1,2,3,FALSE,2,TRUE,22,45,48.9
liver,CTSD,Ctsd,A_bulk_main,0.547802129648465,0.00704034286440144,0.921748317739147,0.175763830272531,1,cDC,0.946618500669427,0.99875188110707,25.03,0.318782241890882,turquoise,0.953657729862606,TRUE,-0.157039544623176,0.434198939363824,0.183113811066025,0.0380960848294034,2,0,3,0,3,2,2,FALSE,3,TRUE,22,45,48.9
liver,TOX,Tox,B_scRNA_first,0.0764350914384563,0.360024773640697,0.11475462916239,0.0383110615600536,3,NK_cell,1.38343441588506,0.00756675870519637,32.38,,,,,0.123633943464331,0.150663986396697,0.0205368108860875,0.366736524935533,0,0,0,2,0,3,3,FALSE,0,TRUE,22,45,48.9
liver,FBP1,Fbp1,A_bulk_main,0.619906449388021,0.00253757287048046,1.05174507415686,0.190271082908816,0,,,,,0.936831039642741,turquoise,0.8840096898442,TRUE,-0.0759994230636428,0.652104989245547,0.251812814514357,0.00296786969117609,2,3,3,0,3,0,3,FALSE,2,TRUE,21,45,46.7
liver,GPX1,Gpx1,A_bulk_main,0.687834420558472,0.00120947147350558,1.0930185076637,0.284717599203775,1,Cholangiocyte,0.370586625927453,0.65469342039122,78.3,0.282355045322677,green,0.854633401440022,TRUE,0.120428498158665,0.300672654836046,0.214066135598976,0.0146652127846532,2,0,3,1,3,3,1,FALSE,1,TRUE,21,45,46.7
liver,IRS2,Irs2,A_bulk_main,-0.584420274513232,0.00290962468594569,-0.739994083809521,-0.429640209141921,1,pDC,-0.857399441610167,0.64871054260738,22.46,0.426576860094341,tan,0.771622098386666,TRUE,0.0780933597819761,0.770138361375169,-0.199447303389412,0.00795633306794287,2,1,3,0,3,2,1,FALSE,3,TRUE,21,45,46.7
liver,KLRB1,Klrb1f,B_scRNA_first,0.189594396026711,0.141600888954916,0.120010731148695,0.258823042206368,3,NK_cell,0.78495010427156,0.0361323337959629,40.27,,purple,0.506489368607971,FALSE,0.621975226220077,0.00515911031622868,0.0467488544919739,0.337320919014504,0,0,0,3,0,3,1,FALSE,1,TRUE,21,45,46.7
liver,SATB1,Satb1,B_scRNA_first,-0.223901910677678,0.0318749868130016,-0.257232544455909,-0.190741331153419,3,NK_cell,-0.901089803931774,0.00756675870519637,45.3,,,,,0.00848859495806727,0.965362825740838,-0.0683573475530922,0.103737517074509,1,0,0,0,1,3,3,FALSE,0,TRUE,21,45,46.7
