seurat_clusters,sing_Heart,sing_Kidney,sing_Liver,sing_Spleen,Doublet,Negative,Singlet,top_markers,n,top_singlet_tissue,purity_singlet
14,69,275,835,698,524,145,1877,"H2-Ab1,H2-Eb1,Plbd1,Gm2a,H2-Aa,Tmsb4x,Ifi30,Cd74,Lsp1,H2-DMb1,Spi1,Alox5ap",2546,Liver,44.5
35,68,54,157,87,24,19,366,"Il7r,S100a4,Emb,Cxcr6,Tmem176a,Cd3g,Tmem176b,Itgb7,Thy1,Trbc2,Maf,Ramp1",409,Liver,42.9
25,37,93,153,95,440,197,378,"Lyz2,Mt1,Cst3,Mgp,Fcer1g,Gsn,Cebpd,Clec3b,Mfap5,S100a6,Bgn,Cxcl1",1015,Liver,40.5
24,21,59,80,45,64,841,205,"Atp6v1g3,mt-Cytb,Tmem213,mt-Nd4,Car2,mt-Co1,mt-Co3,Atp1b1,mt-Nd1,Ldhb,mt-Nd5,Cox6c",1110,Liver,39
6,109,135,244,142,103,5109,630,"Gsn,Dcn,Mgp,Mt1,S100a6,Cebpd,Igfbp7,Cxcl1,Bgn,Serping1,Egr1,Sparc",5842,Liver,38.7
3,283,872,897,364,873,6021,2416,"Actb,Uba52,Lyz2,Mgp,Gsn,Mt1,Dcn,Apoe,Cst3,Tmsb10,S100a6,mt-Nd4l",9310,Liver,37.1
37,5,6,10,10,1,252,31,"Rgs5,Pdgfrb,Cald1,Malat1,Ndufa4l2,Gucy1a1,Notch3,Abcc9,Gucy1b1,Cox4i2,Mfge8,Rbpms",284,Liver,32.3
1,27,13,296,6944,350,1760,7280,"Cd79b,Cd79a,Ly6d,Ms4a1,Ighm,Igkc,Iglc2,Iglc3,Cd37,Cd74,Ralgps2,Cd52",9390,Spleen,95.4
2,94,30,719,6486,148,1846,7329,"Cd79a,Cd79b,Igkc,Ighm,Cd74,Ly6d,H2-Aa,Ighd,Ms4a1,Cd37,Iglc2,H2-Eb1",9323,Spleen,88.5
27,25,6,137,344,74,95,512,"Dpep1,Dcn,Htra3,Smoc2,Lpl,Crispld2,Cygb,Gpx3,Gsn,Sparcl1,Lama2,Mgp",681,Spleen,67.2
39,4,1,34,76,11,61,115,"Igkc,Cd79a,Cd79b,Cd74,Ighm,Ms4a1,Iglc2,Fcmr,H2-Aa,Iglc3,H2-Ab1,Ly6d",187,Spleen,66.1
19,149,38,334,893,126,217,1414,"Ccl5,Nkg7,Gzma,AW112010,Prf1,Klre1,Klrk1,Fcer1g,Tyrobp,Klrb1c,Ptprc,Il2rb",1757,Spleen,63.2
7,82,128,1066,2160,240,217,3436,"Trbc2,Cd3d,Cd3g,Ms4a4b,Trac,Cd3e,Ms4a6b,Lck,Tmsb10,H2-Q7,Rpl12,Lat",3893,Spleen,62.9
36,11,9,78,126,85,13,224,"Ms4a4b,Trbc2,Htra3,Gsn,Clec3b,Dcn,Dpep1,Bicc1,Col6a1,Lamc1,Tnxb,Pcolce",322,Spleen,56.2
34,22,11,133,164,13,86,330,"mt-Co1,mt-Atp6,mt-Co3,mt-Co2,mt-Cytb,mt-Nd1,mt-Nd2,Malat1,mt-Nd4,mt-Nd5,Ebf1,Gm42418",429,Spleen,49.7
18,49,144,301,401,220,650,895,"Hist1h2ap,Hmgb2,H2afz,Stmn1,Mki67,Hist1h2ae,Actb,Tubb5,Ptma,Pclaf,Top2a,Hist1h1b",1765,Spleen,44.8
22,24,120,78,179,69,929,401,"Atp1b1,Atp1a1,mt-Nd4,mt-Cytb,mt-Co3,mt-Co1,mt-Co2,Fxyd2,Spp1,mt-Nd1,mt-Nd2,mt-Nd4l",1399,Spleen,44.6
13,51,346,975,1009,254,51,2381,"Nkg7,Ccl5,Cd3g,Cd3d,Ms4a4b,Trbc2,Hcst,H2-Q7,AW112010,Cd3e,Tmsb10,Lck",2686,Spleen,42.4
15,250,56,586,633,392,95,1525,"Lyz2,Lgals3,S100a4,Ms4a6c,Alox5ap,Psap,Tyrobp,Fcer1g,Plac8,Cybb,Ifitm3,Prdx5",2012,Spleen,41.5
10,128,20,104,137,33,2574,389,"Mfap5,Pi16,Fstl1,Timp2,Fbln2,Cd34,Pcolce2,Fbn1,Igfbp6,Vim,Serpinb6a,Axl",2996,Spleen,35.2
