cluster,n,pct_singlet,pct_negative,pct_doublet,score_Kidney,score_Liver,singlet_Heart,singlet_Kidney,singlet_Liver,singlet_Spleen,top_markers
1,7441,21.6,73.7,4.6,0.150599837778939,0.0225703153555262,160,147,613,688,"Gsn,Dcn,Mgp,Mt1,Cebpd,S100a6,Igfbp7,Cxcl1,Egr1,Serping1,Bgn,Clec3b"
35,393,15,81.7,3.3,0.148739358006741,0.0204025647568539,13,13,17,16,"Rgs5,Cald1,Pdgfrb,Ndufa4l2,Gucy1a1,Notch3,Abcc9,Malat1,Cox4i2,Gng11,Gucy1b1,Mfge8"
29,576,59.5,21,19.4,0.146517350838346,0.0440463933408716,7,11,303,22,"C1qa,Cd5l,C1qb,Clec4f,Apoe,C1qc,Wfdc17,Ctsb,Apoc1,Lyz2,Vsig4,Fcna"
22,1313,47.4,37.4,15.2,0.145680825194882,0.0237749254894521,43,94,237,249,"Hist1h2ap,Hmgb2,Actb,H2afz,Stmn1,Ptma,Hist1h2ae,Tubb5,Mki67,Pclaf,Tmsb10,Top2a"
20,1501,37.3,46.9,15.8,0.134412754749359,0.0182980202023052,65,272,77,146,"Ly6c1,Fabp4,Flt1,Emcn,Plvap,Pbx1,Meis2,Igfbp5,Egfl7,Kdr,Plpp1,Ptprb"
8,3147,57.3,40.5,2.2,0.102983932935072,0.00848764409887973,6,1758,29,11,"Emcn,Ly6c1,Flt1,Plvap,Plpp1,Pbx1,Egfl7,Meis2,Adgrl4,Ptprb,Ly6a,Slc9a3r2"
18,1673,68.7,18.9,12.4,0.102360511591678,0.0130241648259937,2,46,933,169,"Siglech,Bst2,Irf8,Tyrobp,Cox6a2,Ccr9,Plac8,Rpl31,Psap,Ly6c2,Mpeg1,Pld4"
11,2986,52.9,39.7,7.4,0.0999416151998818,0.0124737732957682,1355,46,78,102,"Fabp4,Cd36,Cavin2,Ly6c1,Flt1,Mgll,Cav1,Cxcl12,Egfl7,Cdh5,Adgrf5,Gpihbp1"
15,2449,62.8,15.4,21.8,0.0998159820212001,0.0138622779953542,205,30,766,536,"S100a9,S100a8,Tyrobp,Msrb1,S100a11,Retnlg,Il1b,Slpi,Csf3r,Srgn,Hdc,Fcer1g"
21,1370,75.8,14.7,9.5,0.0981601652479041,0.0333003251777249,7,5,1006,21,"Ptprb,Ehd3,Selenop,Aqp1,Gm42418,Maf,Egfl7,Dnase1l3,F8,Kdr,Adgrf5,Stab1"
17,1909,58.4,12.6,29,0.0979599728150046,0.0131227223767332,200,73,595,247,"Fcer1g,Gngt2,Tyrobp,Lst1,Lyz2,Fyb,Gpx1,Cybb,Cebpb,Ctsb,Csf1r,Laptm5"
13,2586,79.5,12.4,8.1,0.0947643987099761,0.00880157662944931,188,110,810,948,"Ccl5,Nkg7,AW112010,Klrk1,Fcer1g,Il2rb,Klre1,Tyrobp,Gzma,Klrb1c,Ctsw,Ncr1"
9,3039,68,12.5,19.5,0.0919384664755609,0.00974154152143488,89,331,937,710,"H2-Ab1,H2-Eb1,Tmsb4x,H2-Aa,Plbd1,Gm2a,Cd74,Ifi30,Tyrobp,Lsp1,H2-DMb1,Alox5ap"
12,2973,61.4,21.3,17.3,0.0913214027078787,0.0114222167266236,302,102,720,702,"Lyz2,S100a4,Lgals3,Tyrobp,Fcer1g,Ifitm3,Alox5ap,Psap,Ccl6,Gpx1,Ms4a6c,Plac8"
40,31,58.1,16.1,25.8,0.090949454898079,0.963197519384786,0,0,18,0,"Tstd1,Dsg2,Clu,Tm4sf4,Ambp,Ttr,Krt8,Krt18,Sorbs2,Spp1,Epcam,Cldn3"
14,2541,16.8,81.6,1.6,0.0877311545579295,0.0470738519676833,249,31,86,60,"Apoe,Mgp,Fbln1,Dcn,Cfh,Gsn,Igfbp7,Ccdc80,Egr1,Cst3,Dpt,Bgn"
28,587,76.5,21,2.6,0.0822198117820282,0.0062133881851986,25,11,145,268,"mt-Atp6,mt-Co2,mt-Co3,mt-Co1,mt-Cytb,mt-Nd1,mt-Nd2,Malat1,mt-Nd4,mt-Nd5,Ebf1,Mef2c"
16,2190,13,85.1,1.9,0.0741009907063781,0.0170247242878288,69,18,87,111,"Bgn,Mfap5,Igfbp7,Vim,Fstl1,Fbln2,Pi16,Pmepa1,Pam,Cfh,Cd9,Ccdc80"
36,261,81.2,9.6,9.2,0.0692925494524675,0.0083739251938432,0,12,37,163,"Mzb1,Igkc,Jchain,Iglc1,Sec11c,Eaf2,Xbp1,Ssr4,Txndc5,Derl3,Iglc2,Fkbp2"
37,215,23.7,0.9,75.3,0.0692907889582171,0.0158127086977724,1,1,41,8,"Ehd3,Cd3g,Ptprb,Trbc2,Dnase1l3,Maf,Cd3d,Selenop,Cd3e,Fcgr2b,Clec4g,Aqp1"
3,6659,88.8,3.5,7.8,0.0680627872735255,0.00688657767751908,134,455,2044,3277,"Trbc2,Cd3d,Cd3g,Ms4a4b,Cd3e,Trac,Tmsb10,H2-Q7,Ms4a6b,Lck,Rpl13a,Hcst"
10,3036,11.8,87.4,0.8,0.0650929950865166,0.00892442114750275,107,19,101,132,"Timp2,Mfap5,Clec3b,Pi16,Axl,Gfpt2,Cd34,Pcsk6,Pcolce2,Fstl1,Dpt,Fbln2"
0,18845,83.1,13.7,3.3,0.0650149376062869,0.0110354339971628,200,47,1099,14308,"Cd79a,Cd79b,Ighm,Igkc,Ly6d,Ms4a1,Cd74,Iglc2,Cd37,Iglc3,H2-Aa,Fcmr"
2,7131,9.1,90.1,0.8,0.0630974280097277,0.0201413167910791,301,33,201,117,"Dcn,Htra3,Serping1,Dpep1,Gsn,Igfbp7,Smoc2,Cygb,Rnase4,Col1a2,Ogn,Gpx3"
5,5768,88.7,4.5,6.8,0.0625763002286398,0.00699090218187954,722,82,3929,383,"Ccr7,H2-Aa,Rps27,Stk17b,Rel,Cd74,Igkc,Ebf1,Cd79a,Fau,H2-Ab1,H3f3a"
33,442,87.1,6.3,6.6,0.0601097292359642,0.0112995472328647,69,69,169,78,"Il7r,Emb,S100a4,Cxcr6,Tmem176a,Tmem176b,Cd3g,Thy1,Itgb7,Trbc2,Maf,Ramp1"
7,3598,89.2,0.7,10.1,0.0569096542136453,0.00770765721816244,101,93,2995,21,"Hspa1a,Hsp90aa1,Hspa1b,Rps27,Cd83,Rel,Hsph1,Klf2,Hspa8,Hsp90ab1,Fau,Dnajb1"
4,6127,11.7,87.4,0.9,0.0564506311574333,0.0201263804026172,403,52,159,104,"Mt1,Cxcl1,Dcn,Cebpd,Gsn,Serping1,Sparcl1,Gpx3,Mt2,Dpep1,Bgn,Igfbp7"
19,1623,28,3.2,68.8,0.0546906491712917,0.00641174956466929,5,25,209,216,"Trbc2,Cd3d,Cd3g,Ms4a4b,Rpl13a,Rpl12,Trac,Rps27,Rpl19,Rps15a,Rps24,Rps16"
38,204,23,1,76,0.0488763089254974,0.00867763409251408,4,0,35,8,"Msrb1,S100a8,Tyrobp,S100a9,Csf3r,Fcer1g,Lst1,Cebpb,Ccl6,Spi1,Il1b,Alox5ap"
39,150,82.7,0,17.3,0.0404142886014568,0.00929912088552587,6,3,47,68,"Lyz2,S100a4,Lgals3,Ifitm6,Ifitm3,Plac8,Alox5ap,Psap,Ms4a6c,Gpx1,Cybb,Fcer1g"
