cluster,n,top_markers,n_cv_hi,acc_hi,rescue_eligible
25,1100,"mt-Nd4,mt-Cytb,mt-Co3,mt-Co1,Atp1b1,mt-Co2,mt-Nd1,Fxyd2,mt-Nd4l,mt-Nd2,mt-Atp6,mt-Nd5",,,FALSE
26,942,"Atp6v1g3,Tmem213,mt-Cytb,Car2,mt-Nd4,mt-Co1,Atp1b1,Ldhb,mt-Co3,mt-Nd1,mt-Nd5,Cox8a",,,FALSE
27,874,"Clu,Spp1,Alb,Apoe,Ttr,Tm4sf4,Dbi,Krt8,Tstd1,Anxa5,Krt18,Ambp",,,FALSE
30,533,"Atp1b1,Epcam,Cdh16,Pdzk1ip1,Mal,Cryab,Spint2,Sdc4,Cystm1,Cldn7,Apela,Malat1",,,FALSE
32,503,"Aldob,Fxyd2,Gpx3,Fth1,Dbi,Akr1c21,Gpx1,Prdx5,Ass1,Miox,Spink1,Chchd10",,,FALSE
34,400,"Fabp1,Apoc1,Ftl1,Aldob,Dbi,Apoa2,Ttc36,Gnmt,Fth1,Ass1,Phyh,Arg1",,,FALSE
40,31,"Tstd1,Dsg2,Clu,Tm4sf4,Ambp,Ttr,Krt8,Krt18,Sorbs2,Spp1,Epcam,Cldn3",,,FALSE
31,506,"Uba52,Actb,Tmsb10,Ccl5,Gm10076,Gsn,Mgp,Dcn,Trbc2,Mt1,Ms4a4b,Cd3d",2,0.5,FALSE
20,1501,"Ly6c1,Fabp4,Flt1,Emcn,Plvap,Pbx1,Meis2,Igfbp5,Egfl7,Kdr,Plpp1,Ptprb",12,0.583333333333333,FALSE
16,2190,"Bgn,Mfap5,Igfbp7,Vim,Fstl1,Fbln2,Pi16,Pmepa1,Pam,Cfh,Cd9,Ccdc80",3,0.666666666666667,FALSE
2,7131,"Dcn,Htra3,Serping1,Dpep1,Gsn,Igfbp7,Smoc2,Cygb,Rnase4,Col1a2,Ogn,Gpx3",4,0.75,FALSE
39,150,"Lyz2,S100a4,Lgals3,Ifitm6,Ifitm3,Plac8,Alox5ap,Psap,Ms4a6c,Gpx1,Cybb,Fcer1g",42,0.761904761904762,FALSE
1,7441,"Gsn,Dcn,Mgp,Mt1,Cebpd,S100a6,Igfbp7,Cxcl1,Egr1,Serping1,Bgn,Clec3b",79,0.784810126582278,FALSE
22,1313,"Hist1h2ap,Hmgb2,Actb,H2afz,Stmn1,Ptma,Hist1h2ae,Tubb5,Mki67,Pclaf,Tmsb10,Top2a",10,0.8,FALSE
23,1215,"Uba52,Actb,mt-Co3,Igkc,Gsn,Cd74,Dcn,H2-Aa,Mgp,H2-Eb1,H2-Ab1,Ighm",15,0.8,FALSE
24,1161,"Lyz2,Mt1,Cst3,Mgp,Gsn,Cebpd,Fcer1g,Clec3b,Apoe,Dcn,S100a6,Tyrobp",5,0.8,FALSE
12,2973,"Lyz2,S100a4,Lgals3,Tyrobp,Fcer1g,Ifitm3,Alox5ap,Psap,Ccl6,Gpx1,Ms4a6c,Plac8",216,0.814814814814815,FALSE
33,442,"Il7r,Emb,S100a4,Cxcr6,Tmem176a,Tmem176b,Cd3g,Thy1,Itgb7,Trbc2,Maf,Ramp1",46,0.847826086956522,FALSE
15,2449,"S100a9,S100a8,Tyrobp,Msrb1,S100a11,Retnlg,Il1b,Slpi,Csf3r,Srgn,Hdc,Fcer1g",503,0.852882703777336,FALSE
28,587,"mt-Atp6,mt-Co2,mt-Co3,mt-Co1,mt-Cytb,mt-Nd1,mt-Nd2,Malat1,mt-Nd4,mt-Nd5,Ebf1,Mef2c",48,0.875,FALSE
13,2586,"Ccl5,Nkg7,AW112010,Klrk1,Fcer1g,Il2rb,Klre1,Tyrobp,Gzma,Klrb1c,Ctsw,Ncr1",733,0.884038199181446,FALSE
9,3039,"H2-Ab1,H2-Eb1,Tmsb4x,H2-Aa,Plbd1,Gm2a,Cd74,Ifi30,Tyrobp,Lsp1,H2-DMb1,Alox5ap",590,0.884745762711864,FALSE
36,261,"Mzb1,Igkc,Jchain,Iglc1,Sec11c,Eaf2,Xbp1,Ssr4,Txndc5,Derl3,Iglc2,Fkbp2",61,0.885245901639344,FALSE
3,6659,"Trbc2,Cd3d,Cd3g,Ms4a4b,Cd3e,Trac,Tmsb10,H2-Q7,Ms4a6b,Lck,Rpl13a,Hcst",2524,0.892234548335975,FALSE
38,204,"Msrb1,S100a8,Tyrobp,S100a9,Csf3r,Fcer1g,Lst1,Cebpb,Ccl6,Spi1,Il1b,Alox5ap",12,0.916666666666667,FALSE
10,3036,"Timp2,Mfap5,Clec3b,Pi16,Axl,Gfpt2,Cd34,Pcsk6,Pcolce2,Fstl1,Dpt,Fbln2",1,1,FALSE
35,393,"Rgs5,Cald1,Pdgfrb,Ndufa4l2,Gucy1a1,Notch3,Abcc9,Malat1,Cox4i2,Gng11,Gucy1b1,Mfge8",1,1,FALSE
4,6127,"Mt1,Cxcl1,Dcn,Cebpd,Gsn,Serping1,Sparcl1,Gpx3,Mt2,Dpep1,Bgn,Igfbp7",1,1,FALSE
