cluster,n_cells,auto_label,score1,second,score2,gap,mixed_lineage,high_sets,low_confidence,SingleR_ImmGen_major,SingleR_ImmGen_frac,SingleR_MouseRNAseq_major,SingleR_MouseRNAseq_frac,top_markers,cell_type,cell_class
12,360,Macrophage_other,0.62,Neutrophil,-0.15,0.78,FALSE,"",FALSE,Monocytes,0.84,Monocytes,0.89,"Fcer1g,Gngt2,Cst3,Lst1,Gpx1,Clec4a3,Ctsb,Fcgr4,Tyrobp,Tln1,Grk3,Calm1",Monocyte,Myeloid
9,560,Monocyte,2.83,Macrophage_other,0.29,2.54,FALSE,Monocyte,FALSE,Monocytes,0.98,Monocytes,0.99,"Lyz2,Lgals3,S100a4,Ms4a6c,Ifitm3,Prdx5,Fcer1g,Psap,Ctss,Cebpb,Plac8,Gpx1",Monocyte,Myeloid
13,360,NK_cell,2.12,Monocyte,-0.2,2.32,FALSE,NK_cell,FALSE,ILC,0.96,NK cells,1,"Ccl5,Xcl1,AW112010,Nkg7,Il2rb,Cd7,Klrk1,Ctsw,H2-Q7,H2-K1,Ncr1,Klre1",NK_cell,Lymphoid
14,236,NK_cell,3.18,Monocyte,0.15,3.03,FALSE,NK_cell,FALSE,ILC,0.5,NK cells,1,"Ccl5,Nkg7,Gzma,AW112010,Klre1,Prf1,Klrk1,Ptprc,Il2rb,Fcer1g,Ms4a4b,H2afz",NK_cell,Lymphoid
8,572,Neutrophil,4.23,Plasma_cell,0.02,4.21,FALSE,Neutrophil,FALSE,Neutrophils,0.99,Granulocytes,1,"S100a9,S100a8,S100a11,Msrb1,Tyrobp,Cebpb,Srgn,Fxyd5,Hdc,Mxd1,Ifitm2,Csf3r",Neutrophil,Myeloid
3,1231,T_cell,2.58,NK_cell,0.35,2.22,FALSE,T_cell,FALSE,NKT,0.61,T cells,0.86,"Cd3g,Cd3d,Trbc2,Tmsb10,Nkg7,Cd3e,AW112010,Hcst,Ms4a4b,Ccl5,Trac,H2-Q7",T_cell,Lymphoid
4,787,T_cell,2.57,Proliferating,-0.21,2.78,FALSE,T_cell,FALSE,T cells,0.95,T cells,0.99,"Rplp1,Tpt1,Rpl12,Rps16,Rplp0,Rpl5,Rps23,Rps14,Cd3d,Rps24,Rps15a,Trbc2",T_cell,Lymphoid
10,369,Proliferating,4.07,cDC,2.57,1.49,TRUE,Proliferating;cDC,FALSE,DC,0.76,Monocytes,0.78,"H2afz,Tmsb4x,Actb,Cst3,Crip1,Psmb9,Tmsb10,Ckb,Psmb8,Actg1,Plbd1,Lgals3",cDC,Myeloid
11,362,cDC,1.57,Monocyte,0.39,1.18,FALSE,cDC,FALSE,DC,0.67,Monocytes,0.99,"Ifi30,S100a4,H2-Ab1,H2-Eb1,Gm2a,H2-Aa,Tmsb4x,Cd74,Plbd1,H2-DMb1,Lsp1,Atox1",cDC,Myeloid
5,748,pDC,4.05,Monocyte,1.36,2.69,TRUE,pDC;Monocyte;Plasma_cell;cDC,FALSE,DC,0.98,B cells,0.85,"Bst2,Siglech,Irf8,Rpl31,Ccr9,Cox6a2,Plac8,Rnase6,Mpeg1,Tcf4,Tyrobp,Ctsl",pDC,Myeloid
