gene,module,GS_T2D,GS_p,MM_green,MM_magenta,kME_own,hub
ACP5,brown,0.307096493611537,0.0572159353419846,0.504382733760467,-0.256721366695264,0.653568785547899,FALSE
ACP6,grey,-0.334976662053865,0.0371133428859556,0.0451273156006576,0.0618985646241971,,FALSE
ACR,black,-0.259066400108854,0.111260048180647,-0.397282043789731,0.0954408774204452,0.483558345322343,FALSE
ACSF2,turquoise,0.0733495894976576,0.657213801499386,0.51750140060194,-0.146715975222035,0.527542294826748,FALSE
ACSL1,turquoise,0.198832350688307,0.224950596331921,0.530786234013961,-0.109376101399802,0.445220483886252,FALSE
ACSL3,yellow,-0.0644111603224678,0.696858072130504,-0.0615837340588048,0.0931565751280915,0.601547531543038,FALSE
ACSL5,magenta,-0.260946209093068,0.108597871752619,-0.370659996538657,0.706089141003271,0.706089141003271,FALSE
ACSM1,grey,-0.178706680919164,0.27637260791941,-0.487348070271506,0.30385782591965,,FALSE
ACSM3,magenta,0.0131592470319405,0.936627716407152,-0.286461756046587,0.628045935437717,0.628045935437717,FALSE
ACSM5,turquoise,0.0362133118807487,0.826754617787583,0.0885514960950259,0.309858804712152,0.338820091961527,FALSE
ACSS3,blue,0.0660183688532795,0.689667133952378,0.0734858932155359,0.0822252740003276,0.381821626307691,FALSE
ACTA1,turquoise,0.216380823793481,0.185811932600904,0.291157725977364,-0.271067320562659,0.490836117739805,FALSE
ACTA2,tan,0.034784267992673,0.833493187163503,-0.285967536409525,0.185843689067244,0.765178492387208,FALSE
ACTB,brown,0.0260646725405297,0.874847246191841,0.409028093254862,-0.415833578012128,0.331053662617243,FALSE
ACTG1,salmon,0.143214511080381,0.384425355252604,0.350459435419891,-0.266813420991145,0.638033062875914,FALSE
ACTG2,tan,0.155476750010661,0.344594575305805,-0.173976874426521,-0.064175291640924,0.594393449159584,FALSE
ACTL7B,turquoise,-0.0525055422087629,0.750903858511864,0.0184496577542348,-0.0589640063304309,0.362482321753473,FALSE
ACTMAP,yellow,0.0290511789299974,0.860640626740442,-0.0631441420065447,-0.00622222908198904,0.486034670606503,FALSE
ACTN1,brown,0.362937380503271,0.0231560445357303,0.666152600255119,-0.47824726546609,0.809836453622269,FALSE
ACTN3,turquoise,0.184911450462874,0.259762578648937,0.0589463946828604,-0.206997662438098,0.391571784679518,FALSE
ACTN4,brown,0.101958270307697,0.536822023140508,0.593030006224605,-0.422032928502075,0.621942528209474,FALSE
ACTR10,blue,-0.0799107594861789,0.628683588088235,0.0276212088255571,0.300003202016698,0.748588502763935,FALSE
ACTR1A,green,0.253004706702947,0.120181398032716,0.706695216012619,-0.528607724376865,0.706695216012619,FALSE
ACTR1B,brown,0.218481936086692,0.18147203871297,0.52900865300273,-0.340682403002542,0.746119712282463,FALSE
ACTR2,red,-0.117665878555491,0.475598615945042,-0.0950527106166889,-0.0376761256242179,0.777015174502595,FALSE
ACTR3,blue,-0.0414765388010785,0.80204502938138,-0.0954080666709803,0.207294533151256,0.68026110727343,FALSE
ACTR5,grey,0.156504937778789,0.341373830356077,-0.11573640438658,0.0588933403218901,,FALSE
ACVR1B,blue,0.198549612159357,0.225624145137184,0.14981689629031,-0.0735803289410934,0.278008474319902,FALSE
ACVR2A,blue,-0.146514189872439,0.373450855407134,-0.401574010352401,0.355902002157749,0.524555337112154,FALSE
ACVR2B,grey,-0.263809680187199,0.10463586415572,-0.352276544839184,0.247824761165957,,FALSE
ACVRL1,greenyellow,0.344256326744377,0.0318720915451913,0.252402794497065,-0.413288449761183,0.53919457515581,FALSE
ACYP2,pink,-0.113777018063194,0.490405345456583,0.432528976608917,-0.0269809946183145,0.696645883193135,FALSE
ADA,red,0.117057781273317,0.477898305303254,-0.0881691127931989,-0.156749417753557,0.592052435851413,FALSE
ADA2,greenyellow,0.201347771853732,0.219018878977372,0.325346628505718,-0.277419545233956,0.825733440711819,FALSE
ADAM10,blue,-0.182448466794234,0.266274770405071,-0.446836389815004,0.466434000457229,0.882904235361436,FALSE
ADAM11,grey,0.322975805999654,0.0449132750455964,0.0503353636741705,-0.16087881754885,,FALSE
ADAM12,black,-0.215758829198324,0.187110671248763,-0.244379667804056,0.0133583930513789,0.365811342984256,FALSE
ADAM15,turquoise,0.139285350337645,0.397737115668122,0.469426299029026,-0.434499252084934,0.569289808046754,FALSE
ADAM17,blue,-0.239268429729402,0.142370508718003,-0.238523836761587,0.31597347002972,0.78480471632743,FALSE
ADAM19,greenyellow,-0.145967292178674,0.375256823497581,0.0803414475490739,-0.159599303139362,0.501561165113146,FALSE
ADAM20,grey,-0.423317265504175,0.0072496262621456,-0.354074967429988,0.261035005193454,,FALSE
ADAM28,black,0.0383865861865265,0.816530232781001,0.0178221479721587,-0.130482751147249,0.508251702019747,FALSE
ADAM8,turquoise,0.154137233615684,0.348818317747169,0.413475678556503,-0.336355525724491,0.734245780491772,FALSE
ADAMTS1,salmon,0.0844723008911267,0.609154069159732,-0.0417949648053524,0.0312536091255922,0.429886663970459,FALSE
ADAMTS12,black,-0.182619061634223,0.265820272600983,-0.0926332850792265,-0.257172792683425,0.662529194561373,FALSE
ADAMTS13,turquoise,0.287154792445942,0.07631536239931,0.433831946046636,-0.550580125467691,0.779214224961377,FALSE
ADAMTS2,black,-0.0437739108465884,0.791317154745232,-0.226102057971462,-0.035418834939381,0.600437000182366,FALSE
ADAMTS5,blue,-0.0952904922649095,0.5639103366803,-0.317240769492054,0.132760288739955,0.475558949830336,FALSE
ADAMTS7,turquoise,0.188998178525417,0.249192214672818,0.171432559256165,-0.310561697474199,0.677444565630719,FALSE
ADAMTS9,red,-0.0558172211823482,0.735739594938749,-0.276180750153113,0.0284226953277117,0.536510227582442,FALSE
ADAMTSL2,turquoise,0.240764401450159,0.139817304345781,0.369411380105485,-0.479935758585309,0.632246547883298,FALSE
ADAMTSL3,yellow,-0.33565529882866,0.0367076169569737,-0.701569364396038,0.494685087385798,0.789747435361457,FALSE
ADAMTSL4,grey,0.0892220917840362,0.589098747958234,0.216083455102739,-0.22602259799581,,FALSE
ADAP1,black,0.204225608678251,0.212365680218663,-0.0720397520525104,-0.309048826047663,0.607581423196555,FALSE
ADAP2,greenyellow,0.0866281093890767,0.600015336894308,0.225911113068733,-0.146557333031309,0.616359438087743,FALSE
ADAR,turquoise,-0.00269936025995548,0.986987844373757,0.275297879046472,0.15423786346813,0.322956177942458,FALSE
ADARB1,turquoise,0.0804121874171256,0.626524252556861,0.323101073627482,-0.275051354662075,0.714803532320985,FALSE
ADAT1,blue,0.00369713033717139,0.982178798024737,0.308822959175938,-0.0681842844682057,0.292327412983713,FALSE
ADCK2,turquoise,0.165987564354424,0.312546294041712,0.623585419864005,-0.566637244155866,0.485768833241195,FALSE
ADCY1,grey,-0.0719270172969285,0.663465140944037,0.027865664544909,-0.0242739645238987,,FALSE
ADCY3,brown,0.210218796964049,0.198962639760339,0.244790698364845,-0.340801505317454,0.409860659503312,FALSE
ADCY6,turquoise,0.0437380421590563,0.791484362822267,0.23855686963476,-0.229270655755182,0.0256413284116474,FALSE
ADCY9,grey,0.0913723404504924,0.580116793158198,0.147741949078349,-0.0483171716479864,,FALSE
ADD1,turquoise,0.273847571176841,0.0916118476959199,0.565372244435739,-0.31067056795646,0.892806399664269,FALSE
ADD3,tan,-0.119748040950783,0.467768613604205,-0.536158009889341,0.434537045466678,0.765924559516547,FALSE
ADGRA2,black,0.00537331193317467,0.974101430860116,-0.200827651429917,-0.129553101608959,0.72941995617132,FALSE
ADGRA3,blue,-0.380209574413834,0.0169590586683617,-0.496115180887345,0.721102016340048,0.525122923056507,FALSE
ADGRB1,turquoise,0.131141616187813,0.426160568696398,0.208704002819184,-0.35774095993409,0.454270876000392,FALSE
ADGRB2,lightcyan,0.253200796042255,0.119884646562323,-0.061238837438077,-0.146898199613993,0.506555609990358,FALSE
ADGRD2,turquoise,0.231720252975255,0.155778396536886,0.316135704053423,-0.22262796965463,0.789576646225855,FALSE
ADGRE1,lightgreen,-0.0756208669771724,0.647280561171979,-0.141209731940013,0.0360650112425119,0.656524701131589,FALSE
ADGRE5,midnightblue,0.378374456580375,0.0175428993252978,0.452546077437849,-0.440102513221221,0.729834173218094,FALSE
ADGRF5,tan,-0.259604307753699,0.110493273904619,-0.401729572149692,0.366400384157022,0.618408893983935,FALSE
ADGRG1,grey,0.113330727543547,0.492119646505021,0.115734084637602,-0.265435899702033,,FALSE
ADGRG3,turquoise,0.166756550009567,0.310278053792858,0.357154328721977,-0.279679881939421,0.467556569210702,FALSE
ADGRG6,magenta,-0.435541908270207,0.00558294499005195,-0.670036982086408,0.721832170305954,0.721832170305954,FALSE
ADGRL1,turquoise,-0.00797771166166188,0.96155640615736,0.00413459719105325,-0.221105641898059,0.436138707456664,FALSE
ADGRL2,blue,-0.239907403721064,0.141275793063662,-0.426020736837304,0.401828485319736,0.373485984289699,FALSE
ADH1A,blue,0.127991295094524,0.43745302699495,-0.07355354998453,0.416223639586449,0.341720242006353,FALSE
ADH1B,magenta,-0.151394785627417,0.357563594579498,-0.488136883024268,0.701963456736323,0.701963456736323,FALSE
ADH1C,magenta,-0.0201022526504072,0.903321771429393,-0.179951734693449,0.578817953749322,0.578817953749322,FALSE
ADH5,blue,-0.343612432030886,0.0322149511030182,-0.483420028176915,0.599220677838259,0.641177301200932,FALSE
ADH6,magenta,-0.0725763802421449,0.660608766903767,-0.403121237734392,0.58486845555965,0.58486845555965,FALSE
ADI1,pink,0.0267675543452912,0.871500031792797,-0.0434789554215306,0.317519875590363,0.557111090077632,FALSE
ADIPOR1,pink,0.0350845473395093,0.832076247763522,0.235243262095158,0.120639580696125,0.544009190615362,FALSE
ADIPOR2,darkturquoise,0.0908517179820066,0.582285867204963,0.316425659319016,0.0580981787902058,0.71898255853873,FALSE
ADISSP,turquoise,0.373319781763249,0.0192390084380842,0.508995770479492,-0.421449869484654,0.72034389691515,FALSE
ADK,pink,-0.178817086223293,0.276071125155801,0.164088715215433,0.231086146042664,0.734806242795971,FALSE
ADM,grey,0.131490158637151,0.424921305965872,0.345615697036602,-0.184969055122284,,FALSE
ADNP,blue,-0.0207906774456602,0.900027304916519,-0.274141768716029,0.339766488070975,0.569364376602234,FALSE
ADNP2,turquoise,0.151642349486002,0.356768760218361,0.592051200638587,-0.430683339520821,0.550047873372323,FALSE
ADO,blue,-0.0431189480403859,0.794371820483898,-0.141433420487796,0.125733189735107,0.662850198475185,FALSE
ADORA1,turquoise,0.269132259002084,0.0975649118821546,0.225477604523974,-0.332345038280083,0.442962666058737,FALSE
ADORA2B,yellow,-0.137898474886364,0.402498596847017,-0.549328488502311,0.268431173712305,0.667328220986894,FALSE
ADPGK,grey,0.0861085563010808,0.602212341108776,-0.057065838158004,-0.140277689593082,,FALSE
ADPRM,blue,-0.29796672721438,0.0654227682669808,-0.264196413718967,0.411547234789211,0.413511415003032,FALSE
ADRA1A,grey,-0.0537053700749639,0.745398814187005,0.303505105678097,-0.00628649426595668,,FALSE
ADRA2B,midnightblue,0.280814625340299,0.0833331082038023,0.326664183104927,-0.543211332696199,0.615772704387,FALSE
ADRA2C,lightcyan,0.27896766608916,0.0854689257520134,0.200736266437608,-0.289606224549651,0.830709330697909,FALSE
ADRB2,yellow,-0.215527289668242,0.187595768546502,-0.539261428561114,0.417757895814741,0.452849049008242,FALSE
ADRM1,brown,0.220270809762657,0.177834323986329,0.633293524456036,-0.220144704988836,0.804737377462505,FALSE
ADSL,brown,-0.116377075638065,0.480479482158171,0.315479216058168,-0.219234631363731,0.381050571338435,FALSE
ADSS2,blue,-0.367037260445323,0.0215365825658961,-0.210279015003168,0.332786968969684,0.440752593754619,FALSE
ADTRP,yellow,-0.217421402404347,0.183653490673557,-0.518893193389076,0.35931179696809,0.517672070557851,FALSE
AEBP1,salmon,0.175527998978558,0.285144910025719,0.334624748107337,-0.544987106906809,0.887718999995222,FALSE
AEN,turquoise,0.530181653542811,0.000517510419792891,0.603660473932428,-0.52663300652993,0.580399592391163,FALSE
AFDN,darkred,-0.0331830850504085,0.841057401631741,0.133578556998935,-0.0886826887451611,0.660933272305447,FALSE
AFDN-DT,yellow,-0.256538027678156,0.114918218490361,-0.63512761017242,0.435103692610726,0.528282756958611,FALSE
AFF1,blue,-0.236186360956873,0.147738643752914,-0.310505480320539,0.384151555465944,0.632732010061852,FALSE
AFG2B,yellow,0.23029269348522,0.158414151959364,-0.0411976518972926,-0.0560893924256908,0.113910528926862,FALSE
AFG3L2,turquoise,0.0592498432170558,0.720125129345018,0.591162421202433,-0.287257048856745,0.59790714855058,FALSE
AFM,blue,0.0636243523406306,0.700387983247999,0.0380367650281393,0.0451978629950479,0.176157156498435,FALSE
AFP,grey,-0.00121020162650116,0.994166074481383,-0.0163785836197264,0.170842690270146,,FALSE
AFTPH,blue,-0.271070624158512,0.0950828502462166,-0.331464351161197,0.277480733550903,0.71106013700718,FALSE
AGA,blue,-0.0911214583459607,0.581161592186798,0.224999284230411,-0.0689428884778783,0.240964445105867,FALSE
AGAP2,lightcyan,-0.0468617764406679,0.776957795236921,0.221434824559533,-0.321922229252731,0.688573636813112,FALSE
AGBL5,brown,0.157140187793292,0.33939320778583,0.327425778204255,-0.223900994305762,0.463198362765087,FALSE
AGER,turquoise,0.249534978810646,0.125523935155264,0.348825356423955,-0.439364177577814,0.720143182816437,FALSE
AGFG1,blue,-0.139872222358362,0.395732085866229,-0.272090081280122,0.186317108432396,0.823136870059513,FALSE
AGFG2,turquoise,0.339003444693436,0.0347585848378024,0.506458380882622,-0.375380302602197,0.770441969713046,FALSE
AGGF1,red,-0.0106073623476198,0.948899013825496,0.270333856273577,-0.226362768716642,0.440714487303429,FALSE
AGK,red,-0.179570512886255,0.274019492287027,-0.249279714991876,0.234337716635189,0.80985141203823,FALSE
AGL,magenta,-0.347410009234288,0.0302358578589456,-0.652433740686604,0.81978683861614,0.81978683861614,TRUE
AGMAT,blue,-0.12707829153481,0.440756306240159,-0.12115795077361,0.328086802414169,0.486344270852629,FALSE
AGO3,yellow,-0.207942971525848,0.203980603567097,-0.0402543073804477,0.125350162736655,0.361062035106509,FALSE
AGPAT2,green,0.388018284971419,0.0146540983752497,0.783775440946594,-0.581069548520895,0.783775440946594,FALSE
AGPAT3,turquoise,0.205853911532578,0.208663892102375,0.495017160261762,-0.264219938830717,0.540070441354804,FALSE
AGPAT4,black,0.0578840303146378,0.72632500566109,-0.319108639081772,-0.0741991988186856,0.385959994359657,FALSE
AGPAT5,magenta,-0.414674471235383,0.0086716698695159,-0.469918363454536,0.523686464813635,0.523686464813635,FALSE
AGRN,turquoise,0.351914046204607,0.0280195303718597,0.566894936070534,-0.644404148565254,0.545317947561864,FALSE
AGRP,turquoise,0.237160057326896,0.146026948170225,0.421310054239439,-0.43872717870991,0.522518428004931,FALSE
AGT,turquoise,-0.0889574418782839,0.590208473521595,0.348265489957575,-0.0590792779693552,0.602257189838243,FALSE
AGTPBP1,grey,-0.042375200555653,0.797844234335622,0.142134097640137,-0.349100627185174,,FALSE
AGTR1,blue,0.00375278233307473,0.981910583590799,-0.506245356270004,0.578564602808155,0.649579526502089,FALSE
AGXT,darkred,0.154752348668723,0.346874846689452,0.301874364700163,0.0548570472551845,0.761535884843884,FALSE
AHCY,darkred,-0.172831837533346,0.292725525136214,-0.100918308960618,0.434672891351746,0.809364002692904,FALSE
AHCYL1,blue,0.0414983270391538,0.801943114814951,0.154674889179454,0.130042450018516,0.46448692457788,FALSE
AHCYL2,grey,0.0352832640484087,0.831138843105509,-0.11015362126629,0.152752952630732,,FALSE
AHDC1,turquoise,0.304090643284338,0.0598219073332464,0.110174126891483,0.0243663444526186,0.391582840921415,FALSE
AHI1,blue,-0.273357421595021,0.0922173001595451,-0.337320426975081,0.117868846174527,0.518735685881358,FALSE
AHNAK,tan,-0.0648295821393546,0.694983431728686,-0.366857732334714,0.108725231741103,0.62685122606992,FALSE
AHR,magenta,-0.237548933993167,0.145347410079135,-0.407448146465251,0.598632205729439,0.598632205729439,FALSE
AHSA1,brown,0.243748227734188,0.134825889586069,0.675157314135233,-0.256550421028523,0.720865510664205,FALSE
AHSG,turquoise,0.115775091592471,0.482768207751564,0.390626777173277,-0.355241842755621,0.640557598777721,FALSE
AIF1,lightyellow,-0.0876772977890167,0.595589333108162,-0.25394924866206,0.202762679362417,0.812572702121911,FALSE
