gene,protein_detectability,literature,druggability,hpa_ihc_reliability,dgidb_n_interactions,dgidb_approved_drugs,dgidb_categories,notes
MAOA,3,,3,Enhanced,47,IPRONIAZID;ISOCARBOXAZID;LINEZOLID;MEBANAZINE;METHAMPHETAMINE;MINAPRINE;MINAPRINE HYDROCHLORIDE;MOCLOBEMIDE;NIALAMIDE;NICOTINE POLACRILEX,DRUGGABLE GENOME;ENZYME,
MED13,0,,0,none,0,,NUCLEAR HORMONE RECEPTOR;TRANSCRIPTION FACTOR,
MET,1,,3,Approved,133,ALECTINIB;AMIVANTAMAB;BEPERMINOGENE PERPLASMID;CABOZANTINIB S-MALATE;CAPMATINIB;CAPMATINIB HYDROCHLORIDE;CRIZOTINIB;ENTRECTINIB;EPIGALLOCATECHIN GALLATE;ERLOTINIB,CELL SURFACE;CLINICALLY ACTIONABLE;DRUG RESISTANCE;DRUGGABLE GENOME;KINASE;TYROSINE KINASE,
MORC3,1,,1,Approved,0,,DRUGGABLE GENOME,
MUC6,3,,1,Enhanced,0,,DRUGGABLE GENOME,
MVD,0,,2,Uncertain,5,,DRUGGABLE GENOME;ENZYME,
MXRA8,0,,0,Uncertain,0,,CELL SURFACE,
NCOR1,2,,0,Supported,0,,CLINICALLY ACTIONABLE;NUCLEAR HORMONE RECEPTOR;TRANSCRIPTION FACTOR,
NFKBIA,1,,3,Approved,12,ADALIMUMAB;ETANERCEPT;INFLIXIMAB;USTEKINUMAB,CLINICALLY ACTIONABLE;DRUGGABLE GENOME,
NR4A3,0,,2,Uncertain,2,,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;NUCLEAR HORMONE RECEPTOR;TRANSCRIPTION FACTOR;TRANSCRIPTION FACTOR COMPLEX;TRANSPORTER,
NUAK1,0,,2,none,7,,DRUGGABLE GENOME;ENZYME;KINASE;SERINE THREONINE KINASE,
OGN,1,,1,Approved,0,,DRUGGABLE GENOME,
OPN3,0,,1,Uncertain,0,,DRUGGABLE GENOME;G PROTEIN COUPLED RECEPTOR,
P4HA1,3,,2,Enhanced,3,,DRUGGABLE GENOME;ENZYME,
PDLIM5,3,,0,Enhanced,0,,KINASE,
PFN2,3,,0,Enhanced,0,,,
PGGHG,0,,0,Uncertain,0,,,
PHLDA3,1,,0,Approved,0,,,
PLIN1,3,,3,Enhanced,9,CARBETAPENTANE CITRATE;CHLORHEXIDINE GLUCONATE;CITRATE;SUFENTANIL CITRATE;TOREMIFENE CITRATE,KINASE,
PLPP3,1,,0,Approved,0,,ENZYME,
PLPPR1,2,,0,Supported,0,,,
PLSCR4,0,,1,Uncertain,0,,DRUGGABLE GENOME,
PLXNB1,3,,1,Enhanced,0,,DRUGGABLE GENOME,
PNPLA3,1,,3,Approved,14,ALOGLIPTIN;ASPARAGINASE;CYCLOPHOSPHAMIDE ANHYDROUS;CYTARABINE;DAUNORUBICIN LIPOSOMAL;DEHYDRATED ALCOHOL;DOXORUBICIN HYDROCHLORIDE;MERCAPTOPURINE;METHOTREXATE;PEGASPARGASE,ENZYME,
POR,3,,3,Enhanced,13,APIXABAN;ATORVASTATIN;CLOBAZAM;CLOPIDOGREL;CLOZAPINE;METHADONE HYDROCHLORIDE;MIDAZOLAM HYDROCHLORIDE;NICOTINE POLACRILEX;PACLITAXEL PROTEIN-BOUND;RIVAROXABAN,DRUGGABLE GENOME;ENZYME,
PPARGC1A,0,,0,none,0,,NUCLEAR HORMONE RECEPTOR;TRANSCRIPTION FACTOR,
PPIB,3,,3,Enhanced,2,CYCLOSPORINE;PROLINE,DRUGGABLE GENOME;ENZYME,
PPIG,2,,2,Supported,1,,DRUGGABLE GENOME,
PRMT1,2,,2,Supported,8,,ENZYME,
PXDC1,0,,0,none,0,,,
RABAC1,2,,0,Supported,0,,,
RBM47,3,,0,Enhanced,0,,,
RDH16,3,,1,Enhanced,0,,DRUGGABLE GENOME;SHORT CHAIN DEHYDROGENASE REDUCTASE,
RETREG1,0,,0,none,0,,,
RFC5,2,,0,Supported,0,,DNA REPAIR,
SATB1,3,,0,Enhanced,0,,ENZYME,
SDC4,3,,3,Enhanced,1,REPOTRECTINIB,CELL SURFACE;CLINICALLY ACTIONABLE;DRUGGABLE GENOME,
SDF2L1,1,,0,Approved,0,,,
SEC14L4,0,,0,none,0,,,
SEC16A,2,,0,Supported,0,,TRANSPORTER,
SEC61A1,0,,0,none,0,,TRANSPORTER,
SERPINE1,0,,3,Uncertain,35,ALITRETINOIN;ARGIPRESSIN;ARSENIC TRIOXIDE;AZATHIOPRINE;CAPTOPRIL;CETRORELIX;CITALOPRAM;DEFIBROTIDE;DEXAMETHASONE;EPIRUBICIN HYDROCHLORIDE,DRUGGABLE GENOME;PROTEASE INHIBITOR,
SHMT1,3,,3,Enhanced,3,BEVACIZUMAB;IRINOTECAN HYDROCHLORIDE;LEUCOVORIN CALCIUM,ENZYME,
SLC16A4,1,,1,Approved,0,,DRUGGABLE GENOME;TRANSPORTER,
SLC19A2,0,,3,Uncertain,1,THIAMINE,TRANSPORTER,
SLC22A7,1,,3,Approved,6,CAPECITABINE;DAUNORUBICIN LIPOSOMAL;DICLOFENAC SODIUM;DOXORUBICIN HYDROCHLORIDE;ZIDOVUDINE,DRUGGABLE GENOME;TRANSPORTER,
SLC35C1,3,,0,Enhanced,0,,TRANSPORTER,
SLC39A7,1,,0,Approved,0,,KINASE;TRANSPORTER,
SLITRK3,3,,0,Enhanced,0,,CELL SURFACE,
SPARC,2,,3,Supported,1,PACLITAXEL PROTEIN-BOUND,CELL SURFACE;DRUGGABLE GENOME,
SPRY1,1,,0,Approved,0,,,
SREBF2,1,,2,Approved,2,,DRUGGABLE GENOME;TRANSCRIPTION FACTOR,
ST3GAL6,1,,0,Approved,0,,ENZYME,
STAG2,2,,3,Supported,1,VEMURAFENIB,CLINICALLY ACTIONABLE;DRUG RESISTANCE,
SULF1,2,,1,Supported,0,,CELL SURFACE;DRUGGABLE GENOME;ENZYME,
TKFC,3,,0,Enhanced,0,,ENZYME;KINASE,
TM7SF2,3,,0,Enhanced,0,,,
TMEM14A,1,,0,Approved,0,,,
TMEM259,1,,0,Approved,0,,,
TNFRSF14,1,,2,Approved,3,,CLINICALLY ACTIONABLE;DRUGGABLE GENOME;EXTERNAL SIDE OF PLASMA MEMBRANE,
TNFSF14,0,,2,Uncertain,3,,DRUGGABLE GENOME,
TOM1L1,0,,0,Uncertain,0,,,
TOX,3,,0,Enhanced,0,,,
TUT7,1,,3,Approved,2,PEGINTERFERON ALFA-2B;RIBAVIRIN,,
TXLNA,2,,0,Supported,0,,,
UBE2E1,1,,0,Approved,0,,ENZYME,
UBE2S,1,,0,Approved,0,,ENZYME,
VCP,2,,3,Supported,3,HEXACHLOROPHENE,DNA REPAIR;DRUGGABLE GENOME;ENZYME;TRANSPORTER,
VIM,3,,3,Enhanced,4,DIMETHYL SULFOXIDE,DRUGGABLE GENOME,
VSNL1,0,,0,none,0,,,
VWA8,0,,0,Uncertain,0,,,
WDR18,1,,0,Approved,0,,,
